6r1/8/1k6/1p6/6P1/P2R3K/8/8 b - -,b6c6
3b1r2/1pp1k3/7p/1P3pp1/5P2/4P1BP/5P2/3R1K2 w - -,f4g5
rq3rk1/8/1N1p1bpp/pbpP1p2/5P2/3BP3/1PQ2BPP/1R3RK1 b - -,b8b6
5rk1/7p/2pNn1p1/3p1q2/2P5/4Q2P/8/1R4NK b - -,f5b1
r1b1k2r/ppp2ppp/2n2n2/2b5/2pNP3/2N1BP2/PP4PP/R3KB1R w KQkq -,d4c2
2rr2k1/2qbbppp/p2p1n2/1p2n3/3NP3/PP2RN1P/1BB2PP1/R2Q2K1 b - -,a6a5
8/8/3kpp1p/1P4p1/3K1nPP/6B1/8/8 w - -,h4g5
r1bq1rk1/1pp2pbp/p1n2np1/4p3/P3P3/2N1BN1P/1PP1BPP1/R2QK2R w KQ -,d1d8
rnbqk2r/pp3ppp/3bp3/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e8g8
4Q3/8/2P1k3/5p1p/4p3/6P1/6K1/4q3 b - -,e6d6
rnb2rk1/pp3ppp/2pQ2n1/2N1PqB1/1P2pP2/2P5/P5PP/2KR1BR1 b - -,h7h5
8/4k3/2Q5/5p2/7P/3q2P1/5PK1/8 b - -,d3d1
r1b1k2r/ppp2p2/6pp/4n3/2P1p3/2N1P3/PP1K1PPP/R4B1R b kq -,f7f5
5r2/1p4p1/1rk1R3/3R3p/P1p4P/2P3P1/1P4K1/8 b - -,c6d5
q2r2k1/p3b3/6pp/3p1p2/1PbP1PP1/P1R1P3/7P/2RQ2K1 b - g3,a8c8
r1bq1rk1/p4ppp/1pn1pn2/8/2BP4/P1N1B3/1P3PPP/R2Q1RK1 w - -,d1f3
4b1k1/p1p4p/1pn1qb2/1B1p1pp1/3P4/1NP1QN2/PP3PPP/6K1 b - -,e6e3
q3kb1r/3n1ppb/2p1pn1p/1p1p4/1P1P1BP1/r3PP2/N1PQN2P/R3KB1R w KQk -,e2c1
3r2k1/p3rpp1/Nppq4/8/1Q1Pn2P/P5P1/5P2/2R2RK1 b - -,e4g3
8/3r1kpr/p1n2p2/1pp2q2/4pPR1/PPQ1P2P/2P3RK/4B3 w - -,a3a4
r1bq1rk1/ppp1ppbp/n2p1np1/8/3PPP2/2N2N2/PPP1B1PP/R1BQ1RK1 b - -,c7c5
1r3rk1/ppq3b1/4b1pp/2p1pp2/P1PB4/1Q1P2P1/3NPPBP/1R3RK1 b - -,e5d4
