8/5p2/R7/2K2kpp/8/2P1P1P1/7r/8 w - -,c3c4
2br2k1/1ppqb1pp/5p2/1P6/2P5/3P2Q1/5PPP/BN3RK1 w - -,d3d4
r1bqk2r/pp1n2pp/2pbp3/3p4/2PP4/5pP1/PPQ1P1BP/RNB2RK1 w kq -,e2f3
8/1p6/p2R2k1/P5pp/1B2K3/P4P2/2r3P1/8 b - -,g6g7
q1r3k1/4pp1p/3p1np1/8/p2N4/4QP2/PP4PP/2R4K w - -,c1e1
2b5/2k3b1/p6p/6p1/2BBP3/4K2P/P5P1/8 b - -,g7f8
2rr1k2/pp4bp/6p1/2NN1p2/3n4/1P2P3/6PP/3R1RK1 w - -,d5c3
b4rk1/R4Npp/2p1p3/4P3/3P2B1/2n3PP/5P2/6K1 b - -,c3b5
5r1k/1p1nNp1p/r5p1/1q1pP3/p2P2Q1/Pn3R2/1P4PP/1RB2N1K b - -,f7f5
rnb1k2r/pp3ppp/2p1p3/q7/1bQPn3/2N2NP1/PP1BPPBP/R3K2R b KQkq -,e4d2
r2q1rk1/1b2bppp/p2p1n2/1p2p3/2P1P3/N2B4/PP2QPPP/R1B1K2R w KQ -,e1g1
8/8/1p1k4/1p6/1K1P4/1B2N3/8/1r6 w - -,e3d1
8/RP6/6pk/8/Nr5p/8/4p3/4K3 w - -,a4c5
2q2k2/1n3ppp/1B1p4/1b1PpN2/1P4P1/7P/1P1b1PB1/Q5K1 w - -,b6e3
7k/5rb1/1p1q1rp1/p1pPp2p/P3B2P/1R4P1/1PQ1RPK1/8 b - -,f7f8
r1bq1rk1/ppp1ppbp/1nn3p1/3P4/4P3/2N1BP2/PP1Q2PP/R3KBNR b KQ -,c6e5
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/4PN2/PP2QPPP/RNB2RK1 b - -,c7c5
1r3rk1/1b3ppp/pP6/3Np1b1/2BnP3/N7/PP4PP/R4RK1 w - -,a1e1
r2q1rk1/pp2npp1/3p1n1p/2pPp3/2P1P3/2PB2Pb/P4PNP/R1BQ1RK1 b - -,e7g6
1rq4k/4p1bp/pp1pP1P1/6Pn/2P5/1P3B2/P2Q2K1/2R4R b - -,h7g6
2k2b1r/pp2p1p1/2p1P1p1/P1P3Pp/6PP/2PrQ3/7R/R4BK1 b - -,d3e3
r2qk2r/pbpn1pbp/1p2p1n1/3p2NQ/4P3/3P2P1/PPP2PB1/RNB1K2R w KQkq -,h5e2
2q3n1/3n3k/p2p1pp1/2pPp1p1/2P1P3/1P1N2NP/5PP1/2Q3K1 w - -,c1a3
r1b1r1k1/1p3pp1/p2q1n1p/3pN3/N7/P2BP2P/1P3PP1/2RQ1RK1 b - -,e8e5
8/8/4k2p/2p1P3/p4K2/p2b4/1P6/6N1 w - -,b2a3
r7/4pkq1/1np1b1pR/p2pPpQ1/1p1P4/3B4/PPP2PP1/1NK5 b - -,a8h8
8/1q3k2/b2p2p1/1p1P3p/4P3/1P3P1P/5N2/Q5K1 b - -,b5b4
r4kr1/1b3p1p/1p2pP2/pBq5/Pp6/1Q2P1n1/6PP/R4RK1 w - -,h2g3
1r4nk/p2b2b1/3p2pp/q1p5/2PpPP1P/P2Q2P1/3N1KB1/1NR5 w - -,g2f3
