8/4B3/6p1/3p1n1p/3P1P2/2PkP3/5K2/8 w - -,e7b4
2r1k3/p4rBp/8/5b2/8/1B4RP/P5PK/8 w - -,b3f7
8/3n1K2/2kb1B1R/2p3R1/2P2r1P/8/8/8 w - -,h4h5
2r1kb1r/pp1n1p2/q1n1p2p/3pP1p1/3P2Q1/2B2N1P/PP3PP1/RB3RK1 b k -,f8b4
7k/7P/8/R1p5/1p6/7P/1P3rQK/4q3 w - -,a5a8
2r2rk1/1b4pp/pq2p3/1p1p2BN/n4P1P/3B4/P1PQ2P1/K2R3R b - -,a4c3
r1bq1rk1/pp3ppp/2nppn2/2p5/2PP1B2/2P2NP1/P3PPBP/R2Q1RK1 b - -,f8e8
5r2/p1r1k1b1/1p1p2pp/1B1Q1p2/3P1P2/7P/PP3PP1/6K1 w - -,b5c4
3r1k2/pr2ppbp/Rp4p1/1Pp5/2N1P3/2P3P1/1PK2P1P/4R3 w - -,e1a1
r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/3P4/2P1PN2/PP2BPPP/RN1QK2R b KQkq -,b7b6
4r1k1/pp2P2p/3P2p1/n7/6b1/2r3P1/PR3PBP/3R2K1 b - -,g8f7
r4rk1/1q2b1p1/p2p3p/1p2n3/4b2P/2P1N3/PPBQ1BP1/R3K2R w KQ -,e1c1
2r5/2r5/p1p1k3/Pp1pPp2/1P4p1/3KP1P1/2R2P2/2R5 w - -,d3d4
8/7P/8/p1R4R/P3pkP1/5n2/2P4r/3K4 b - -,h2g2
b2r2k1/p2r1pp1/2p1pq1p/1pP5/1P1P3P/4Q1P1/P2R1PB1/3R2K1 b - -,a8b7
r2qkb1r/pp2p3/2n2pp1/3p3p/3P3P/2N2P2/PPP3P1/R2QK1NR w KQkq -,d1d3
r1r3k1/p3bppp/3qb3/3p4/3P4/3QP1P1/PP4BP/R1B2RK1 b - -,g7g6
6k1/1pr5/p4r1p/6p1/6RP/2P1P3/PP6/2KR4 b - h3,c7g7
8/5p1k/1p3b2/p2N4/P1P4P/7P/5K2/8 b - -,f6h4
3rr2k/pp4p1/2pb2qp/3n1p2/3Pp3/PP2P1P1/1BQ2PBP/3RR1K1 w - -,b3b4
rn1q2Bk/pbp1brp1/1p2p3/3p1p2/2PP4/6P1/PPQ1PP1P/R1B1R1K1 w - -,g8f7
r1bq1rk1/1pp1bppp/p2p1n2/4p3/2n1P3/2PP1N1P/PP1N1PP1/R1BQR1K1 w - -,d2c4
r1b1k2r/pp3pp1/2n1p2p/3pP2P/q1pP3R/P1P5/R1P2PP1/2BQKB2 b kq -,c6e7
3r2k1/pp3ppp/2nbN3/3N4/8/6P1/PP1QPqBP/2R4K b - -,f7e6
4n2r/1b2kpp1/ppn1p3/2p4p/4PN2/1P4PP/PBP2PB1/3R3K w - -,h3h4
8/8/8/P1P5/4b3/1R1k1p2/r3pK2/4R3 b - -,d3d2
8/1p4rk/p2Q4/3P2n1/1KN3r1/1P4B1/4R3/7q b - -,g5e4
b3Q1kq/5r2/8/3p1p2/3R1Kp1/1B2P1P1/P4P2/8 b - -,g8g7
8/4P1R1/8/8/8/5K2/r5p1/6k1 b - -,a2a3
r4r1k/4qp1p/pb1p4/1p1Rp3/4Pp2/2P2P2/PPB1Q1PP/3R3K b - -,b6c7
r4rk1/4ppbp/3p2p1/1qpP4/2n1P3/2B3P1/PPQ2PKP/RN3R2 b - -,g7c3
2rq4/Q5kp/3prpp1/4p3/4P3/1P2nP2/P1P3PP/1K1R3R b - -,d8c7
