5rk1/1pR5/2b2KBp/7P/8/8/8/8 w - -,g6f7
8/4b3/4p2p/4P1P1/2kP4/pp2B1P1/2K2P2/8 w - -,c2b1
3r1k2/1p1r2b1/2p2qpp/p2N1p2/P2P4/1B2PQP1/1P3PK1/2RR4 b - -,c6d5
r1bqr2k/5pnp/2p1p1p1/p1PpP3/5PP1/PN1B4/1P3Q1P/4RRK1 w - -,b3d4
R7/7k/8/5Kp1/7p/6r1/8/8 w - -,a8a7
rnbqk2r/pp1p1ppp/2p2n2/b3p3/4P3/1BPP4/PP3PPP/RNBQK1NR w KQkq -,g1f3
R2b3R/1kr5/8/1K6/8/1P6/8/8 w - -,a8d8
2rq1rk1/p2p2pp/bp1n4/n1pPp3/2P1P3/P1PBB1N1/4Q1PP/R4RK1 w - -,f1f8
k3r3/p7/P4p2/2Pr2p1/2R4p/7P/2P2PP1/1R4K1 b - -,e8e5
8/8/8/4nk2/R5p1/2P3P1/P5BP/2r3K1 w - -,g2f1
7k/pp4b1/2p5/3n2p1/P2PB3/1P5P/1B3r2/1R5K b - a3,d5f4
5rk1/p1n1P2p/1b6/3p4/Q2q1p2/P4R1B/4K3/8 b - -,f8e8
3r3k/4Npp1/7p/pQ6/P7/1Pn4P/3q1PP1/5RK1 w - -,b5e5
5R2/pp2r1k1/6pp/5p2/2P2K2/1P5P/P5P1/8 w - -,f8d8
7R/8/7P/5p2/5k2/5n2/7r/5K2 b - -,f3g5
r1bq1rk1/pp1pnpb1/2n1p1p1/7p/3NP2P/2N1B3/PPPQ1PP1/2KR1B1R w - h6,g2g4
r1b2rk1/pp2q1bp/2pp3n/4n1p1/2P2P2/1PNN2PP/P1Q2PB1/R1BR2K1 b - -,e5d3
4rrk1/Rb4pp/1q6/3nppN1/Q1p5/2P3P1/1P3PBP/R5K1 b - -,g8h8
6rk/7p/2bN1pn1/p7/4RP2/P5P1/2P4P/KR6 w - -,e4c4
2r3k1/3n2pp/1p2p3/pP1bP1N1/6QP/2q5/6P1/5BKR w - -,g5e6
3rr1k1/pp2qppp/2p1b3/8/4P3/1P4P1/PBQ2PKP/3RR3 b - -,d8d1
r2qkb1r/pb4pp/1pn1Pp2/2pn1p2/3p3N/3P2P1/PPP1Q1BP/RNB2RK1 b kq -,d5e7
2r1knr1/6q1/1pp1pR2/4P3/1P1P3B/PN2p1QP/7K/8 b - -,g7g3
r1bq1rk1/pppn1pbp/3ppnp1/8/2PPPP2/2N2N2/PP2B1PP/R1BQK2R w KQ -,e1g1
r3k2r/ppp4p/2n2ppb/2PpP3/3P1P2/4B3/PP1KB2P/R6R w kq -,h2h4
3r1rk1/pp2bppp/1qp1p3/3nN3/3P4/1Q3N2/PPP2PPP/3RR1K1 w - -,b3b6
r1b2rk1/4bppp/p1q1pn2/1pp5/2N2P2/1P1B4/PBPP2PP/R2Q1RK1 w - b6,c4e5
r3bnk1/7p/3q1ppQ/2pP4/P1P4P/3N4/2B3P1/4R1K1 w - -,a4a5
4r1k1/p2p3p/1pq5/2p2p2/2P2B2/1PbP1QP1/P5KP/5R2 w - -,f3c6
r1bqrnk1/pp2bp1p/2p2np1/3pN1B1/3P4/2NBP3/PPQ2PPP/4RRK1 b - -,f6d7
3Q1b1k/R6p/6p1/2pBpq2/8/2Pb2PP/5P2/6K1 w - -,a7f7
r1b2rk1/1pq1bppp/p1n1pn2/8/P1B5/1P2PN2/1B2QPPP/RN1R2K1 w - -,b1d2
r2q1rk1/pb1nppb1/1p1p1npp/6B1/P2P4/2PB1N2/1P1N1PPP/R2QR1K1 w - -,g5h4
r3k2r/pp2ppbp/2b1n1p1/8/8/2N1B1P1/PP2PPBP/R2R2K1 w kq -,g2c6
8/6p1/4Kp1p/5N1P/4k1P1/b7/8/8 b - -,e4f4
2rr2k1/pbq1npbp/1p2p1P1/4P3/6Q1/P1B2N2/1P3PP1/1BR2RK1 b - -,e7g6
r3kb1r/1bq2ppp/p1nppn2/8/Pp2PP2/1N1BB3/1PP3PP/RN1Q1RK1 b kq -,f8e7:h7h5
2r2rk1/pp2ppbp/1q2b1p1/3PN3/2n1PP2/6P1/PB2Q1BP/R4RK1 w - -,f1f2
2r5/5pkp/8/4Rp2/2P5/pP6/P5PP/2K5 w - -,e5f5
7k/6pp/3p4/2b1p3/1p6/1b2BP2/r5PP/3RR2K w - -,e3c5
2r2rk1/3p1ppp/pp1Rpn2/8/2P5/5BP1/PP2PP1P/R5K1 b - -,c8b8
3k1r2/Q3p2p/1p1p2p1/4p3/8/3B4/6qP/1R1K4 b - -,g2h1
r1bq1rk1/pppn1pbp/2np2p1/4p3/3PP3/2P2N1P/PP3PP1/RNBQRBK1 b - -,g8h8
3r1r2/p1k2p2/2p1p1p1/1p1n2Pp/3P4/2PN4/PP3PP1/3RR1K1 w - b6,d3c5
3r1r2/1pq4k/p2pn1pp/2p5/4Pp2/PP1Q3P/1B3PP1/R4RK1 b - -,f4f3
r1bq1rk1/ppp1n1bp/3p2p1/2PPpp1n/1PB1P3/2N2N2/P4PPP/R1BQ1RK1 b - -,f5e4
4r1k1/3r1p1p/p5p1/1p1n1P2/3Pp1P1/PP6/4R2P/2B1R2K b - -,d7e7
rqb3k1/1p2bpp1/pBn1p2p/7P/2B5/1N3PP1/PPP2Q2/1K1r3R w - -,h1d1
6k1/5r2/8/5pB1/1P2n1pp/4K3/6PP/4NN2 b - -,e4g5
8/6p1/7p/1p2pk2/8/PP2K1P1/6P1/8 b - -,f5g4
r3r1k1/1p2qpbp/6p1/5n2/p1B5/6N1/PP3PPP/1RR1Q1K1 b - -,e7d6
1r3rk1/3qb1pp/8/1ppbP3/3p1P2/1P3N2/1R1B1QPP/2R3K1 b - -,b8c8
r1r3k1/np2bpp1/1q2pn1p/3p1b2/pP1P1B2/P3PN1P/1Q1NBPP1/2R2RK1 b - -,a7b5
3rk2r/1b1p1pp1/p2Rp3/np5n/4PP1p/1PP1B2P/P1B1N1P1/5RK1 b k -,b7c6
rnbqk1nr/pppp1pbp/4p1p1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,c7c5
r1b1r1k1/p1qnbppp/1ppp1n2/4p3/2PPP3/1PN1BNPP/P4PB1/R2Q1RK1 b - -,c8b7
6k1/1p2R3/6pp/1r2p3/4P3/5PK1/5P1P/8 w - -,h2h4
4Q3/1k6/3r4/5PNp/3p2P1/2pb4/5K1P/8 b - -,c3c2
8/8/2Q5/8/3q2p1/2p3k1/2K5/8 w - -,c6c7
8/5k2/8/6Kp/3B4/8/2b5/8 w - -,g5h5
8/4k3/1q6/4Q3/7P/6P1/1p6/7K b - -,e7f7:e7d7
8/6K1/6P1/5k2/7r/8/6R1/8 w - -,g7f7
r4rk1/pb2qppp/1pnppn2/8/1PP1P3/P1bQ1NP1/3B1PBP/R4RK1 w - -,d2c3
r1bqk2r/pppnnpbp/3p2p1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,d2d3
8/4k1p1/1p1qp1r1/p4Q2/3PR1P1/P3b3/1P4K1/8 w - -,f5g6
r2q1rk1/1p3p2/p1npb1pb/3Np2p/P1B1P3/2N4P/1PP2PP1/R2Q1RK1 w - -,d1d3
r2qbrk1/1pp1b1pp/8/5p2/P1pPnN2/6P1/PB2PPBP/R2Q1RK1 b - -,d8d6
rn2k1nr/ppp1qppp/3bb3/8/2BP4/4BN2/PP3PPP/RN1QK2R w KQkq -,c4e6
5k2/1p6/1p4b1/5pp1/8/P1R1K1PP/r3N3/8 w - -,e2d4
3qr1k1/1p3pb1/r1np2pp/1Nn1pb2/2P5/B2PP1P1/2NQ1PBP/1R2R1K1 w - -,e1d1
4b2r/4k1p1/r3Pp2/pp1R3p/3p1N1P/P5P1/1PP5/1K2R3 w - -,d5d4
8/5pp1/1p4rk/p2pRQ1p/3P3q/PP3P1P/6P1/7K w - -,e5e8:f3f4
3r2k1/4pp1p/6p1/p1q1b3/P3P3/1Pp4P/2BrQPP1/2R2R1K w - -,e2e1
R1nQ4/2r2pkp/6p1/2rPn3/8/2p1N1P1/2R2PKP/1q3B2 w - -,f2f4
8/1r4p1/2p2pk1/2b4p/2r2B1P/6P1/P2R2K1/4R3 b - -,c5b4
5n2/6k1/p2q4/P1pPnBpQ/2P1P2p/7P/6P1/6K1 b - -,e5f7
3R1bk1/p3rp2/1p4pp/8/4Q3/7P/5PP1/1R4K1 b - -,e7e4
6k1/q2b1p1p/6p1/4p3/1Q2B2P/P5P1/5PK1/8 w - -,b4b7
3r4/1bk1b1pp/1N2p3/2p1np2/3N4/BP6/5PPP/3R2K1 w - -,d4e6
1r4k1/4qp1p/1bBp2p1/n2Pp3/1p2P1NP/1P4P1/1Q3P2/1R4K1 w - -,b2d2
8/2R2kpp/5p2/1p1r4/3P4/7P/6P1/6K1 b - -,f7g6
rnbqk2r/ppp1ppbp/3p1np1/4P3/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,d6e5
3b4/p3kP2/P7/1P3P2/3K2Np/8/8/8 w - -,d4e4
6k1/1pqrbpp1/2pp1n1r/p4P1p/P7/1P3QPP/1BP2PB1/3RR1K1 b - -,c7d8
1k1r4/1pq3p1/p3B3/1bP5/2R1Qn1P/2B5/P1P5/1K5R b - -,b5c6
rnbqk2r/pp2npbp/3pp1p1/2pP4/4P3/2N3P1/PPP2PBP/R1BQK1NR w KQkq -,g1e2
r5k1/pq4bp/1p4p1/2B5/2nP2P1/2P3NP/P4QP1/R5K1 w - -,f2e2
r4rk1/ppq2pp1/2p5/2P1b2p/Q5b1/2N1P3/PB1R1PP1/R4K2 w - h6,f2f3
r2rb3/1p2qpkp/3pn1p1/1P2p3/2P1P3/2R1QB2/1N3PPP/3R2K1 w - -,b2d3
3r1k2/pp6/3pR1P1/3Q1Pqr/8/1P6/1PP5/1K1R4 w - -,d5b7
8/k1K5/P5p1/7P/5BP1/8/8/1b6 b - -,g6h5
2r3k1/pq1r1p2/1pn3p1/2p4p/2P1P2P/P3P1P1/1bQ2PN1/1R1R2K1 w - -,c2b2
8/p4kp1/7p/5P2/NpnB1K2/5P2/7P/8 b - -,b4b3
r1b1kb1r/1pqn1ppp/p2ppn2/8/P3PP2/1NNB1Q2/1PP3PP/R1B1K2R b KQkq a3,b7b6
6r1/pp1q4/3b1pk1/3Pp1r1/4B2R/1PQ4P/P4PP1/5R1K b - -,f6f5
8/8/5b2/1p6/1P3pp1/N1p2Pk1/6P1/5K2 w - -,f3g4
r3r1k1/pb1nbppp/2p1p3/q1ppP3/2P2B2/1PNP1NP1/P3QP1P/R3R1K1 w - -,a1c1
