2r3r1/8/1P6/2k2K2/P7/8/1Q6/8 b - -,g8f8
5b2/8/2kn4/R3RP2/P1p5/8/2K5/5r2 b - -,f1f2
r2q3k/1p2b1pp/p1np1r2/P2Qp3/4Pp2/1N3P2/1PP1B1PP/R2R2K1 w - -,c2c3
8/7p/6pP/p2k1p2/5P2/p3r1P1/2P3R1/K7 w - -,g2d2
r1bqr1k1/p2p1p1p/1pn3p1/2b2p2/8/2PBP3/PP1NNPPP/R2Q1RK1 w - -,d2b3
2rr2k1/p2nqp1p/2p1p1p1/6b1/3PN1Q1/6R1/PP3PPP/3R2K1 w - -,e4g5
r1b1r1k1/ppq3bp/1n1p2p1/2pPp3/2P1PP2/1P6/PB1N1PBP/R2Q1RK1 b - -,e5f4
r1bqkb1r/pp3pp1/2nppn2/6B1/3NP3/2N5/PPPQ1P1P/R3KB1R b KQkq -,d8b6
2k3rr/1b4q1/p3p3/1p2p1Pp/4P1nQ/P1N5/1PP1B3/2KR3R b - -,g7g5
r1q2rk1/pp2ppbp/3p2p1/4n3/2PNP3/1P4P1/PB3PKP/R2Q1R2 w - -,h2h3
3rr3/pp2qpkp/1np1b1p1/4p3/8/1PNPPBP1/P2Q1P1P/2RR2K1 w - -,d2b2
r3k2r/pp1nqppp/2pb1n2/3pp3/8/1P1PPB2/PBP2PPP/RN1Q1RK1 b kq -,e5e4
2B5/1pk3pp/5p2/n7/5P2/1pP1K1P1/1P5P/2N5 b - -,c7c8
r2qrbk1/1bp2pp1/p3p2p/1p1nP3/2pPNB1P/Pn3NP1/1P2QPB1/3RR1K1 b - -,c7c5
4q3/1r2bpk1/4p1p1/1p1pP1NP/p1nP3P/P2Q4/1P1B1PK1/2R5 b - -,c4d2
r1bq1rk1/1p3ppp/p1nbpn2/2p5/3Pp3/2PB1N2/PP1N1PPP/R1BQR1K1 w - -,d2e4
3r2k1/2N2pp1/7p/4R3/2P5/6P1/3n1P1P/6K1 w - -,e5d5
2Q3k1/1p4r1/2b5/8/2P5/2K3p1/8/8 b - -,g8f7
3q1rk1/r1pn1ppp/pn2p3/Bp4b1/3P4/6P1/PPQ1PPBP/RN3RK1 b - -,b6c4
8/8/8/3R4/2P2bP1/p6p/2K5/k7 w - -,d5d1
3k4/5K2/r3p3/4P3/p7/3R4/8/8 b - -,d8c7
