8/8/4NK1k/6p1/6P1/5P2/3b4/8 w - -,f6f7
2b5/6p1/p3p2p/1pN1Pk2/1P1K4/P5PP/8/8 b - -,h6h5
r2qr1k1/1b1nppbp/pp1p1np1/2pP4/P3P3/R1N5/1PPNBPPP/2BQR1K1 b - -,d8c7
3r1k2/4bpp1/1q2p3/p2B4/1r1P4/3RB2P/1P2QPP1/4R1K1 b - -,d8d5
8/p1p4p/2p1rkpb/5p2/1P5P/Pr2PKP1/4R3/1N2R3 b - -,f6e7
3q1rk1/1p3pp1/p4b1p/3Q4/8/P3PB2/1P3PPP/2R3K1 b - -,f6b2
8/1k6/3R4/1r5n/7P/5K2/2R5/8 w - -,f3g4
2r2rk1/5pp1/1q3n1p/4N3/pp1p1P1P/3Q4/bP2N1P1/2R1R1K1 w - -,f4f5
5bk1/1p6/3p2r1/3Pp2p/1P6/3Q4/P3KPq1/2B1R3 b - -,e5e4
r1b1kb1r/pp2pppp/2n2n2/1Bqp4/5B2/4PN2/P1PN1PPP/1R1QK2R w Kkq -,e1g1
3r4/8/1p2kpp1/p3p3/P2b2Pp/1PB4P/2K5/4R3 w - -,c3d2
5qk1/p2b2pp/1p6/3p2b1/3Bn3/1NP2r2/P4PQP/3R1R1K w - -,d4g7
2r2rk1/1p2ppbp/p1qp1np1/4nP2/P3P1P1/1PN1B3/1P2B2P/R2Q1R1K w - -,e2f3
3rkb1r/1pqn2pp/p1p2p2/P3nb2/2N2B2/2N3P1/1P2PPBP/R2Q1RK1 w k -,d1c1
6B1/3k4/5PK1/8/2Pb4/8/8/8 w - -,g8d5
r2q1rk1/1b1nbppp/p2ppn2/1p6/P2PP3/5N2/1PB1QPPP/RNBR2K1 b - -,d8b6
r2q1rk1/ppp1ppbp/3p1np1/n2P4/2P3b1/2N3P1/PP1NPPBP/R1BQ1RK1 b - -,c7c5
8/6bp/1rk3p1/1n6/2B5/5N2/5PPP/1R4K1 w - -,f3g5
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP4/1PN2NP1/PB2PP1P/R2QKB1R w KQ -,f1g2
2rr1bk1/1bq2pp1/pp1ppn1p/2n5/2PNP1P1/1PN1BP2/P3Q1BP/2R1R1K1 w - -,g4g5
5k2/1R6/4br2/1p1r1p2/p4K2/P4P2/1P2R3/8 w - -,f4g5
6k1/r7/7p/Pp6/8/7P/R5PK/8 b - -,a7a6
8/5pk1/5p2/P2Pp1q1/2pbB3/Q5P1/Pr3P1P/5RK1 w - -,d5d6
rnbqkbnr/pp1p1p1p/6p1/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq -,f8g7:d7d6
r7/2p1r1qk/p1Pp2pp/3P1p2/2P1p3/2Q5/PP3PPP/3RR1K1 b - -,e7e5
2r1r1k1/2q1bp2/p2p2pp/1p1Pn3/3N1R1P/6Q1/PPP1B1P1/1K3R2 b - -,c7c5
R7/5p2/pp3kpp/2n5/8/P7/4KPPP/8 w - -,e2e3
2rqrbk1/4pp1p/1p1pb1p1/p1nN4/2P1P2Q/1P2BP2/P2R2PP/3R1BK1 w - -,e3g5
rn2k2r/pp3ppp/2p1pnb1/q7/1bBP1BP1/5N1P/PPP1NP2/R2Q1RK1 b kq -,b8d7
r2r2k1/p1q1ppbp/1pbp1np1/8/PPBBP3/2N2P2/2PQ2PP/3R1RK1 w - -,c4b3
r1r3k1/2qn1p1p/4p1p1/p1Pp4/P7/1P3N2/RQP2PPP/4R1K1 b - -,c7c5
rnbqkbnr/pp1p1ppp/2p1p3/8/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -,f1g2
1R6/5pk1/p2N3p/4p3/4K1P1/4r2P/3b4/8 w - -,e4f5
rn1q1rk1/pp2bpp1/2p1bn1p/3pN3/2PP4/2N4P/PP2BPP1/R1BQ1RK1 b - -,b8d7
r3nr1k/4b2p/1q3pR1/3pp3/1pB1P3/1N6/1P1Q3P/1K1R4 w - -,c4d5
r3k3/pb3p2/1pn1p3/4PP2/3p1P2/P1p4P/2P3Q1/1RBK1Bq1 b q -,g1g2
3r2k1/1pr2pbp/p1p1bnp1/4p3/1PPnP3/1NNBB3/P4PPP/2RR2K1 w - -,b3d4
3q4/6k1/2R1b1p1/pp5p/3p1P2/3P1P2/PP4Q1/4r1K1 w - -,g1f2
8/p2rq3/P4p1k/2r3pb/4p1QP/6R1/1R4B1/6K1 w - -,h4g5
7R/8/6P1/1K2kp2/3p4/4n3/6r1/8 w - -,h8g8
r3r1k1/ppqn1ppp/2pbpn2/3p4/2PP2b1/1P2PN2/PB1NBPPP/2RQ1RK1 w - -,c4d5
rq2k2r/3bbpp1/3ppn1p/8/p2NP1PP/1p1BBP2/PPPQ4/2KR3R w kq -,c2b3
