8/Bp4k1/6p1/3P3p/P3P1bb/8/2K5/8 w - -,a7d4
r3rnk1/4qppb/2pb1n1p/p3p3/P3P3/3N2P1/NP1BQPBP/R2R2K1 w - -,b2b4
1k1r4/1pR5/8/1N1pnp2/7P/2P5/PP3r2/2KR4 w - -,c7g7
r2q1rk1/pp2bppp/2bpp3/3nP1B1/3Q4/2N2N2/PPP2PPP/2KRR3 w - -,g5e7
8/7p/p5p1/P3k3/1R3p2/1pP5/2bK2PP/8 b - -,g6g5
r1br2k1/p2p1pp1/2p2n2/2P1p2p/4P3/1N1BQ2P/Pq3PP1/R4RK1 w - -,a1b1
r1b2rk1/p3npbp/1qnp2p1/1pp2p2/4P1P1/2PP3N/PP1N2BP/R1BQ1RK1 w - -,g4f5
r2r1k2/5pnp/2pp2p1/pp6/1P2P3/P3R1PP/2P1NP2/3R1K2 b - -,a5b4
r2qk2r/ppp3bp/2n1p1p1/3pP3/3P2b1/2N1QN2/PPP1B1PP/2KR3R b kq -,e8g8
8/8/8/5P2/3kp2R/2r4P/2PK4/8 b - -,c3f3
1r2k1r1/p1p2p1B/2p1bQ2/3qP3/4N3/6PP/PPP4K/5R2 b - -,g8f8
r1r1qbk1/pbpp1ppp/1p6/4n3/2PN4/P3P1B1/1PQ1BPPP/3R1RK1 b - -,d7d6
1r4k1/2b2pp1/q1n1p2p/2p1P3/p1Nn1P1P/P1BQ2PK/8/3BR3 b - -,b8d8
8/5q2/p3N2k/1ppP1p1p/2Pb3P/1P2pQP1/P5K1/8 w - -,f3f4
2rrq1k1/pb2ppbp/1p1pnnp1/2p5/2PP4/1PN1PN1P/PBQRBPP1/3R2K1 b - -,c5d4
8/1r4k1/2p3p1/3b2P1/p2Pp3/2R1P2P/1P6/1K3R2 w - -,f1f6
r1r3k1/2qn1ppp/3p4/3PpP2/1p4P1/p3B3/PPPQ3P/1KR4R w - -,b2b3
rn1qk2r/p3ppbp/2p1bnp1/1p6/2pPP3/N5PP/PP2NPB1/R1BQ1RK1 b kq -,a7a6
2k4r/1p1r1ppp/2p1pb2/p2n4/P2P4/2P3PP/1P1BKPB1/3RR3 b - -,d5b6
8/5rk1/6p1/5bN1/8/b4P2/7P/6RK w - -,g5f7
5rk1/p4p2/q3p1p1/1p2P2p/5P2/1P2Q1P1/P6P/2R3K1 b - -,a6a2
8/6k1/4b3/4N1K1/4B3/7P/8/8 b - -,e6h3
r2k1b1r/4nppp/p3p3/5b2/B2N4/p3B3/PP3PPP/2R1K2R w K -,d4e6
1r2b1k1/pB3pp1/3qp2p/2p5/P1Q5/2P3P1/4PP1P/R5K1 w - -,b7e4
rnbq1rk1/pp2ppbp/2pp1np1/8/P1BPP3/2N2N2/1PP2PPP/R1BQ1RK1 b - -,c8g4:d6d5
r4rk1/1nqbbppp/p2p1n2/1p1P4/2p1PB2/2P3NP/PPB3PN/R2QR2K b - -,f8e8
3r2k1/2q2pp1/R3p2p/1pP1n3/3QP3/1N3PP1/6KP/8 w - -,a6d6
r2q1rk1/pp2bppp/2n1pn2/3p4/8/P1NP2P1/1P2PPBP/R1BQ1RK1 b - -,a8c8
r3r1k1/2qb1pb1/p2p1n1p/2pP1P2/1pP1P3/6Np/PBQNR1P1/4R1K1 w - -,g2h3
3r2k1/1q3pb1/p5N1/Pp3n1p/1P6/2Q1RNP1/5PKP/8 w - -,g6e7
r2q1rk1/1p3ppb/p3p2p/1P6/2NP4/RQ3PP1/4P2P/3R2K1 w - -,b5b6
r4rk1/1p1nqppp/p2b4/2pPp3/2P5/4BBP1/PPQ2P1P/R4RK1 w - -,f3g4
