8/4R3/3k4/1p1p3p/p6r/P3K3/1P6/8 w - -,e7b7
4r1k1/5pp1/p3p3/4P2p/P2q4/1p6/1P3PPP/3R3K w - -,d1d4
8/ppk3p1/3r1p2/8/8/1P3RP1/P4P1P/6K1 b - -,b7b5
r4rk1/4Rpbp/2R3p1/3p3q/3Pn1Q1/4B1PP/5PB1/6K1 b - -,h5g4
r3kb1r/1bqn1p2/p1p2npp/1p2p3/4PP1N/1BNQB3/PPP4P/2KR2R1 w kq -,f4e5
1r2k2r/p2bbppp/1n2p3/q2pP3/1npP1P2/5N2/PP1BB1PP/RN1Q1R1K w k -,b1c3
8/p1k5/1p5p/3p2pP/1P2p3/4P3/P3KPP1/8 w - -,f2f4
2r3k1/p4ppp/1p6/3B4/3P2b1/6P1/P4P1P/4R1K1 b - -,g8f8
r4rk1/1b3ppp/1p2p3/n1b1P3/pB6/P4N2/BP3PPP/R2R2K1 w - -,b4c5
r1bq1rk1/ppp2pbp/2np1np1/4p3/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 b - a3,h7h6
1r1r2nk/1b2bppp/p7/8/P3N3/3n4/1B3PPP/RB2RNK1 w - -,b1d3
r1bq1rk1/ppp1bppp/4pn2/4N3/3P4/3BB3/PPP2PPP/R2QK2R b KQ -,c7c5
8/3r3k/p2N2pp/1pPQ1b2/1P6/2q4P/P5P1/5RK1 w - -,c5c6
3rr1k1/4qpb1/1ppnp1p1/p2n3p/P2P4/2PN3R/BPQB1PPP/R5K1 w - -,a1e1
r2qk2r/pp3p1p/n1pbpp2/3p4/3PP2P/P1NQ4/1PP1NPP1/R3K2R b KQkq -,d8a5
1bb5/5p2/1P1p4/2nPp1kP/4P1P1/2P1NP2/r1B1K3/1R6 b - -,c8a6
6R1/4pp1Q/3p1k1p/3P2p1/1K6/8/8/q7 b - -,a1d4
r2q1rk1/2pbb1pp/p2p1n2/1p2pPB1/8/1PNP1N2/1PP1QPPP/R3R1K1 b - -,d7f5
8/5p1p/8/5k2/8/5P1P/3BK1P1/6b1 b - -,g1c5
r3k2r/p3ppbp/2p1b1p1/2Pq2B1/4Q3/4P3/3N1PPP/2R2RK1 w kq -,e4a4
2krr3/1pp2pp1/1pnpbq2/7p/4PP1P/1NNQ2P1/PPP5/2KR3R b - -,e6g4
4rrk1/pp3n1p/2b1p1p1/2p2n2/3bN3/1P1B4/P5PP/3RQR1K b - -,f7e5
5K2/8/8/1N3kPp/7P/1b6/8/8 b - -,f5g4
8/p7/1p1b4/2p3k1/P1P1P2p/1P3K1P/8/4N3 b - -,d6e5
1r1q4/3r1pk1/1p1Nb1p1/pP2Pp1p/P1RQ1P2/7P/6PK/2R5 b - -,e6c4
5rrk/1p2q1b1/4bn1p/p2p4/2PN4/1P2BBR1/P1Q4P/4R2K w - -,e3h6
2r1k3/p4pp1/1p2pn1p/2b1N3/2P2B2/1P1R1P1P/P5P1/5K2 b - -,e8e7
5rk1/5pp1/4bb1p/1P6/PQN2q2/R3p3/4nPPP/5R1K w - -,a3e3
8/6k1/1pQ3p1/4p3/p1P3K1/1P1qP2P/P7/8 b - -,d3e3
r1bqkb1r/pp2pppp/2np1n2/8/2P1P3/3B3P/PP3PP1/RNBQK1NR w KQkq -,g1f3
5rk1/2p2ppp/prp1pb2/2N5/P1QP4/4P1P1/1q3P1P/2RR2K1 b - -,a6a5
1r3k2/4bp2/4n1pp/3p4/1P1B4/2P1N2P/6P1/3R1K2 b - b3,b8b5
8/8/8/8/5pk1/R7/5K2/7r w - -,a3a5:f2g2
2k4r/ppp5/1n2q3/5p2/1P1Pp1p1/P3P3/2Q1KPBb/2R1R3 b - -,b6d5
1nr2rk1/5ppp/1q2p3/pB1p4/1b1P1B2/1P2P2P/4QPP1/R1R3K1 w - -,b5a4
8/8/8/5pp1/3rpk2/8/R4KP1/8 w - -,a2a5
r4rk1/pp1bppbp/2n3p1/q1p5/2BPP3/2P1B3/P2QNPPP/1R3RK1 b - -,c5d4
r1bq1rk1/ppp1ppbp/1nn3p1/4P3/P2P4/1BN2N2/1PP3PP/R1BQK2R b KQ a3,c8g4
8/5k2/p2p1n2/1p2b3/4P3/5B2/4K3/2R5 b - -,f6d7
1r3rk1/5ppp/1b1p4/p1qBp1N1/Pp2P1n1/3R4/1PPRQPPP/1K6 b - -,g4f6
8/5p2/1R6/6k1/1Pr3p1/2P5/3r4/5R1K w - -,f1f7
r2r1k2/pp2bpp1/2bppn1p/7P/3BPP2/3R4/PPP1B1P1/1NKR4 w - -,d3g3
r4rk1/1b2qpp1/2p2n1p/1p6/1P6/3BP3/1bQ1NPPP/R4RK1 w - -,c2b2
r4rk1/4ppbp/pq1p2p1/2pP4/2BnP3/8/1PP2PPP/R1BQ1RK1 w - -,c2c3
r2q1rk1/pppnppbp/5np1/8/2PP1B2/2NQ1N1P/PP3PP1/R4RK1 b - -,c7c6
3r1rk1/pbq2p1p/1p2p1pQ/4P3/3nB3/PP6/1BP3PP/R4RK1 w - -,e4b7
rr2q1k1/2pnbp2/bp1p1np1/p2Pp2p/1PP1P3/P1N1BNPP/2R2P2/1Q2RBK1 b - -,f6h7
4r1k1/p2q3p/1prnp1p1/3pBp2/P2P1Q2/2P4P/1P2RPP1/R5K1 b - -,d6c4
8/pp6/2b5/4k3/3nN3/2KB4/PP6/8 w - -,e4d2
8/3Q4/pk1p4/8/KP3q2/8/8/8 w - -,d7d8
2r1n3/1p1bq1bk/1P1p2p1/3P1pPp/3NpP1P/1Q2P3/1B6/3R1BK1 w - -,d1a1
6k1/8/6p1/ppR1p3/4n2p/1P2NK1P/P5P1/8 b - -,e4c5
