8/8/1R6/1p2p3/1p1kr3/8/3K4/8 w - -,b6b5
r3r1k1/p4pb1/1pp3p1/4P3/P2BN1b1/3P4/1PP3P1/4RRK1 b - a3,e8e7
r3r1k1/pqn3bp/1p2p1p1/2p2pB1/2P5/3P4/P1RN1PPP/2Q2RK1 w - -,d2f3
8/1p6/p1pk1p2/4n3/PP6/5p2/2q2PP1/4QBK1 w - -,e1a1
1r2r1k1/1b3pbp/3p2p1/1P1PnPB1/1qp1B3/2N4P/1P3QP1/3R1R1K w - -,f5f6
r3qrk1/2bnn1pp/2p1p3/1pPpPp2/pP1P1PP1/P1N1B2P/Q3B1K1/R4R2 b - -,a8b8
r2r2k1/5pp1/pq2pn1p/1pn5/4P3/5PBP/PP2BP2/1Q1R1RK1 w - -,d1d8
r4rk1/pp2q1pp/2p1p1b1/2Pp4/3P4/1Q3BP1/PP2P2P/R4RK1 w - -,b3e3
4nk2/1p1b1rbp/pB1pqp2/6p1/1N2P3/6P1/PP1Q1P1P/2R1R1K1 w - -,d2d5
r4rk1/pp1b1pp1/2nbpq1p/3p4/3P1P2/2PB1Q1N/PP1N2PP/R4RK1 b - -,b7b5
2r3k1/1p3pp1/p2q1n2/5PQ1/P2p3p/1P2p1nP/1PR3P1/1B1R2K1 b - -,c8c2
5r2/pp2bpk1/4p2p/3p4/P2P2P1/2P3P1/2P1B1P1/2K2R2 b - -,f8c8
1r4k1/6pp/p3p3/5p2/K3bP2/P3N3/2P3PP/7R w - f6,h1c1
r2q1rk1/pp1b1pbp/4pnp1/3pB3/3P4/2N3P1/PP2PPBP/R2Q1RK1 w - -,d1b3:a1c1
3r1rk1/1p2p1bp/4p1p1/pB1N4/P7/4KP2/1P4PP/R3R3 b - -,e6d5
1r1r2k1/p1p3p1/8/Q2R3p/6n1/1P3qPB/P4P2/2R3K1 w - -,h3g4
1nr1k2r/ppqbbp1p/4pp1B/8/1PB2N2/2P2P2/P3Q1PP/3R1RK1 w k -,d1d4
4r1k1/2rB1p2/pqn3p1/2p1p1bp/P1R1P3/1P1R2P1/1B2QP1P/6K1 b - -,e8e7
r4rk1/2qbbp1p/p2p4/1p1Pp1p1/4Pn2/1P3N1P/1P3PP1/RBBR1QK1 w - g6,f3h2
4k3/1q1n1pr1/4p3/2b2p2/1p1N4/1P2B1P1/P1Q2P1P/3R2K1 b - -,g7g4
2b2q1k/5r2/p5np/1pPp2p1/3Pp3/2P1P1P1/R5KP/2B1Q1N1 b - -,g6e7
1r1r4/pp6/1np1pkp1/7p/1P1P1P2/P1RNPK2/6P1/7R w - -,d3e5
r1b1kb1r/qp1n1ppp/p1n1p3/2ppP3/3P1P2/2N1BN2/PPPQ2PP/1R2KB1R w Kkq -,b1d1
6k1/p4p1p/2Q2p2/bp3B2/4P3/6P1/PP1q1P1P/6K1 w - -,c6a8
5r2/R7/2p1K1k1/p7/2P5/5P2/P7/8 w - -,e6d6
rnbqk2r/pppp1p2/4p2p/6p1/1bPPn3/2N3B1/PPQ1PPPP/R3KBNR b KQkq -,f7f5:d7d5
8/2p3k1/3p4/n2P4/rp3P2/3BK1P1/1R5P/8 w - -,e3d4
r2qkb1r/pp1npp1p/2p2np1/3p2B1/3P3P/2P2PP1/PPQN1P2/R3KB1R b KQkq -,f8g7
8/7p/2kn2p1/6P1/5K1P/P7/8/2B5 b - -,d6f5
1k1r3r/n1p1bppp/Pp5q/3pB3/3P2B1/3R4/1P3PPP/R2Q2K1 w - -,d1f3
3qr1k1/r5bp/p4pp1/1PNp4/3Pp1n1/2PB2Q1/1P2RP1B/R5K1 b - -,g4h2
5rk1/1p3p1p/p5p1/3R4/1P2n3/P3PB2/5P1P/b1B2K2 b - -,f8c8
3k4/p2p1ppp/1p6/8/6q1/4r1n1/P1PQ2B1/3K2R1 w - -,d1c1
8/5pk1/4p1pP/1pNqP3/pP1p1P2/P1nP4/5K1P/Q7 b - -,g7h6
rn5r/p1N1kppp/2p1p3/8/8/3n1NP1/PP2P2P/3R3K w - -,d1d3
