5R2/3r4/4b1K1/1p1k3p/1B5P/P4P2/8/8 b - -,d7c7
r4r2/1p2qpk1/n1p1bb1p/p2p2p1/3P4/P1N1PN1P/1PQ2PP1/1BR2RK1 b - -,f8h8
2kr1bnr/ppp1pppp/8/7b/8/1B3P2/PPP1NKPP/RN5R w - -,c2c4
1r2r1k1/1pp2pb1/p5p1/3P4/P2N2P1/2B2B2/5PK1/2R5 b - -,e8e7
7k/p7/3p4/1PpP4/P1N5/5rP1/6K1/4r3 w - -,g2f3
r1b1k2r/ppppnpp1/1bn2q1p/1B2p3/4P3/2PPBN2/PP3PPP/RN1Q1RK1 w kq -,a2a4
r4rk1/ppqn1ppp/2pb4/3p2B1/2PP2P1/2Pb1N1P/P2Q1P2/R3R1K1 w - -,d2d3
r4rk1/1bqnbpp1/pppp1n1p/4p3/P1BPP2N/2N3B1/1PP1QPPP/R2R2K1 b - -,g7g6
rnb1kb1r/ppp2p2/3p1qpp/4p3/3PP3/2PB4/PP2NPPP/RN1Q1RK1 b kq -,f8g7
5r2/1p6/p5k1/3Rp3/4p1qr/P1P1B1N1/1PQ2P2/4K3 w - -,c2d1
8/1p1r3k/p4R1p/2P5/1P3p2/P5p1/6PP/4K3 w - -,h2g3
1r2R1k1/3n1pbp/5np1/qBp5/5p2/1PN3PP/PB6/R2Q2K1 b - -,f6e8
3rr3/pkb1qb2/2p2pp1/1p3p1p/2pP1N1P/P3P1P1/NPPQRP2/1KR5 w - -,c1e1
2r2rk1/1p3ppp/3bbn2/pP2np2/N2B4/P3P3/3NBPPP/R4RK1 b - -,c8c2
5r2/6p1/1kp1p1r1/pp1qPpNp/P1nP3P/2PR4/5PP1/R1Q3K1 w - -,d3g3
8/8/4r3/4p3/4N2P/3PbRP1/4k1K1/8 w - -,e4c3
4b3/p7/1p5p/1PpP4/2B1kPK1/PP6/8/8 w - -,d5d6
r2qk2r/1ppb1pp1/pb1p4/3Pn2p/3NP3/1P4PP/PB1Q1PB1/2R1K2R b Kkq -,d7b5
2k5/8/1P5r/P1K5/8/8/7p/7R b - -,c8b7
r1q4k/3Nbp2/2p1n1p1/1p2p2p/1P2P3/5Q1P/2P1NPP1/3R2K1 b - -,c8e8
r3rb2/p1qn1pkp/2pp1npN/1p2p1B1/3PP3/2PB1Q1P/PP3PP1/R3R1K1 w - -,d3c2
r1b1rnk1/ppq2pp1/2p4p/4p2n/P1B1P2b/2N2Q1P/1PP2PP1/R1B1R1K1 w - -,f3h5
8/1p3k1p/1pp3b1/8/4pnP1/P1P1R1KP/1P4r1/8 w - -,g3f4
1R6/1pp2rp1/p2n3p/3k4/1P5P/6P1/5BK1/8 w - -,b8d8
5rk1/p3p1b1/1rn3Q1/2p1P1Nn/2P2P2/1P1R3P/1q1K3B/6R1 w - -,d2e3
7r/p7/5k2/1p3p2/3P4/2PN1K2/PP4B1/8 w - -,d3b4
2rq1rk1/pb1nbppp/1pp2n2/3p4/3P4/2NBPN2/PPQB1PPP/R2R2K1 w - -,d2e1
5kr1/pp1Q1p1p/8/4p3/3pBb1q/8/PPP1P2P/5R1K w - -,h2h3
8/8/8/8/2p5/3k2R1/2p1r3/2K5 b - -,d3d4
r1b2r2/6k1/1ppq1b2/p2pNPp1/P2P2Pn/1P2Q3/3BR3/3R2KB w - -,d2e1
8/1p2k3/n1p3p1/5p1p/1PP5/6P1/1bNB1P1P/6K1 b - -,b7b5
r4rk1/p1pbq2p/2p5/P2pP3/4pR2/1N2Q3/1PP3PP/R5K1 b - -,f8f4
r1bqk1nr/pppp1ppp/1bn5/8/2B1PP2/2P2N2/PP4PP/RNBQK2R w KQkq -,d1e2
B5k1/p4pp1/7p/8/3r2P1/P6P/1P1p1P2/2nR1K2 b - -,g7g6
1r4k1/6b1/3p2Q1/1p1P4/2p5/2P4P/3q2P1/5R1K w - -,g6d6
3r1b2/6pp/4k3/p1prP2P/1p3Pp1/1P2P3/PBR1K3/6R1 w - -,g1g4
r2qk2r/5ppp/p3p3/1p1p4/1b1PnP2/1P1N4/P1P1Q1PP/R1B2RK1 b kq -,b4c3
3r3r/1k3p2/1p5p/P2nPp1N/6pN/R1b4P/5PP1/1R4K1 b - -,g4h3
r2q1r2/2ppnpbk/p5pp/1p2P3/4RB2/1P3N2/1P1Q1PPP/R5K1 b - -,c7c6
4bR2/4k3/pr4p1/3pP3/2pP3P/2K5/P1B5/8 w - -,f8h8
r2qkb1r/pppb1pp1/3p1nn1/3Pp1B1/2P1P2p/2N3P1/PP2NPBP/R2QK2R w KQkq -,d1d2
r1r3k1/1bq1b1p1/6p1/4p3/p1nBNP2/3B4/PPP5/1K1RQ1R1 b - -,e5d4
rn1q1rk1/p1p1bppp/bp2pn2/3pN3/3P1P2/3BP3/PPP3PP/RNBQ1RK1 w - -,b2b3
3q2k1/1p3pbp/p1pR2p1/4p3/2P1P3/1PB3P1/P1Q2P1P/6K1 b - -,d8d6
2b5/5pk1/2n5/3N2p1/1p2P1P1/1P2K3/3R4/2rB4 w - -,d1e2
8/8/1r1p2pp/8/3kP2P/5P2/1p1K4/1R6 w - -,h4h5
6k1/1p2rp1p/P5p1/3R4/4B3/P3P3/5PKP/b7 b - -,b7a6
8/8/3P4/2p1bp1k/p4q1p/5P1P/2K1Q3/1N6 b - -,e5d6
2k1rr2/pb1p3p/1pnP1n2/q1p1pQ1P/2P5/2P1PP2/P2B4/R3KBNR b KQ -,a5a4
2b2r2/pp2rnkp/2p2qp1/3pN3/3P1PP1/1PN4R/P1Q2RKP/8 w - -,h3f3
rnbqk2r/pp3ppp/4pn2/2p3B1/1bBPP3/2N2N2/PP3PPP/R2QK2R b KQkq -,c5d4
2R5/8/4p3/3nPk1p/3P4/2p1BKP1/5P2/r7 b - -,a1a2
r4nk1/rp2q1p1/2p1p2p/2PpNpnb/1R1P4/3N2P1/PQ2PPBP/R5K1 w - -,a2a4
3q2k1/3r1p1p/b3p1p1/pN1p4/Pb1P1Q2/1P6/4BPPP/2R3K1 w - -,h2h3
6k1/5p2/4pqp1/8/1P5p/6P1/2Q2PP1/6K1 w - -,g3h4
8/2R5/5pk1/3K4/8/2B2r2/8/8 b - -,f3f1
2r5/5kp1/4pb1p/1p1pp3/8/1PrN1P2/P3R1PP/3R2K1 w - -,d1d2
3rr1k1/p4ppp/1p3q2/2pPn3/2P3b1/P3R3/R2Q1PPP/2B2BK1 b - -,b6b5
r1bq1rk1/pp2nppp/4p3/3nN3/2BP4/2N5/PP3PPP/R2Q1RK1 b - -,d5c3
rq3r2/pp1Q1p1k/3b2pp/3Pp3/8/6N1/PP3PPP/2R1R1K1 b - -,h7g7
3r1rk1/pb1nqppp/2pb1n2/1p2p3/3PP3/1P3N2/PBQN1PPP/R3RBK1 b - -,f8e8
2bqnrk1/2p1n1b1/1p1p2p1/r2Ppp1p/P1P1P3/1NN1BP2/4B1PP/R2Q1RK1 b - -,a5a8
8/8/1pp5/p4p2/P1P3p1/kPK1P1P1/8/8 b - -,c6c5
2r2rk1/pp1qpp1p/2n3p1/3pP3/3P4/2R2N2/PP2QPPP/2R3K1 w - -,h2h3
6k1/p6p/5bp1/8/8/5N2/6P1/R6K b - -,f6a1
3r1r2/p1q1npbk/bppp2pp/5P1P/2P1P3/1PNQB3/P1B3P1/3R1RK1 b - -,g7e5
4rrk1/pppq2b1/2np3p/4pbp1/2P5/2NPB1P1/PP3PBP/1R1Q1RK1 w - -,c3e4
2rr2k1/p5p1/1b1qb1pp/4N3/3P4/4Q2P/PB3RP1/2R3K1 w - -,c1c8
r2qkbnr/ppp3pp/2n5/3pP3/6b1/2PB1N2/PP3PPP/RNBQK2R b KQkq -,c6e5
r1bq1rk1/pp1pppbp/2n2np1/1Bp5/4P3/2PP1N2/PP2QPPP/RNB2RK1 b - -,d8b6
2rq1rk1/3nbppp/pp1p1n2/3Pp3/P1P5/1N2B3/1P2BPPP/R2Q1RK1 w - -,a4a5
8/6k1/R6p/8/1p5p/5KP1/P1r2P2/8 w - -,g3h4
2r2rk1/pp1qp1bp/2np2p1/3N1b2/2P1n3/4BN1P/PP2BPP1/R1Q1R1K1 w - -,e3h6
r1b2rk1/pp1nbppp/1q2pn2/2p5/P1pPPB2/2N2NP1/1P1Q1PBP/R4RK1 b - -,c5d4
8/3b1pk1/p5p1/2R5/1r2P3/1P4P1/P4R1P/3r1BK1 w - -,c5d5
8/4rk2/rq4p1/p1np1p2/3Nn1Q1/1P3NP1/2R1PPK1/7R w - -,g4f4
2nrrk2/pq4bp/1pp1bpp1/8/2NP1B1P/1P4P1/P2R1PBK/2Q1R3 w - -,c4d6
r3r1k1/pp2qpp1/1np2n1p/3p1B2/3P2P1/2N1P2P/PPQ2P2/2KR3R w - -,h3h4
8/2p2rk1/1p1p4/pP1Nbrpp/P1P1R3/3R1PP1/5K2/8 w - -,f2g2
r2r2k1/pp2qpbp/1nb3p1/4p3/4P3/2NBBP2/PP1Q2PP/3R1RK1 b - -,b6c4
2k2r2/p1nqb1Np/1p5n/3p2p1/2pPp3/P1P3NR/1P2QPP1/3RK3 b - -,f8f6
5k2/p4p2/7p/4PP1p/2p5/P5R1/1r1r2PK/4R3 b - -,d2e2
r1bqk2r/pp2ppbp/1n4p1/n2P4/8/1BN2N2/PP3PPP/R1BQK2R w KQkq -,e1g1
2r1kb1r/2qn1p2/ppbp1npp/4p3/2P1P3/P1N1NP2/1PQ1BBPP/3RK2R b Kk -,d7c5
rn1qk2r/pb3ppp/1p1bpn2/2pp4/3P4/2PBPNB1/PP1N1PPP/R2QK2R b KQkq -,b8c6
r2qkb1r/ppp2ppp/2bp1n2/6B1/3QP3/2N2N2/PPP2PPP/R3K2R b KQkq -,f8e7
2rq1rk1/1b2bppp/np2p3/pnp5/4P3/PP1P1NP1/1B1N1PBP/2QRR1K1 w - -,c1a1
2r2k2/1bp1Rp2/pp1p1npp/3P4/2P2Pq1/5N2/PP1Q2PP/3B3K w - -,f3g5
2q2r2/prpn2nk/1pN1p1pp/8/1P6/2NP2P1/P1PQ1P2/R3R1K1 w - -,g1g2
r1b2rk1/1pb1qppp/p1p2n2/6Q1/3B4/2N3P1/PP2PPBP/R2R2K1 b - -,h7h6
6k1/6p1/p6p/P1R1N2P/2p2PP1/3b4/1r6/6K1 b - g3,g8f8
r3r1k1/1p1q3p/2p1bppb/p2np3/P7/2BP2P1/1P1NPPBP/R2Q1RK1 b - -,d5c3
6k1/pp3pp1/2r2n1p/3pq3/8/1P2PP2/P2QNP1P/2R3K1 b - -,e5g5
2r1r1k1/p6p/1pq5/3p1Q2/1npR4/1P3PP1/P3NRKP/8 w - -,d4g4
1kr5/pppr3p/5p2/2qp4/3N4/3PB3/PPP2Q2/2K4R b - -,c5a5
8/B7/5Np1/7p/2r2p2/8/4kP1P/1K6 w - h6,b1b2
4r1k1/5pp1/NNp1qnn1/2Pp4/3Pp1bp/4P1P1/5PBP/1R3QK1 b - -,h4h3
r2q1rk1/1p3ppp/p2pb3/n2p4/3P4/2N1P3/PP2BPPP/2RQ1RK1 w - -,e3e4
5bbk/6p1/7p/5P2/2PpN3/3Q2P1/7P/r5K1 w - -,g1g2
r5k1/pbq2pbp/3n4/1pNPp1p1/1P2P3/4R1P1/1B3P1P/Q4BK1 b - -,f7f6
1rb2rk1/p1p1bppp/2p1pn2/2q5/Q1p5/2N1B1P1/PP2PPBP/R2R2K1 b - -,c5h5
r7/P7/2N4k/8/1K1Pnp2/6p1/8/2R5 w - -,b4c4
r5k1/pppq1rbp/2npbnp1/3Np1B1/1PP1p3/3P2P1/P2QNPBP/R4RK1 w - -,d3e4
8/pp2k3/8/5P1p/4K3/1P1R4/P1r5/8 w - -,d3h3
r1k1r3/pb3ppp/5n2/1Q2b3/8/4B3/PPP2P1P/2KR4 w - -,e3g5
6k1/3r1p1p/p3p1p1/2P5/4BP2/1P5P/1P4P1/1K6 w - -,b3b4
1rbqr3/pp3pkp/3p2p1/2pP4/2P1PP2/1Q4P1/P5BP/R4RK1 b - f3,d8f6
8/1B2n3/1p1r2k1/1R4p1/P1K3P1/8/8/8 w - -,b5b1
r3r1k1/pp6/2pp1p2/5P1p/1PPP1n2/P1N1qBp1/2Q5/R4K1R w - -,f3g2
r2r2k1/1q3pbp/n2p1np1/2pP4/2N2B2/2N3Pb/PP2BP1P/R2QR1K1 b - -,a6c7
r3rnk1/pppq2b1/2n4p/3p2pb/3P1p2/P1PQ1N1P/1P3PPB/1B1RRNK1 w - -,f1d2
8/Q7/8/1k6/3p3p/1p5P/1P2K1P1/2q5 b - -,c1b2
r4rk1/4pp1p/2p2bp1/p1Pp4/1P6/2NQ2Pq/P3PP1P/R4RK1 w - a6,b4b5
8/5k2/p1pK4/P1P5/2P2pP1/8/P6R/5r2 b - -,f1c1
4r1k1/3n1pp1/pp4qp/1b2p3/4P1P1/B3QB2/5P1P/3R2K1 w - -,h2h4
r2q1rk1/pb2p1bp/1pn3p1/3pPn2/1P1P4/P1NBB3/6PP/R2QK1NR w KQ -,d3f5
5r2/1P5k/p1r4p/2P2ppN/4p3/1B5P/P4KP1/2R5 b - -,f5f4
5r2/r4ppk/7p/RP2p3/2BnP3/4N1Pb/5P2/R5K1 b - -,a7a5
2br2k1/6p1/4p2p/p1NrN3/1p1P1PPb/8/PP1R3P/1K1R4 w - -,b1c2
3rk2r/1pq1bp1p/p3pnp1/P1p5/2Nn4/2NP2R1/1PP2PPP/2BQR1K1 w k -,g3h3
8/7p/4k3/4p3/5pKR/p4P2/3r2P1/8 w - -,h4h6
r2qk2r/pp1bbppp/3p1n2/4p3/1n1PP3/5N1P/PPB2PP1/RNBQ1RK1 w kq -,c2b3
r3k2r/ppq2pp1/2p5/2Pp3p/PP1Pp1nP/4P3/3NQPP1/2R2RK1 w kq -,f2f4
3r1k1r/4bp2/1p3np1/1Nq1p2p/PP4n1/3B2BP/2P3P1/R3QR1K b - b3,c5b4
2k2b1r/p4p2/4pP2/1q1rn3/Npp5/4B1P1/1P2QP1P/R1R3K1 b - -,d5d3
