8/pK4k1/1p6/6P1/2p1B3/P1P5/4b3/8 b - -,e2d3
8/5p2/4pk2/N7/6n1/1P6/P5K1/8 b - -,f6e5
5k2/p3q3/bp2Bp2/2pP1Q2/2P5/6P1/P4K2/8 w - -,f5h5
r4k2/p3pp1p/3p2p1/2nP4/1R2P3/p5PP/3n1PB1/R5K1 w - -,a1a3
8/4k1p1/7p/1n2pP2/p7/4K3/7P/B7 w - -,a1e5
1r3rk1/2p2ppp/2P2q2/p1BPp3/4Pnb1/P4Nb1/KPQ3P1/3R1B1R b - -,f8e8
1n1qnrk1/p4ppp/2Pb2b1/1Q2p3/2B5/2N1PP2/PP1P2PP/R1B1K2R b KQ -,e8c7
2q5/pp3rkp/6p1/6P1/2B2b1P/N7/P7/3KR2R w - -,c4f7
2r1qb1k/1r3pp1/2n1p2p/3pP3/1p1P1QNP/5R2/1P1B1PP1/3R3K w - -,h4h5
r2q1r1k/4n1bp/3p4/pp2pp2/8/1PP1N3/1PN1QPPP/2KR3R b - -,b5b4
2r2k2/1p3p1p/p3bBp1/5P2/2B5/1P6/P5PP/3R2K1 w - -,c4e6
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2NB4/PPP1QPPP/R1B1K2R w KQkq b6,c1d2
r1b1kb1r/pp3ppp/1qnppn2/8/2P5/1NN1P3/PP2BPPP/R1BQK2R b KQkq -,f8e7
r4rk1/b2qn1pp/p1p5/P2p4/2PNn3/4BN1P/2Q2PP1/R2R2K1 b - -,d7d6
r1b2rk1/q3npb1/2p3pp/p1p1p3/1P2P3/PN3NP1/4QPBP/R2R2K1 w - -,b3c5
r2qkb1r/p2n1ppp/2n1p3/1p1pPb2/2pP4/2P5/PP1NBPPP/R1BQNRK1 b kq -,f5g6
4r1k1/1pq2pp1/2p1bnnp/3pP3/Q3P3/2P1B2P/1PBN1PP1/4R1K1 b - -,c7e5
3r1rk1/p3q1bp/1ppn1p2/4p1P1/P3P2P/1PN1Q3/2P2R2/R1B3K1 b - -,f6f5
3q1rk1/1p1bbppp/1n2p3/1NppP3/1BP2P2/1P1P2P1/4N1BP/Q4RK1 b - -,c5b4
r1bqkb1r/pp1n1ppp/5P2/2p5/Q1pp4/2N2N2/PP3PPP/R1B1KB1R b KQkq -,d4c3
1rb3r1/1p2b2k/p2pp3/4np1B/1PP1nN1P/R1N1B3/1P3PP1/3R2K1 w - -,c3e4
rn2r1k1/2pbq1pp/1p3p2/p2Pp3/2P1Q2N/P7/1P2BPPP/3RR1K1 b - -,e7d6
r3brk1/1pqnbppp/p1n1p3/4P3/P3Q3/2NB1N2/1P3PPP/R1BR2K1 b - -,g7g6
8/8/5nk1/1R5p/7P/6PK/3r4/8 b - -,g6f7
4R3/6k1/7r/4p3/4Pp1P/5B2/6PK/1r6 w - -,h4h5
r5k1/1q2pp2/1p2b1p1/p3bnQp/7P/1NB3P1/P2R1P2/2R3K1 b - -,e5c3
1rbq1rk1/2pp1pb1/p1p3np/6p1/4P3/1BP3B1/PP1N1PPP/R2Q1RK1 b - -,g8h7
r1bqr1k1/pp1n1pp1/3p1n1p/2pPp3/2P1P2B/2PB1P2/P3N1PP/R2Q1RK1 b - -,d7f8
rnbq1rk1/pp2ppbp/6p1/4P3/2pP4/3BBN2/P4PPP/R2Q1RK1 w - -,d3c4
r1b2rk1/1pq5/2nbpn1p/p2pN1p1/P2P3B/1N1B4/1P3PPP/2RQR1K1 w - g6,h4g3
8/8/R6P/6k1/7r/3K4/8/8 w - -,d3e3
8/2b3p1/2p2k1p/p1Pp3P/P2P2P1/2B2K2/8/8 w - -,c3d2
8/6p1/1R3bk1/p2R3p/P3KP2/4P2r/8/8 w - -,d5a5
r3r1k1/p2b1ppp/2p5/8/8/P3B1q1/1P1R1PPP/2R3K1 w - -,h2g3
8/p1n2k2/1p1b4/2p2ppp/P7/1P3BPP/1B3PK1/8 b - -,f7g6
3rr2k/1pnn1p1p/p4B2/2pPpB2/P4P2/2N4P/1P6/3RR2K b - -,d7f6
5b2/8/2r2k1p/1RP1pp2/1p3P2/1N5P/6PK/8 w - -,f4e5
2rr3k/pp1nq1pp/1n2pp2/2b5/4N3/1Q4P1/PP1BPPBP/2RR2K1 w - -,h2h3
3k3r/pp2p2p/3p2p1/3Qp3/1q4P1/1rPB4/3K3P/1R5R b - -,b4c3
8/p4kn1/1p1rp1p1/5p2/P6Q/1q4P1/5P1P/4R1KB w - -,h4f4
r1bq1rk1/p3nnbp/6p1/2P1p3/5N2/4BP2/PP1QN1PP/1K1R1B1R b - -,e5f4
3r1r1k/2p5/1p2qP1p/p1pnBnp1/P7/5P2/1PQRB1PP/5RK1 w - -,c2e4
1rb1r1k1/5pbp/pq1p1np1/2pP4/R1n5/1NN3PP/1P2PPB1/2BQ1RK1 w - -,a4c4
rn1q1rk1/pp3ppp/2p2b2/5N2/Pn1PQ1b1/1BN5/1P3PPP/R1B1R1K1 b - -,g4f5
4rk1b/1R2p2p/p2p1p2/3P2p1/4QB2/1P4Pq/P3PP1P/6K1 w - -,f4e3
r4rk1/2qbbppp/p2ppn2/1p3P2/1P1NP3/2N1BQ2/1PP3PP/R2R2K1 b - -,f8d8
2b1k2r/p2qb1pp/r1p2p2/N3p3/QP1p4/3P2P1/P3PP1P/2RN1RK1 b k b3,c6c5
r5Q1/1pk3p1/p1n1p1B1/q2p2P1/1bpP1P2/P3P3/1P6/R1BK4 w - -,g8a8
8/1p4k1/p2p4/2p3p1/2Pb1rN1/3BR2P/PP4P1/6K1 w - -,g1h1
r2q2k1/pp4p1/6pp/3p4/3P1rP1/N1P4P/PP3PQ1/R4K2 w - -,a1e1
6k1/p5pp/1p6/2n5/5P2/2PrB3/P4P1P/2R2K2 b - -,g8f7
