7k/6pp/1p6/r7/P2NKP2/6P1/7P/8 b - -,a5a4
2k1rr2/1pp3p1/p1pb1q2/7p/3Pp1bP/1PN1R1P1/P1P1QP2/R1B3K1 w - -,e2e1
2r4k/pb1nq1pp/1p1p4/3npp2/1PNP4/P2BP1B1/5PPP/3QR1K1 w - -,d1a4
2R2b1r/8/p2Bn3/1k6/Np6/8/PP3PPP/6K1 b - -,b5a4
1r1r2k1/1p2bppp/2n1b3/pq6/3pN3/P2N2P1/1P2PPBP/2RQR1K1 w - -,e4c5
5rk1/pbrn1ppp/1p1qpn2/8/2PP4/P3QN1P/1B2BPP1/2R2RK1 b - -,f8c8
r1b2rk1/1p2ppbp/p2p1np1/q1pPn1B1/P1P1P3/R1N2P2/1P3NPP/3QKB1R b K -,h7h6:e7e6
8/2Qbk1p1/1p1rp2p/q7/8/P7/5PPP/2R2BK1 w - -,c1b1
6k1/2n3b1/p2p1pP1/1pq1r3/6BQ/2P4P/PP4P1/3RR2K w - -,e1f1
2q5/6p1/5nk1/8/p2R2P1/P3R1P1/5BK1/8 w - -,g2g1
r1bqk2r/1p1n1p2/p1n1p3/3pP1bp/5Bp1/1NNB2P1/PPP2P1P/R2QR1K1 b kq -,g5f4
r6r/ppp1kpp1/3b1np1/3p4/1n1P4/3B1PP1/PPP1N2P/R1BR2K1 b - -,b4d3
3q1rk1/1b2pp1p/p2p1np1/1pr2P2/P3P3/2PB2N1/1P2Q1PP/R4R1K b - a3,c5e5
5rk1/ppp3bp/3p4/4p3/2PnP3/2N3P1/PP3q1P/R1B3QK b - -,f2f3
4r1k1/q3bppp/p1p1p1n1/2PpP3/2PB1P1P/4Q1P1/r2N4/4RRK1 w - -,e1b1
6k1/5rp1/p3p1p1/1prp4/6P1/P7/2PRR1BP/7K b - -,c5c6
8/1p5p/p5k1/3p4/3N1K2/7P/PP6/8 w - -,d4f5
1r1q1rk1/pp2npbp/2npb1p1/2p1p3/2P5/2NPN1P1/PP2PPBP/R1BQ1RK1 w - -,e3d5:a1b1
6k1/p4p1p/2p1b1p1/1p5n/4P3/1PN2P2/P2r2PP/R4BK1 w - -,c3e2
1rb1r1k1/5p1p/p2p1npb/2pP4/2P2P2/1P2P2P/1B3RB1/R2N2K1 b - -,f6e4
r1b4r/2p2kpp/p4p2/3p4/p1PP1P2/3B1N2/P5PP/1R2R1K1 b - -,c7c6
7Q/4kr2/3p4/3b1pp1/r3pq2/3B1P2/1PP1N1PP/4RK1R b - -,f4d2
2k1r2R/1p1q1p2/p3bQp1/4P3/2pp2P1/5P2/PPP1B3/2K5 b - -,e8h8
2rr2k1/p7/2p1p3/6pp/1PNb1p2/5P1P/P2BK1P1/2R3R1 b - -,d4g1
8/kpq1p3/8/p6Q/P5p1/4P1P1/1br3PK/1R6 w - -,b1d1
3n4/8/K1k5/4p1p1/3p1pP1/B2P1P2/4P3/8 w - -,a3e7
8/R4ppp/3rk3/4p3/7P/5KP1/5P2/8 b - -,g7g6
r1q2rk1/pp2bppp/2n1p3/3n4/3Pp3/1QP3P1/PP1B1PNP/R3KB1R w KQ -,g2f4
8/5pkp/p3b1p1/2r5/r1P1P3/P1R3P1/7P/3R1BK1 b - -,e6c4
8/6kp/4Q3/7p/8/6P1/1P3PK1/2q5 w - -,b2b4
r3k2r/ppqn1ppp/2p1pnb1/8/PbBP4/2N1PN1P/1P2QPP1/R1BR2K1 b kq -,e8g8
3qnrk1/3bnpbp/pr1p2p1/2pPp1B1/2P1P3/2NN2PP/1P3PB1/R2Q1RK1 b - -,d7c8
8/ppp1rpkp/2Rn2p1/4p3/4P3/3N2PP/PP1rPPB1/R4K2 b - -,b7c6
3rrn2/1bp2pk1/pp3q1p/4p3/PPB1Pp2/2P2N2/2Q2PPP/R3R1K1 b - -,f8h7
4rrk1/nbqn3p/pp2ppp1/2p5/2P4P/2NPPNP1/PQ3PB1/1RR3K1 b - -,a7c8
8/8/4K3/p7/3Q4/kp1P2N1/7p/8 w - -,d4c5
