3k4/8/3Bn3/b3Pp2/P1K5/8/6B1/8 b - -,e6f4
r1b1nrk1/pp2ppbp/1qn3p1/1B1pP3/P2p4/2P2N1P/1P3PP1/RNBQR1K1 w - -,c3d4
8/8/1k6/1p6/p1p5/P1K4R/2P5/4r3 b - -,e1a1
1qrr2k1/1b1nbppp/2n1p3/1p1p4/1P6/P2NP1P1/1BN1QPBP/2R2RK1 w - -,f2f4
4q2k/2b3p1/2P4p/1P6/8/5p2/3Rr2P/3Q1N1K b - -,e8e4
8/4r3/6k1/4pRPp/8/8/6K1/8 w - -,f5f2
1n1rr3/1pq1ppkp/1Np1b1p1/Q1PnN3/3P4/P4B2/1P3PPP/3RR1K1 w - -,b6c4
r2k4/pR6/1p1p1r1p/2np2p1/3N2P1/4P3/PP3PK1/2R5 w - -,b7h7
rn1r2k1/pb4pp/1p1pp3/6n1/2NPPp1q/B1PB1P2/P1Q3PP/R4RK1 b - -,g5f7
r3k2r/pb1p1ppp/1pnNpn2/8/2P1P3/1N3P2/PP4PP/R3KB1R b KQkq -,e8e7
5rk1/5ppp/2n1p3/1pqn1b2/2PR4/Q4N1P/PP1B1PP1/4K2R b K -,b5b4
2r3k1/pb3pp1/1p2p1p1/6q1/2PR4/1Q4P1/P3BP1P/2R3K1 b - -,g5c1
rnb1kb1r/1p3ppp/p2p1q2/4p3/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -,c3d5
r5k1/1ppqnrb1/2np3p/p3pp2/P3P3/2P1N1PQ/1P5N/R1B2RK1 b - -,a8f8
2r5/pppr2k1/1n1p1p2/5Pp1/1P1Pp3/4N2P/P1R2PP1/2R3K1 w - -,b4b5
2R5/1r4k1/5N1p/4pKPP/8/8/5P2/1r6 w - -,g5g6
2r2rk1/1b3ppp/p2pp1n1/np6/4PP2/P1PBN3/1P2N1PP/R4RK1 w - -,a1d1
2kr2r1/2p1bpp1/pp2b2p/2p1P3/3qNB2/1P1P2Q1/P1P3PP/R4R1K w - -,a2a4
6k1/1p3b2/p6p/P2p1Q2/3P4/1q3NKP/8/8 b - -,b3a3
r3r1k1/1bq1bppp/p2pP3/1pn3PP/2nNP3/P1N5/1PP3B1/R1BQ1RK1 b - -,c5e6
2r2rk1/pp1b1pp1/4p2p/n3Q3/3PN3/q3PB2/P4PPP/R4RK1 b - -,a5c4
r4k2/1b1p2p1/4p2r/5pR1/1P1q4/6Q1/5R1P/5BK1 w - -,b4b5
r3k2r/4bpp1/2p5/p3pbP1/4p3/2P1B3/PPK2PB1/3R3R b kq -,h8h1
8/3R4/5pp1/1k5p/p1r5/K4P2/6PP/8 w - h6,d7g7
8/8/6n1/3kppP1/8/5KP1/8/8 b - -,d5d4
1r2q2k/3r3p/p3P1pb/8/N2N2b1/6Q1/1P6/1K5R w - -,e6d7
r3r1k1/1p2qpp1/p2p3p/2p1nQ2/2P5/P3P1P1/1P2BPP1/2RR2K1 w - -,d1d5
r4rk1/1p2qpp1/pn2p1p1/8/3N4/1PP4P/3PQPP1/R3R1K1 b - -,a8c8
2r1q2r/pk2b3/4p2p/1n1pP1p1/1ppP2P1/5RQ1/PPP1N1NP/1K3R2 w - -,f3f7
r1bq1rk1/pp2ppbp/2n2np1/2p5/2Pp1P2/3P1NP1/PP2P1BP/RNB1QRK1 w - -,h2h3
r4rk1/p1pnqpp1/1p1p1n1p/8/1PPPp3/P1Q1P2P/1B2BPP1/R4RK1 w - -,c3c2
8/8/4pn2/1pB5/1Pkp1KP1/8/8/8 w - -,g4g5
5rk1/pb1q1ppp/1p6/2n1PN2/P1p2P2/2P4P/2Q1R1PK/5R2 w - -,f5d6
r1bqk2r/pp1pppbp/2n2np1/8/8/1NN3P1/PPP1PPBP/R1BQK2R b KQkq -,e8g8
2r3k1/5pp1/q2p1Pbp/3P4/1pr2B2/1P6/1PPQ3P/1KR1N3 w - -,e1d3
2rqr1k1/1b1n1ppp/pp1bpn2/3pN3/2PP4/1PN3P1/PB2QPBP/2R1R1K1 b - -,d7f8
2r2k2/3n1ppp/p1bRp3/1p4PP/2P1P3/PP2BP2/1K2B3/8 w - -,c4b5
8/5p2/4nk1p/3B4/1R5P/2r3P1/5PK1/8 b - -,f6e5
r5k1/1p2qppp/2p3b1/p3n3/Pb2PN2/4BP2/1PQ3PP/2R2B1K b - -,f7f6
6k1/5p1p/3p1npB/q2Pp1Q1/4P1P1/2r1Rr1P/1p3PK1/1B1R4 b - -,f3f4
r4rk1/p1n2pbp/1qpp2p1/5b2/3P4/P1N2N2/1PP1BPPP/1R1Q1RK1 w - -,h2h3
5k2/1p3p1p/2p3p1/2Prn3/1P1N4/5P2/6PP/3RK3 w - -,d4c2
6R1/8/8/1p1p4/p2Pbk2/P1B5/1Pr5/6K1 b - -,f4e3
4r1k1/5pb1/1q1p2p1/p7/1pP1B1Q1/1P5P/P5P1/3R3K w - -,e4d5
r1r3k1/pR2Bp1p/6p1/2n5/3bP3/5B2/q4PPP/3Q1RK1 w - -,d1d4
r4r2/p5pk/2p2pNp/3n4/2B3Q1/2P4P/PP3PP1/R6K w - -,g6f8
r1bq1rk1/pp2b1pp/2np1n2/2p1pP2/5P2/2NP2PP/PPP1N1B1/R1BQK2R b KQ -,c8f5
Bn3rk1/p1p1bppp/b3pn2/2q5/Ppp2B2/6P1/1PQNPP1P/R4RK1 w - -,f4e3
2r1k3/5p2/pq1p1p2/1p2pP1B/4Pb1P/PP1Q4/1P6/1K1R4 b - -,b6d4
b4k2/7Q/1r6/pp1p2R1/2pN4/P1Pq4/1P4P1/2K1R3 b - -,d3h7
r2q1rk1/pp1b1p1p/6p1/2pPb3/n3P3/2N1BP1P/PP1Q4/2K1RB1R w - -,f3f4
r1bq1rk1/1ppn1ppp/5n2/p3p3/1bP5/2N2NP1/PP1BPPBP/R2Q1RK1 w - -,a2a3
3q2k1/1p3rb1/3p1nn1/3Pp2p/4P1p1/4NPP1/PP2BB2/2rQ1RK1 w - -,d1c1
r5kr/1p2q3/pnn1b1p1/3pPpPp/2PN1Q2/4R3/PP1B1PB1/R3K3 w Q -,d4e6
r4rk1/5pp1/pb3q2/3P3p/1PBp1n1P/5PPb/PN3B2/R3QRK1 w - -,g3f4
r2qkb1r/1p1n1ppp/p2pbn2/4p3/4P1P1/2N4P/PPP1NPB1/R1BQK2R b KQkq -,h7h6
r1bqk2r/1p2ppbp/2p1n1p1/p1p1P3/P7/2NP1N1P/1PP2PP1/R1BQ1RK1 w kq a6,f1e1
1q1rrn1k/7n/R2p1ppb/2pP4/Qp2PP1P/4BB2/1P2NK2/R7 b - -,b8c8
1k4r1/1p1R1p1p/1Np5/p3P1q1/6n1/8/PP3Bp1/2RQ2K1 w - -,d1d6
1rbq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P1P/2P2N2/PP2N1P1/R1BQKB1R w KQ -,h4h5
r3r3/3k1b1p/p1pp1pp1/8/2pP1PPP/NP2RK2/P7/4R3 w - -,b3c4
1n6/1N1nkppp/p3p1b1/1pN5/4P3/5P1P/PP4P1/5BK1 w - -,g1f2
8/4k1n1/8/3r1pPp/1P6/4B1P1/4K3/7R b - -,d5b5
1rb1k2r/p1q1npbp/2n1p1p1/1pppP3/7P/3P1NP1/PPP2PB1/R1BQRNK1 b k h3,h7h5
6k1/3q1pbp/pp2p1p1/1n1p4/1P6/3P1PPB/PB3PKP/2Q5 w - -,a2a4
6bk/6p1/7p/5P2/1bPp4/3Q2P1/3N2KP/2r5 w - -,f5f6
r4rk1/2q2nbp/p2pp1p1/1pp1p2n/4P1N1/2PP2PP/PPN1QP2/2BR1RK1 w - -,c2e1
2kr3r/ppp2p2/2nq1b2/7p/4Q3/3PN1P1/PP2PPK1/1RB4R w - -,e3f5
r2q1rk1/2pnppb1/1p1p2pp/pP6/2PPb3/4PN1P/P3BPPB/R2Q1RK1 b - -,e7e5
rn1qk2r/1pp1ppbp/p2p1npB/3P4/4P1b1/2NB1N2/PPPQ1PPP/R3K2R b KQkq -,e8g8
R5k1/5pp1/5b1p/5N1P/4Pn2/1r6/8/2K5 b - -,g8h7
8/3k4/5K2/p7/N1N5/8/8/8 b - -,d7c6
2r3k1/1RP1n1pp/p4b2/1r6/5p2/5P1P/5BP1/2R4K w - -,b7a7
6R1/5B1n/1b3r1k/4p1p1/P3P1P1/8/8/7K w - -,f7d5
1r4k1/1b1rq1bp/1pnpppp1/pNn5/2P1PPB1/P1N4R/1P3BPP/1R1Q3K b - -,f6f5
1k6/p1p1n3/1p6/3p2R1/PPbP1b2/2P5/2KBq3/2Q5 w - -,g5g7
r2qnrk1/pbpnbppp/1p1p4/3Pp3/2P1P3/P1NB1N2/1P3PPP/R1BQR1K1 w - -,b2b4
1r1q1rk1/1bn1ppbp/pp1p2p1/2p5/PPPnPP2/2NPB1PP/4N1B1/1R1Q1RK1 w - -,g3g4
k1r5/1p4pp/p2R1p2/P7/1P3Q2/6P1/2P2PK1/4q3 w - -,f4d4
r5k1/1q1rbp1p/p1b1pPp1/Pp2P3/1P1Bp1P1/2P1Q3/4B2P/R4RK1 b - -,e7f8
6n1/6k1/p3Rrp1/1p3p1P/8/6N1/P1P3PK/8 w - -,e6e8
6rr/pkp5/2p5/5p2/2P2Q1P/3R2P1/PP3RK1/4q3 b - h3,g8f8
1k3r1r/ppqnn1p1/3p1pp1/2pP2P1/2P1PB2/2Q4P/PP4B1/R4RK1 w - -,c3g3
8/1p1n1pkp/2p3p1/8/4B3/1P2P1P1/2Q2PKP/q7 w - -,h2h4
5k2/1p4pp/4Q3/pq2p3/3p4/P1P1b3/1P4PP/1K5R w - -,c3c4
