8/8/1p2bkp1/4p2p/3bB3/P4PP1/4KN2/8 w - -,e4d3
1r3rk1/3q1pbp/p2p2pB/P1pQ4/2B5/R7/6PP/5R1K w - -,h6g7
3r2k1/1p2qp2/p1b3p1/4p2p/4p3/2PrP3/PP2QPPP/2R1RNK1 w - -,c3c4
2rqnrk1/1bNn1ppp/P7/3p4/3Pp3/1P2PP2/2QNB1PP/R1R3K1 b - -,c8c7
rn1qkb1r/1b3ppp/p2pp3/1pn3P1/1P1NPP2/2N4P/P1P3B1/R1BQK2R b KQkq b3,c5d7
2rr2k1/p1qnbppp/bpp1pn2/3pP3/2PP4/1P3NP1/PBQN1PBP/R3R1K1 b - -,f6e8
8/8/6p1/5k1p/r4N1P/5KP1/5P2/8 w - -,f3e3
r1bqr1k1/1pp2ppp/3p1nn1/p1b5/3NP3/1P1B3P/PBPN1PP1/R2Q1RK1 b - -,g6f4
r1b1r1kb/pp1qnp1p/3pp1p1/2p3B1/2P1P3/2NP1BP1/PP1Q1P1P/R4RK1 w - -,h2h4
3b4/5pk1/4q3/2pNp1pQ/2PrP2P/1P4P1/2R2PK1/8 b - -,d4e4
r2r4/1b4k1/3p2p1/pBp1b1qp/1pP1p3/1P2P2P/P2RQPP1/1N1R3K w - -,e2e1
r1b1r1k1/1p2qppp/5n2/2p5/1nP1p3/2N1P1P1/Pp1N1PBP/1QR2RK1 w - -,c1d1
r1bqk2r/1pp2ppp/2n1pn2/2bpP3/p7/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,f6d7
8/8/6p1/2p1R1P1/3rp2k/1PK5/8/8 w - -,e5c5
3r2k1/2q1bppp/8/pp1bp1P1/2n5/1N3P1B/PB2Q2P/K2R4 b - -,c4b2
5rk1/pp1r2pp/1npN1qb1/4p3/3RP3/4QP2/PP2B1PP/3R2K1 w - -,d4d2
8/1k6/8/3pp2p/1P4p1/6P1/2r1rN1P/R3BK2 w - -,f2d3
6kb/5p1p/1r3qp1/2p5/1p3BPP/3P2Q1/1P6/5BK1 b - h3,f6b2
8/5pbk/1P4pp/3b4/6P1/2pB1PNP/6K1/8 w - -,g3e2
rn3rk1/pb1pbppp/1q2pn2/2p5/2P2B2/2N1PN1P/PP2BPP1/R2QK2R w KQ -,d1c2
8/6k1/b1p1pN2/p2pP3/P2n3R/1Pb5/5KP1/8 w - -,h4h7
1R6/1P4r1/p7/6k1/8/8/7K/8 b - -,a6a5
r3k2r/2qn1pb1/pp1p1np1/3Pp2p/2P5/1N2BP2/PP1QB1PP/R4RK1 w kq -,a1c1
8/r4pk1/p1R1n1pp/8/1PK1PP2/6P1/P5BP/8 b - f3,e6d8
r1q3k1/1p3pb1/2nN2p1/3N2np/p1P1P3/6Pb/PP2RBBK/1Q1R4 b - -,c8g4
b7/P7/8/1BBpk1p1/4pb1p/5P1P/6P1/4K3 w - -,e1e2
r1b2rk1/ppp2ppp/2p5/4P3/5P1q/2N5/PPPQ2PP/R4RK1 b - f3,c8f5
3r2k1/p2rbppp/1p2p1q1/2p2n2/2P5/PP1PQ1PP/1B3PK1/2N1RR2 w - -,e3e4
1k1r4/ppr1q2p/5pp1/2N3b1/2RP2P1/P4QP1/1P3P2/3R2K1 w - -,f3b3
r4k2/p3r1pp/1p6/2P1R3/1P1Np2P/P1n1PpP1/5P2/5RK1 w - -,e5f5
1r1qkb1r/3b1p1p/p1pppp2/7Q/2B1P3/2N5/PPP2PPP/2KR3R w k -,h1f1
r1r5/pp2p3/3p1n2/3Pk1pp/1P2P3/4KB1P/P5P1/R1R5 w - h6,g2g4
8/8/8/7p/4n3/4N1pk/5p2/7K w - -,e3g2
2r3k1/1pq2b1p/p4np1/3pPPN1/P6Q/3B3P/1P4P1/5R1K b - -,c7e5
5k2/5p2/8/N7/1p1nP1Rp/1P3P1P/2r3PK/8 w - -,g4f4
