6k1/pp6/7Q/2PP1bp1/6P1/7K/P3q2P/8 b - -,e2f3
8/4bpkp/4p1p1/p3P1P1/2pPBP1P/q7/P2Q2K1/8 b - -,e7b4
r4rk1/bppqnppp/p2pbn2/4p3/4P2N/1BPP1N1P/PP3PP1/R1BQ1RK1 w - -,b3c2
rnb1k2r/ppq2p2/4p1pp/3pP3/n2P2QP/P4P2/2PBN1P1/R3KB1R b KQkq h3,c8d7
r4rk1/p4ppp/3q4/2pp1b2/3Qp3/PP2P2P/2P1NPP1/R4RK1 w - -,d4d2
5rk1/p4p2/1p2p1pp/8/8/1n2BB2/5PPP/5RK1 b - -,f8c8
6k1/p2r2pp/5p2/P1q1p3/Q1p1P3/5N2/5PPP/5RK1 b - -,d7d8
r2r4/1p1bk2p/pn2p1p1/4Pp2/3N4/1PNR4/1P3PPP/3RK3 b - -,d7e8
2r1k2r/1bqpbppp/p3p3/6Pn/1p2P3/2N1BP2/PPPQ3P/1K1R1B1R w k -,c3a4
4r1k1/p4rbp/2p3p1/3pP3/5n2/1P4nP/P1PN1RP1/1NK1R3 b - -,f4d3
2r3k1/5p2/7p/3PB1p1/1b6/2n2N1P/5PPK/2R5 b - -,c8c5
2krn2r/ppqnb3/2p2p2/2Pp1p2/3P4/1PB1PQ1B/P7/RN3K1R b - -,e8g7
r3kb1r/ppqnpppp/2p2n2/5bB1/P1NP4/2N5/1P2PPPP/R2QKB1R b KQkq -,e7e5
r1b1k2r/p2pb1p1/2p1p1n1/q1p1Pp1p/7P/1PNP1N2/PBP1QPP1/R3K2R b KQkq -,g6f4
2kr1b1r/pp1q1p2/2n1bn1p/2p1p1p1/3pP3/1P1P2PP/PBPNNPBK/R2Q1R2 b - -,f8d6
6qk/1Rn4p/5p2/p4P1r/6p1/PP1QP3/6KP/5R2 b - -,g8c8
1R3n2/1p2r1k1/p2p1p2/3P3P/6P1/2P1b3/PPB5/5K2 w - -,c2f5
3rr1k1/1p1nbpp1/q1p1p2p/p7/P1PP1B2/5N1P/1PQ2PP1/1R1R2K1 b - -,d7f6
7k/1R6/6BK/8/8/8/8/7r w - -,h6g5
k2r4/p1R2Q2/1p1p2pp/1P1P4/5P2/2b3P1/3NK1P1/q7 w - -,f7e6
r7/2b2p2/8/2B1pk2/2R3p1/P2K2P1/5P2/8 w - -,a3a4
