8/8/8/4k1p1/3p4/3B1PPP/r7/5K2 b - -,a2d2
r4nk1/pp4r1/3p4/3Pp1nB/1P2Pp2/7N/P5P1/2R1R1K1 w - -,h3g5
8/7p/p7/Pbp1p1kP/1p4P1/1P3PK1/2P5/3N4 w - -,d1f2
4q2k/4K1b1/4p2p/8/3P1BP1/4P3/8/8 w - -,e7e8
8/R7/2p5/1b1p4/p2k4/7R/5K2/4r3 b - -,e1e2
6R1/8/3p1kn1/p6p/P3K2P/8/6P1/4b3 w - -,g2g4
2rq1rk1/p3ppbp/1p2n1p1/2p5/4N3/PbBPPPP1/1P1Q2BP/1R3RK1 w - -,c3g7
1rbq1rk1/3n1pp1/p4n1p/4p3/Q2b4/2NN2P1/1P2PPBP/R1B2RK1 w - -,d3b4
r3kr2/1ppbq3/p1n1pbBp/3n2p1/1P1P4/PQ3NNP/5PP1/R1B1K2R b KQq -,e8d8
8/4Rpp1/8/k1K4p/p4P2/1r4PP/8/8 b - -,b3c3
rn1qkb1r/1p3ppp/p1p1pn2/3p1b2/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,c4c5
r2qn1nk/pb4b1/3p4/2pPp1pp/B1P1Pp2/P1N2P1P/3B1NP1/4QRK1 b - -,g8h6
r1r5/p2nppkp/3p2p1/1p1P4/8/1B3P2/PPPR2PP/1K5R w - -,c2c3
5Q2/1p2kp2/3n4/3PK2p/6rP/6P1/8/R7 b - -,e7f8
1Q6/2r3kb/3q1p1p/3P3P/4pP2/6P1/P3B1K1/4R3 b - -,e4e3
3r4/5k2/1r2ppp1/pNbp3p/P4P1P/2PK2P1/1P2R3/3B4 w - -,d1b3
3r1k2/5p2/pN6/2PB1b2/2Q2P2/4R1r1/PP5q/4K3 w - -,e3e2
3r2k1/p4bp1/1p1Pn2p/5Nq1/4Q3/8/PP4PP/1B3RK1 b - -,g7g6
5bk1/1p6/p1q3n1/P1P2p2/5N2/6B1/1P4PP/2R4K b - -,g6f4
r1bq1rk1/4bppp/ppnppn2/8/2P1PP2/1NN1B3/PP2B1PP/2RQ1RK1 b - f3,c8b7
r2q1r1k/pp1nbpp1/1np1p2p/8/1PNP2P1/P2QPNBP/5P2/R4K1R w - -,c4a5
r5k1/qp1n2pp/3p1r2/1RnPpb2/p1N5/2N1QPP1/P2KB2P/3R4 b - -,f5g6
8/1R6/3p3p/2bP3k/1p3p2/5K2/5P2/8 w - -,f3f4
2r2rk1/5ppp/p3pbq1/3n4/2R5/PP4PP/NB1Q1P2/2R3K1 b - -,f6g5
3r1k2/3r1pp1/p3p3/1p2P2p/1Pp4P/P1BnR1P1/2B1KPb1/1R6 w - -,b1d1
8/8/3k2p1/4p2p/4P3/1n2N1PP/1p1nK3/1N6 w - -,b1c3
r2q1rk1/pp1bppbp/2np1np1/6B1/4PP2/1NN5/PPP1B1PP/R2Q1R1K b - -,a7a6
8/pp2k3/2p4p/5P2/5K1R/8/PP2r2P/8 b - -,e2b2:e2f2
rn1rn1k1/p3qppp/8/2P1pP2/RPQpP1P1/7P/2PN3K/R4B2 w - -,d2f3
6k1/5p1p/6p1/8/1Q6/1P1N2PP/qb3P2/6K1 w - -,d3b2
r2q1rk1/pp3ppp/1bn1bn2/3p4/N4B2/5NP1/PP2PPBP/2RQ1RK1 b - -,f6e4
r2r4/7k/p1p1N1pp/qpP1Pp1n/5Pb1/1B5P/PP4Q1/2R2R1K w - -,e6d8
6k1/4p1bp/3rp1p1/n7/8/2P5/P1B1NPPP/3R2K1 b - -,d6c6
r4rk1/ppp3p1/2b4p/4R1b1/2P5/1P6/PB3P1P/3RN1K1 b - -,f8f4
rnbq1rk1/p4pbp/2pp1pp1/8/1p1P1P1B/2N5/PPPQ2PP/2KR1BNR b - -,b4c3
5rk1/1p2ppb1/q3n1p1/4P2p/2r5/2N4P/PPPQ2P1/1K1RR1B1 b - -,f8a8
8/8/4p3/4pp1p/PkP5/6PP/1K3P2/8 b - -,b4c4
r4rk1/1pnbq1b1/p1pp2B1/P2Pp1P1/1PP2p1B/2NQ1P2/8/1R2K1N1 w - -,g1e2
5b1k/7p/pp4p1/5p2/3q4/r5P1/6BP/2Q2R1K w - -,f1d1
8/7p/1pBk2p1/1P2p3/2K3PP/6n1/8/8 w - -,c4d3
5rk1/pp6/2p2q1p/2p2p2/2PNr3/1P1R2P1/P1Q2P1P/3R2K1 b - -,e4d4
8/1k6/6Rp/1p4p1/1PpN4/r7/2K5/8 b - -,a3a4
r2q1r2/p2bn1k1/6pp/1Pp5/2Q1P1pP/6P1/4K1B1/R2R4 b - -,d8e8
