2b5/8/5K2/3k4/8/8/8/R7 b - -,c8h3
r3qB1k/p1p4p/2Pp4/P2Qp3/1P6/8/5P1P/2R3nK b - -,e8f8
7r/pp6/2p5/2Pbkp2/1P1Rp2p/P3P1P1/5PB1/5K2 w - -,f1g1
b2r2k1/B4p1n/4n1p1/6Qp/2p1P3/2N2P2/6PP/1B3RK1 b - -,h7g5
6k1/p1p3pp/5pn1/2pP4/2P5/P5P1/1BQ2PKP/4q3 b - -,g6f8
1rb3k1/4B2p/2p3pP/3pP3/6PQ/1pP5/7R/1q1K4 w - -,d1d2
rn1qrbk1/p2p1p1p/1p1n2p1/2pPP3/5B1N/6P1/PPQ2PBP/R4RK1 b - -,d6b5
r4r1k/5pbp/B1Nn2p1/2Nn3q/1P2p1bP/1Q2P3/P2B1PP1/2R2RK1 w - -,a6c4
6k1/7p/2B2pp1/3p4/P2r2PP/8/5PK1/8 b - -,d4g4
8/5rbk/3P2pp/1p2p3/2b3qP/2Q1BN2/6P1/3RK3 w - -,c3d2
r1bqr1k1/ppp1bppp/3p4/2nP4/2P1PB2/2N3N1/PPQ3PP/2K1RB1n w - -,g3h1
r7/b1p1kp2/p3bp1p/1p2p3/2N1P3/2P5/PP2BPPP/3R1K2 w - b6,c4a5
r6r/pp2kppp/2n5/2b4b/8/1P2PN1P/1P1BBPP1/R4RK1 w - -,d2c3
5rk1/pp2q2p/4p3/6Pb/3QP3/6P1/PP4B1/4R1K1 b - -,e7g5
2r1r1k1/p1q1pp1p/1p3npb/8/2NP4/B1N3P1/P3QP1P/3RR1K1 w - -,a3e7
r2qr1k1/1p3pb1/n1ppbnpp/p3p3/1PP1P3/P1NP2P1/2QBNPBP/1R3RK1 b - b3,a5b4
8/5pk1/7p/P4R2/6P1/r4P2/5K2/8 w - -,f2e2
r2r2k1/pQR3pp/1n3p2/1B1p4/1q2p3/4P3/PP3PPP/2R3K1 b - -,b4f8
3rk2r/5pp1/p4b2/1bn1pP1p/1p2P3/1P2N1PP/P1P1N1B1/R3K2R b KQk -,b5e2
8/p4r1p/2p3kP/1p1b1p2/P2P1Q2/1P6/2PK4/8 b - -,a7a6
r2qkbnr/pppnppp1/7p/3p1b2/3P3B/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c4
6k1/4bpp1/3p1n1p/1r2p3/4P3/1P2B3/3N1PPP/5RK1 w - -,f1a1
8/5pk1/4p2p/1Bb3p1/6P1/2r4P/R4PK1/8 w - -,b5a4
R3b3/5pk1/4pnp1/1pNpN3/1PnP1PP1/3Q4/1q3PK1/8 b - -,c4d6
4B3/8/1p6/1nk3p1/6K1/8/8/8 b - -,b5d6
5r1k/p1qb1r1p/3p2N1/2pP1pP1/PpP5/1PbB1N1P/R5K1/2Q3R1 b - -,h7g6
1r4k1/q3ppbp/3p2p1/2pP4/P3QB2/1r4PP/N3P1B1/3R2K1 w - -,g1h2
3r2k1/3n1rb1/4R1pp/1pq5/p2N4/P1P3BP/Q4PPK/3R4 b - -,d7f8
2r2qk1/pppbrpbp/2np1np1/8/3PP3/3BBNNP/PP1Q1PP1/2R1R1K1 w - -,e3g5
r4rk1/2p5/3b3p/3p1ppq/Pp1PpP2/1P1bPNP1/5R1P/R1BQ2K1 w - -,d1d2
2bq1rk1/1p1nn1bp/r2p2p1/1NpPpp2/2P1P3/1N2B3/P1Q1BPPP/R2R2K1 w - f6,f2f3
8/1p2r1k1/p7/7p/PR3K1P/1P4P1/8/8 w - -,f4f5
8/8/1k1p2p1/1p4K1/1PbN3P/8/8/8 b - -,c4d3
2k3rr/pppqn3/2n2p2/P2p2pp/1P1P1bb1/2PB1NB1/3N1PPP/R2Q1RK1 w - -,d2b3
3r2k1/p5pp/1p2pp2/8/3nbPP1/NP2p3/P6P/2R1B1K1 w - -,g1f1
1rbq1rk1/1pn1ppbp/2np2p1/p1pN4/2P1P3/P2P2P1/1P2NPBP/1RBQ1RK1 w - -,c1e3
r1b2rk1/2q1bppp/pnnpp3/1p6/4PP2/PNN1B1P1/1PP3BP/R2Q1R1K w - -,g3g4
r3k2r/1b3ppp/pBnppn2/1p6/4PP2/PNPB4/2P3PP/2KRR3 b kq -,a8c8
q3r1k1/7p/1BP1bpp1/1R1pbn2/4p2P/4P1PB/3Q1P2/2R3K1 w - -,c6c7
r2r2k1/5ppp/p1p3q1/1p1pPn2/P2P1P2/2P2BPb/3Q1B1P/R3R1K1 w - -,g1h1
8/1p3p2/2pk3p/p2r4/3P1p1p/1P2rP1P/P1RR1KP1/8 w - -,c2c4
r1b1r1k1/ppq2ppp/4p1n1/4P1P1/3Pp3/2PB1Q1R/PP5P/R1B4K w - -,d3e4
5r2/2p3k1/1p1q2p1/5bP1/3p1P1Q/pP6/P1P3P1/1K2r2R w - -,h1e1
1r6/1p2qN1k/p3P1p1/P3Q3/3p1P1p/8/1P4PP/7K w - -,e5b8
8/1R2bn2/3p1kn1/r2PpN2/4P3/2N2Pp1/3B2K1/8 w - -,g2g3
r5k1/pp1nq1bp/2p1b1p1/1P1p4/2PPp3/1Q2P1P1/PB1N2BP/5RK1 w - -,b2a3
r3r2k/1p1q2bp/2p2pp1/p7/P2PP1bP/3BPNQ1/6P1/2R2RK1 b - a3,f6f5
r2q1rk1/pp1n2pb/2p1p2p/3pb1B1/1PNP1pn1/P2B4/2Q1NPPP/3R1K1R w - -,b4b5
2rr2k1/1bqp1pp1/p1nRp2p/1p6/4P3/P1N4P/1PPQBPP1/3R2K1 b - -,c6b8
8/1p1Bn3/1kpB4/p4Pbp/1PP1P3/P2K4/7P/8 b - -,a5b4
1rb1r1k1/p1qn1pbp/1ppp1np1/4p3/2PP4/1PN1PNP1/PBQ2PBP/2R2RK1 w - -,f1d1
r4rk1/ppqn1ppp/2pb1n2/3pp3/4P3/1QPP1NP1/PP3PBP/R1B1R1K1 w - -,d3d4
r5k1/1p1b2bp/p2p4/2pP1p2/Pn2qP2/5N1P/1P2QBP1/R4BK1 w - -,e2d2
4r1k1/p1r2pbn/7p/B4Pp1/3p2P1/1P1R3P/P7/3R1B1K b - -,c7c2
1rr4k/p5bp/3p4/q4p2/2B3n1/2N3P1/PP5P/R1BQ1R1K b - -,c8c4
3q3k/4r1p1/3p1r1p/pp1Pp2B/2Pn4/1P4Q1/1P3RPP/3R2K1 w - -,d1f1
3r4/8/4k3/p4p1p/4bB2/P1R4K/1P3P2/8 b - -,d8d1
1n3rk1/r2q2bp/p1p3p1/3pp3/1P1P1P2/2PB2PN/4Q2P/R3R2K w - -,e2g2
1B6/R7/8/5p1p/1p2b3/1P3kP1/P2K2r1/8 w - -,d2d1
1n4k1/3r1pbp/pq3np1/1p2p3/1N6/1PN1PB2/PB3PPP/R2R2K1 b - -,e5e4
r2q1rk1/1p2p1np/2npb1p1/p2N1p2/P4P2/1B2B3/1PP3PP/R2Q1RK1 w - -,e3b6
r1b1q1k1/1p1r2pp/1PpB4/p2n1pNn/P1B5/1Pp4P/2Q2PP1/R3R1K1 b - -,e8g6
4r2k/4qpnp/r1p1p1p1/2PpP3/1p1N1PP1/P7/5Q1P/4RR1K w - -,a3b4
2r1k2r/pbq1bppp/2p1p3/4P3/1p2B3/4P3/PPQ2PPP/R1B2RK1 w k -,b2b3
3R1bk1/1r5p/2p1R1p1/4B3/8/5P2/P1r3PP/6K1 w - -,h2h3
r1b2rk1/ppn2pbp/3pp1p1/n1p5/4PP2/2PPBNP1/PP3NBP/R4RK1 b - -,f8d8
2b3k1/2b2pp1/p3p3/1p1nN1P1/1P1B4/P2BP3/6PP/6K1 b - -,d5e3
r4rk1/pR3pb1/2p1b1pp/Q7/4pB1P/4P3/qPP2PP1/2KR2N1 w - -,a5a2
4n1k1/5ppp/3p2n1/1P1Pp3/N7/1P2qPP1/P1r4P/2QR1R1K b - -,c2c1
2r5/3R4/p3k3/1p2pp1p/1pr1n3/1N1R3P/P1P2B1K/8 w - -,f2h4
r6r/1p2kppn/p2p2n1/2pPp3/P3P1Pp/1P1B3P/2P1N1P1/2R2RK1 w - -,a4a5
2r1r1k1/pp1bppbp/3p1np1/q5B1/2P1P3/1PN2P2/P2QB1PP/2RR2K1 b - -,d7c6
r1b1rnk1/p3pp1p/6p1/3RP3/8/5N2/q1P1BPPP/3Q1K1R w - -,d5d2
8/1p5p/p2k2p1/PnpP4/8/1B2K2P/6P1/8 w - -,e3f4
8/6p1/4k3/1p4p1/5p2/5K1P/P5P1/2B5 b - -,e6f5
1K6/1P6/8/4k2p/8/8/R7/6r1 w - -,a2h2
2k5/pq1prp2/5Q2/2P1r1p1/2p5/6P1/P4P1P/2R2RK1 b - -,b7b5
r2qr1k1/1pp1npbp/3p2p1/2nNpb2/1pP5/P2PP3/1BQNBPPP/R4RK1 w - -,a3b4
r2q1rk1/pp2bppp/1nnpp3/3P3b/2P5/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,e6d5:h5f3
8/3Rb3/1p2Bk2/pPp1pPp1/P3P1K1/6P1/8/4r3 w - -,e6d5
r2qkbnr/pp1nppp1/2p4p/8/3P3P/3Q1NN1/PPP2PP1/R1B1K2R b KQkq -,g8f6:e7e6:d8c7
4rk2/5p2/1p1P4/pP3rp1/P3p2p/4P2P/3R1P2/2R3K1 b - a3,e8b8
8/6k1/7p/3n3P/r7/P4RK1/6P1/1B6 b - -,d5f6
3r2k1/r4p1p/1p2pnp1/1B6/PPR5/7P/5PP1/4R1K1 b - -,d8d2
r5r1/2pnk1pp/p2bpn2/1p2p3/P3P3/2NNBP2/1PPR2PP/1K5R b - a3,g8b8
r2qkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B2RK1 w kq -,f1d1:e3e4:b2b3
8/8/p3kp1p/1p2p2P/1Pn2nP1/P3BP2/2N5/5K2 w - -,e3f4
3r2k1/p2rqpb1/b1n5/3p1pN1/3p1Pp1/1PP1P1P1/P2Q2B1/3RR1K1 w - -,e3d4
rnb2rk1/ppp2ppp/3b1q2/4p3/2P1B3/2P2N2/P2P1PPP/R1BQ1RK1 b - -,b8c6
r1b2rk1/1p3ppp/2pb1n2/1p4B1/2BP4/2N5/PP3PPP/R3R1K1 w - -,c4b3
8/2p5/5R2/8/3k1p2/5B2/2P1K2r/8 w - -,e2d1
4k3/4bp2/6p1/3QP2r/1PpP1P1p/P1q5/5RPP/5RK1 w - -,f4f5
7q/3k2b1/p1p3Q1/Pp1pPPP1/1PnP4/2P5/4K3/4B3 w - -,e5e6
4r1k1/pp1r1pp1/2p3p1/1q2b3/5B2/1PP4R/P4QPP/4R2K w - -,f2h4
8/2k5/p1p2b2/1pB2B1p/1P3K2/6P1/P1P5/3b4 b - -,d1e2
4nr1k/3b3p/1pNp2p1/3Bpp2/2P5/1P4P1/4PP1P/R5K1 b - -,e8f6
2k5/7p/Pbb5/4Bpp1/1PK5/6P1/7P/8 w - -,e5d6
2kr3r/pp1b1p1p/2n1p2p/q2pP3/2pP4/P1P2N2/2P2PP1/1RQ1KB1R w K -,c1b2
2rqk1nr/pp2bppp/2n1p3/3pP2Q/3P4/2P5/5PPP/RNB1KB1R w KQk -,f1d3
8/8/8/6k1/4pp1R/7P/5PK1/4r3 w - -,h4h8
3Q4/pb4kp/4p1p1/3p4/3q1n2/1P2R3/3N3P/5BK1 w - -,d8c7
8/1q1n1pk1/2p3p1/Q1Ppp1Pp/3P1P2/6P1/5PK1/6N1 w - -,f4e5
r2q1rk1/p5bp/2p1bpp1/3p1n2/3P1B2/2N5/PP1QNPPP/2R2RK1 b - -,d8a5
8/8/4ppk1/3p2p1/3P2P1/2PR1P1K/2r4p/6bR b - -,f6f5
1r3rk1/1p1qppbp/2np1np1/p1p5/2P5/P1NP2Pb/1PN1PP1P/1RBQR1KB b - -,f6e8
6R1/8/8/5k2/2K5/7p/8/3r4 w - -,g8h8
r2qk2r/p1p1nppp/np2p3/3pP3/3P1N2/P1P5/2P2PPP/R1BQK2R b KQkq -,c7c5
r5k1/2pqpp1p/6pb/pr1n4/2NP4/2P1P1B1/2Q2PPP/RR4K1 b - -,b5b1
1r1qk2r/5ppp/2p1pn2/pp2n3/5P2/Q1N3P1/P2PP1BP/1R3RK1 b k f3,b5b4
8/5pBr/4p2P/1pk1Pb2/8/P1R5/1Kp5/8 b - -,c5d4
2r5/pp4kp/1qr2bp1/2nQ1P2/3p2P1/8/PPP4P/1KBR2R1 w - -,g4g5
8/p5Rp/4k3/5b2/rB6/P6P/6PK/8 b - -,f5c2
rnbq1rk1/pp2ppbp/2p3p1/3P4/3P4/2n2NP1/PP2PPBP/R1BQ1RK1 w - -,b2c3
2r2rk1/4bppp/p3pn2/1pp5/3Pq3/2Q2NP1/PP2PPBP/R4RK1 w - -,e2e3
7R/1p2r3/2pb1p2/p5k1/P2Pp1p1/1PP5/5KR1/8 b - -,g5f4
1r3rk1/Qpnnqpbp/1N1p2p1/PppP4/8/6P1/1P1BPPBP/R3R1K1 w - -,d2c3
2nrr1k1/5pp1/4q2p/2Q5/P3P3/1P4P1/4R1BP/5RK1 b - -,e6b3
3b4/p4p2/1p2k1p1/3pP2p/3B3P/1P1K1PP1/P7/8 w - -,d3e3
r2r1k2/2Rbpp1p/p5p1/1p1P4/7P/2R2Bq1/PP3PP1/6K1 w - -,f2g3
4Rrk1/1bp4p/6p1/2p5/2P4P/1P6/6P1/1B4K1 w - -,e8e7
1k6/7R/2p1pp2/6p1/1PNP4/5P2/2b2KP1/8 b - -,c2h7
2kr3r/1p1bqp2/1n1p1np1/p1pPp3/P1P1P2p/1PNN1P2/3QB1PP/2KR3R w - -,c3b1
2B3k1/pp4pp/2pn4/3p4/8/2P1K3/PP6/8 w - -,c8e6
rn2k2r/1bq1bppp/pp1ppn2/8/2P5/PPN1PN2/1BQ1BPPP/R4RK1 b kq -,b8d7
rr4k1/4bppp/3p4/3Pp1P1/p1q4P/4RP1B/1PPQ4/KR6 b - -,c4h4
r2q1k1r/1p3p1p/p5p1/5n2/6Q1/1NP5/P4PPP/R3R1K1 b - -,d8f6
6k1/8/2p2B2/pr6/2PP2N1/5bbP/8/R5K1 b - -,b5b4
r1bqk2r/ppp1nppp/8/2bpn3/8/3P2P1/PPP1PPBP/RNBQ1RK1 w kq -,d3d4
8/5p2/4p1k1/2p1P2p/3bKPpP/6P1/6R1/8 b - -,d4c3
4rbk1/1b6/n1q3p1/1Np1Pp1p/2Pp1P1P/6P1/3BQ2K/1B1R4 b - -,a6c7
1r1q1rk1/1p2ppbp/p1np1np1/8/P2PP1b1/5NPP/1P1N1PB1/R1BQR1K1 b - -,g4f3
r2qr1k1/ppp2ppp/1nnp1bb1/8/2PP4/1PN1BN1P/P3BPP1/2RQK2R w K -,e1g1
r1b2rk1/pp1nb1pp/4pp2/n2pP3/N2P1P2/Pq1B1N2/1P4PP/R1BQK2R w KQ -,d3c2
5rk1/p4qb1/1p6/4prR1/6Q1/4B3/P2R1PP1/6K1 b - -,f5g5
8/5pk1/6p1/2R1N3/p4NpP/2P2P1K/Pn6/4rn2 w - -,f3g4
r2q1rk1/3nbpnp/1pb3p1/2p5/P1N1P3/P4NP1/1B3PBP/R2QR1K1 b - -,c6a4
1rrnk2b/Rn2qp2/3p3p/1ppBpPpN/1P2P3/1QPPB3/6PP/5RK1 w - -,b4c5
4r3/p4pkp/1p2q1p1/2p1P3/7Q/2P4P/Pn1b2BN/4R2K w - -,e1e2
2k4r/1b3R2/8/1pp5/8/3R2r1/2P4P/5K2 w - -,d3g3
r3nrk1/1pqn1pbp/4p1p1/p1ppP3/P2P1P2/2PBBQNP/1P4P1/R4R1K b - -,c5c4
r3k1nr/pp1q1pb1/2np2p1/2p1p3/2N1PP2/1P1P2Pb/PBP1N1B1/R2Q1RK1 w kq -,f4f5
r1bqk2r/pp1nn1bp/2pp1pp1/4p3/2PPP3/2N2NP1/PP1B1P1P/R2QKB1R w KQkq -,f1g2
4r3/p2q3k/1p4p1/2p2p2/2Pb1PPp/4p2P/PPR1Q3/5R1K b - -,h7g7
rnb1kbnr/ppq1pp1p/6p1/8/8/2P1B3/PP3PPP/RN1QKBNR w KQkq -,b1a3
8/4k1p1/4pp2/r3p3/1pP1P2p/1P3P2/3RK1PP/8 b - -,a5a3
b2k3r/3nq1b1/p5p1/1p1Ppn1p/5P1P/2N1B3/PPPQ2P1/2KRR3 b - -,g7h6
2k1rr2/1q1p4/p2Q1p1p/1ppN2pP/3nP3/8/PPP2PP1/R3R1K1 b - -,d4e6
4r1k1/5p2/Rn1p2pp/2pPb3/4P1P1/Nr5P/5PB1/3R2K1 w - -,g2f1
r1bqk1nr/ppp2ppp/2np4/b3p3/2BPP3/1QP2N2/P4PPP/RNB1K2R b KQkq -,d8e7:d8d7
r3kb1r/1q1n1p2/pp2b2p/n1p1P1p1/P4N1B/5N2/BP2QPPP/R3R1K1 w kq g6,f4e6
2r3k1/p4p1p/1p1pq1p1/4b3/1P6/PP2B2P/2RQ1PP1/6K1 w - -,c2c8
4r1k1/pp2qpb1/1r1pb2p/6p1/1Q1NP3/P5P1/1P1N1PP1/3RR1K1 w - -,b4c3
r1b1r1k1/p4p1p/1n3p2/qp1p4/2pP4/2P1PB2/P1QN1PPP/R4RK1 w - -,f1e1
1rb1k2r/2q1bpp1/2pp1n2/1p5p/2nBPP2/1BN3N1/1PP2QPP/R2R2K1 w k -,h2h3
