8/8/P6R/5p2/4pk2/8/r3KP2/8 w - -,e2f1
r4rk1/pp3p2/4bb2/n2p3p/2pP4/2N1PB2/PP3PPP/R3K2R w KQ -,f3d5
rr4k1/p1R2p1p/4p1pB/3pPq2/P7/Q7/P4PPP/3R3K b - -,f5h5
r4rk1/p1p2ppp/2p1qnb1/2bpp1B1/4P1P1/3P1NNP/PPP2PK1/R2Q1R2 w - -,d1e2
8/pp2r1bk/7p/3r4/4N3/1P3R1P/P1R2PK1/8 w - -,e4g3
5b2/3n1p2/B4k2/1K2pPp1/4P1P1/2P1B3/8/8 b - -,f6g7
8/8/1p1npk2/1p1p1p2/3P2p1/PP2PP2/4NKP1/8 w - -,e2c3
4n1k1/1p2b2p/1r1pb1p1/6P1/4N3/3R1P2/PBP5/K6R b - -,b6c6
8/B2r2pk/P2q3p/1R1npp1P/2Q5/2P3P1/4PPK1/8 w - -,a7b8
8/5Pb1/3kB3/p2P1K2/P7/8/8/8 w - -,f5e4:f5g6
8/3kR3/2p2n2/2B5/P1K5/1P6/8/3r4 b - -,d7d8
r2r2k1/1p3pp1/2p4p/p2nPb2/1qB1N3/1P4P1/PB2QP1P/3R2K1 b - -,f5e4
2Rr4/pp4k1/1b2p2p/4nr2/P3N1pP/4P1P1/5PB1/2R3K1 b - -,d8d7
3r1bk1/p1p2ppp/4q3/1p1rp3/7P/2P1BPR1/PPP1Q3/1K4R1 w - -,e3c1
rnbqkb1r/p1ppp1pp/1p3n2/5p2/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3
R4bk1/8/2r1pPp1/2P3N1/p2K1P2/6P1/8/8 b - -,a4a3
r3k1nr/1bqpbpp1/p1n1p3/1pp4p/P3PP2/2NP1NPP/1PP3B1/R1BQ1RK1 b kq a3,b5b4
r6r/1kp2ppp/pppbb3/8/3BP3/P4N2/1PP2PPP/2KR3R b - -,a8e8
5rk1/4p1bp/p1nq2p1/1p6/3P2B1/4B3/b2Q1PPP/2R2RK1 b - -,a2c4
r5k1/2p3pp/p2pN1b1/1p1P4/2P5/PPBnR3/6PP/6K1 w - -,e6c7
r3rbk1/1pq2ppp/2p2nb1/p1n1p3/2P1P2N/PPB3P1/3N1PBP/R3QRK1 w - -,h4g6
r2qkb1r/pb1n1ppp/1pp1pn2/8/2BP4/2N1PN2/PPQ2PPP/R1B2RK1 b kq -,c6c5
r2r2k1/1p3pp1/2b1p3/2P1Q2p/1P2n3/3B3P/5PP1/2R1R2K b - -,e4f2
1r4k1/p4p1p/4B1p1/q3p1Q1/1b4P1/1P3P2/P1P4P/1K1R3R b - -,f7e6
2rqr3/1p3n1k/p2p2p1/P2Pbp1p/5B2/2PB2Q1/1P4PP/R4R1K b - -,e5f4
r1b2rk1/ppp1qppp/3p2n1/3Pp2n/1PP1P3/1N3N2/P1Q1BPPP/R4RK1 w - -,f3e1
r1r3k1/1q1nppbp/2ppb1p1/p7/n2PP3/1P2BP2/PNRQB1PP/2R3K1 w - -,b2a4
4rqk1/5p1p/4b1p1/p1p1b3/1p6/2P3PP/PP1Q1PB1/4R1K1 w - -,e1e5
3r1r1k/ppp1b1pp/5n1q/8/1P1PNp2/P4P2/B2B1PQP/6RK w - -,d2f4
6k1/3R4/5p1p/6pP/1r4R1/1P6/P7/1K6 b - -,b4g4
r2qkb1r/p1pp1p1p/1pn1pnp1/3P4/2P5/P1N2P2/1PQ1PP1P/R1B1KB1R b KQkq -,c6d4
2r1kb1r/2qbnpp1/p2pp3/6P1/1p1NPP2/4B3/PPPQ2B1/2KR2R1 b k -,a6a5
r1bqk1nr/1p1pnpbp/2p3p1/p7/2P5/1NN1B3/PP2PPPP/R2QKB1R w KQkq -,c3a4
1r1qr1k1/4npbp/2bp1np1/4p3/P3P3/5N1P/B2N1PP1/R1BQR1K1 w - -,c1a3
3r4/3r2pp/3pk3/1p2pp2/1n6/BP3PP1/P2RP1KP/2R5 b - -,b4d5
5b2/8/pp2k3/3pP2P/P2K1B2/8/1P6/8 w - -,h5h6
5bk1/5p2/2Qp1qp1/3P4/6Bp/8/3N1PK1/8 b - -,f6f4
r4rk1/1ppb1pbp/2np2p1/p5q1/2PpPN2/PP1P2PP/1B3PB1/R2Q1RK1 b - -,d7e6
8/pb3k1p/4p1p1/4B1r1/2BP2P1/1P5P/P4P2/6K1 b - g3,b7f3
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/5P2/3P1NP1/PPP1P1BP/RNBQK2R w KQkq -,b1d2
r2rq1k1/p4pp1/1n1Pp1b1/p1N5/1PP2BP1/P3QP1p/7P/2RR2K1 w - -,c5b7
8/k1p5/1n6/6p1/8/p5P1/1q3RBP/5R1K b - -,b2d4
8/p4k2/1p2np2/3B3p/3PK1p1/6P1/PP3P1P/8 b - -,f7e7
8/K7/8/7p/1Pk4P/8/8/8 b - -,c4b4
8/8/1K4k1/5p1p/1R5P/P7/5r2/8 w - -,a3a4
r2qkb1r/pppnp2p/6p1/5pB1/3Pp3/2P1P3/PP1N1PPP/R2QK2R b KQkq -,c7c6
rnbq1rk1/ppp1ppbp/5np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R b KQ e3,b7b6:b8a6:a7a6:f6d7:c8g4:c8e6:c7c6:b8c6
3q1rk1/1ppb1p2/p5p1/3PpP1p/P7/1PQ3PP/2B2RK1/8 w - -,f5f6
q4rk1/p4ppp/b3p3/4b3/Ppp5/6P1/1PQNPP1P/2R2RK1 b - -,f8c8
q4n2/5pk1/1p2p3/3pP2p/1P2b1pP/2Q1P1P1/5P2/B4BK1 b - -,a8a4
3n1rbk/r3q2p/1pp2p2/p3p3/Q6N/P5P1/1P1RPPBP/2R3K1 b - -,g8e6
3r3k/p6p/Pp1rRpbP/2p5/2B5/1P6/5PP1/R5K1 b - -,d6e6
2rq1rk1/pp2n1b1/2npb1pp/1P2pp2/N1P5/3P2P1/3NPPBP/1RBQ1RK1 b - -,c6a5
1nn1rk2/1R3p1p/3p2p1/pP1N4/3NP3/P4PPP/8/5K2 b - -,c8e7
8/p4pk1/8/5K2/P4R2/4rPP1/8/8 w - -,f5g5
R7/7k/3K4/3BP3/8/p7/8/r7 b - -,h7g7
8/1Pk1P3/7r/4K3/4P3/8/8/8 w - -,e7e8q
8/ppk1r2p/2p3p1/4rp2/PR5P/2R1PP2/4K3/8 w - f6,c3b3
r1bqk1r1/pp4Pp/2p1pppB/8/2BP4/2N2N2/PP3PPP/R3K2R w KQq -,e1c1
r3r1k1/pbq2pp1/1p1bpn1p/2p5/2PP4/1P1B1N2/PB2QPPP/3RR1K1 w - -,d4c5
1k1r2r1/2p2p2/1pq1bQ2/p1p1P1p1/P7/1P1P2Pp/2PB3P/4RR1K w - -,e1e4
r3r1k1/bppq1ppp/p1np4/4p3/1PP1n3/P2PP1Pb/1B2NPBP/R2QR1K1 w - -,g2e4
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/6PN/PPQNPPBP/R1B1K2R b KQkq -,e8g8
r1bqkb1r/pp2pppp/n4n2/2Pp2B1/4P3/8/PPPN1PPP/R2QKBNR b KQkq e3,a6c5
4r1k1/pp2q2p/3p2p1/2pPn1N1/2P2Q2/PP4P1/6KP/5R2 b - -,g8g7
4k2r/1b5p/pp1p2pP/3N2b1/1PPpP3/PR4Pq/4Q3/5RK1 w k -,e2f2
r5k1/1Bq2p1p/6p1/p1p1r3/PpQ4P/1P2P3/2R2PP1/4K2R b K -,c7b7
