8/r7/1k3K1p/1p3P2/8/1Bp5/1p5P/1R6 b - -,a7a1
r1b2rk1/ppp3p1/1b2p1qp/4p2n/4P3/1NP2NP1/PP2BP1P/R2QK2R w KQ -,c3c4
8/p1r4p/3k2p1/2bP2P1/5p2/2PN1P1P/P1K5/1R6 b - -,d6d5
rnr3k1/3q1pp1/p1p3bp/4pN2/2Q2RP1/3P3P/P2BP1B1/2R3K1 w - -,f4e4
r2qk2r/pp1n1ppp/2p1pnb1/8/PbBP3N/2N1P2P/1P3PP1/R1BQ1RK1 b kq -,g6h5
5k2/5p2/1p2p1p1/2p1P2p/p4P2/P1P3P1/1P1K4/8 b - -,f8e7
2qN3k/b4r1p/p5p1/3Q4/5pP1/P6K/4RP1P/8 b - -,c8c3
6k1/r4pp1/pN3n2/nP2N2p/5P2/6PP/PRr3K1/8 w - -,b2c2
r3kb1r/1p2pp1p/1p3np1/1b1p4/3P1B2/P4N2/1P2PPPP/2R1KB1R b Kkq -,f6d7
r5k1/2qnbppb/1p2pn1p/2Pp4/2P3P1/2BP1N1P/1Q1NPPB1/4R1K1 b - -,b6c5
r3k2r/ppbnqpp1/2p1pnp1/8/2pP4/2NBP3/PPQB1PPP/1K1R3R w kq -,d3c4
6k1/R6p/8/5KP1/Pr3P2/8/8/8 b - -,b4c4
8/1pr5/p1bkp3/PpNp1p1p/3P1P1P/2R3P1/1P1K4/8 b - -,c7g7
r1bqk2r/pp2nppp/2n5/3p4/1bpPP3/2N2NP1/PP3PBP/R1BQ1RK1 b kq e3,d5e4
1r4k1/1q4pb/1n2pp1p/1P1p4/p2P1P2/4PNP1/4Q2P/2R2BK1 w - -,e2b2
r2qnrk1/1p3bpp/p2b4/4npP1/2PQ1N2/1P2P3/PB1PBP1P/2KR2R1 w - -,c1b1
1k2r3/1pb2p1p/p1br1n2/8/1P6/P3PP1P/4BK2/BNR4R w - -,a1d4
5k2/7p/1p5q/p1pp4/3P1P2/2P2NQb/PP3K2/8 w - -,g3h2
2q5/2r1bpk1/5npp/pBp1p3/PpP1P1PP/1P1R1P2/5B2/3Q2K1 b - -,c8e6
r2r2k1/1n1b2bp/3p2p1/p1pP1pP1/1nP2P2/RPN2N1P/2BB4/3KR3 b - -,g8f7
rnbr2k1/ppp1qpp1/7p/3p4/3P1Q2/P1P3N1/2P1BPPP/R3K2R b KQ -,c7c5
8/8/5pk1/3K2p1/6Pp/4R2P/5P2/6n1 w - -,d5e4
8/8/1b6/p7/2K1N3/k3p3/8/8 w - -,c4c3
r2r2k1/1b1B3p/3p2pb/p1p1q3/1pP1p3/1P2P2P/P1Q2PP1/1N1R1RK1 w - -,d7b5
5r1k/pp5p/3pPqp1/2p5/3pPPn1/3Q2P1/PP5P/4RRK1 b - -,f6e6
2q1bk1r/pp2npp1/2n1p2p/2BpP2P/3P1Q2/P1N3R1/5PP1/4KB2 b - -,f8g8
8/4kp2/R5p1/7p/4P1nP/3K2P1/8/8 b - -,e7d7
3r2r1/5pk1/2p1b3/2b1p1qn/2N1P1p1/4N1P1/P1Q4P/3RRB1K w - -,e3g2
8/8/8/5pk1/4p3/2P3P1/2K1Q3/6q1 b - -,g1g3
6k1/pppb4/3p4/1P1P2qp/4Br1N/3P2p1/P6P/4Q1K1 w - -,h4f3
r1b1r1k1/ppq2ppp/5n2/3pB3/8/PP1B4/2PNQPPP/R4RK1 b - -,e8e5
r5k1/5qpp/2p5/2B1b3/1P6/7P/3Q1PP1/3R2K1 w - -,d2d8
8/8/R1p5/3pB3/1P1Pk3/2P1b3/2K1r3/8 w - -,c2b3
1r1r2k1/pp1qbppp/4pnb1/3p4/N2n3N/P2P2PP/1P1BPPB1/2RQ1RK1 w - -,h4g6
r1bq1rk1/1p4b1/p3ppp1/3pP3/3p1P2/3P4/PPP1N1P1/R1BQK2R w KQ -,e5f6
4k3/4b1p1/6q1/2pQpr2/2P5/6N1/1P4K1/4R3 b - -,f5g5
8/P7/8/8/8/5p2/3K2kP/8 b - -,f3f2
r4rk1/p2n1p1p/1p3Np1/2pbq3/8/3BB3/PPQ2PPP/3R1RK1 b - -,d7f6
r4rk1/1pq1bppp/p2p1n2/3P4/P2B1R2/R7/1PPQB1PP/6K1 b - -,f6d7
r5k1/p1q2pbp/2p1b1p1/2Br4/1P5Q/3B4/P4PPP/1R2R1K1 w - -,d3e2
2rr2k1/pb3pp1/1p2p3/3n2p1/3P4/P2N2P1/1P3P1P/1B1R1RK1 b - -,d5e7
r2qkb1r/pp3ppp/2n1pn2/2pp4/6b1/1P2PN2/PBPPBPPP/RN1Q1RK1 w kq -,d2d4
r1bq1rk1/5ppp/1p1p1n2/p2Pp3/1nP1P3/R5PP/1P2NPB1/1N1Q1RK1 w - -,f2f4
1rb1rbk1/2qn1p1p/2pp1np1/1p2p3/3PP3/1P3NNP/1BPQ1PP1/R3RBK1 b - -,c8b7
8/2pk2pp/p7/1pb1P3/2p5/P1Pr1NPP/1P2R1K1/8 w - -,h3h4
r2q1rk1/pp4pp/1np2p2/2Rb4/3p4/P2P1NP1/1P2PPBP/3Q1RK1 w - -,f3d2
r3r1k1/pp1q1ppp/nb3n2/2p1p3/1PPp3N/PQ2PPP1/1B1P2bP/R2N1RK1 w - -,h4g2
8/1N6/2p3bp/k5p1/8/2K3P1/7P/8 b - -,a5b6
rn1qkb1r/pp3ppp/2p1bn2/4p3/3PP3/2P2N2/PP4PP/RNBQKB1R w KQkq -,f1d3
6k1/pp3p1p/3p1qp1/2pP1n2/P7/1P1B1P2/2P3PP/4rQK1 w - -,f1e1
3rr1k1/p1p1bqpp/1pn1bp2/4p3/4N2N/P2PB2P/1PP1QPP1/3RR2K w - -,h4f3
3n1b2/prk2pNB/2b1pP2/4q3/P1p5/2p2N2/6KP/1R1QB3 w - -,e1g3
8/4rk1p/4b1pB/2N1Pp2/3p4/3P3P/5KP1/8 w - -,h6g5
2kr3r/1b2bppp/1pnppn2/1Np5/2P2B2/5NP1/PP2PPBP/R4RK1 w - -,f1d1
3rk1r1/1ppbnp2/pbp2Bp1/7p/2B1P3/1N3P2/PPP1KP1P/3R2R1 w - -,g1g5
2b2k2/4p2p/8/2Bn4/p6K/5P2/6PP/8 b - -,d5c3
2B2b2/8/8/2pK1pk1/3p3p/1P1N1p1P/6P1/8 w - -,g2f3
2rq1r2/1p3pk1/p1npb1pb/3Np2p/P3P3/2NQ3P/BPP2PP1/R4RK1 w - -,g1h1
8/5kpp/3p4/5p2/1n5P/1P3PP1/pK6/4N3 b - -,f5f4
5k2/qB2pp2/PnQp2p1/2pP3p/4P2P/1P4P1/5P2/6K1 w - -,c6c7
r1bq1rk1/pp1pbppp/2n1pn2/8/2PN4/6P1/PP1BPPBP/RN1Q1RK1 w - -,d2c3
r2q1rk1/1ppbbppp/p2p1n2/8/1n2PP2/2NB1N1P/PPP2QP1/R1B1K2R w KQ -,a2a3
r1k2b1r/p1pbnpp1/1p5p/2p1P3/3N4/1PN4P/PBP2PP1/3R1RK1 w - -,d4e2
3r4/p4k1p/7b/2PbB3/5pP1/1P3p2/P7/3R1RK1 w - -,c5c6
r1bqk2r/pppNppbp/5np1/3p2B1/3P4/2N5/PPP1PPPP/R2QKB1R b KQkq -,d8d7
3r2k1/1p2nppp/p2r4/3p4/3R3P/1P2P1P1/P4PB1/3R2K1 b - -,g8f8
8/ppp1R3/2p2p2/5kpp/3P3r/1PK5/P6P/2B5 w - -,e7c7
8/5b2/8/p3p1p1/1p1kPpB1/1P3P2/P1K5/8 b - -,d4e3
3r1bk1/8/1r3p1p/pPp1pB2/P2pK1PP/3P4/5P2/R1R5 w - -,h4h5
1r2r1k1/1b1nqpp1/pp1p1b1p/2pP4/P3P3/2N3P1/1PQ2PBP/2BRR1K1 b - -,f6d4
2n1r3/2R1ppk1/1p4p1/2n1P2p/4bP2/2N1B3/4B1PP/6K1 b - -,e4a8
4r3/1p1b1kp1/p4p2/3p4/P2B2P1/1PP2P2/5K2/R7 b - -,g7g5
3n4/5p1p/1k2p1p1/p2PN1P1/1pK1PP1P/8/P7/8 b - -,e6d5
r4rk1/2q2ppp/p2Rb3/8/4P3/Q1N1B2P/5PP1/2R3K1 b - -,c7e7
8/1K6/5R2/P7/P3r2k/6p1/8/8 b - -,g3g2
r1b1k2r/pp2ppbp/6p1/2nP2B1/2PpP2P/5N2/P2K1PP1/4RB1R b kq e3,e7e5
8/4kpQp/2q1p3/2b1P1N1/4n3/8/5PPP/5RK1 b - -,c5f2
r7/4ppk1/3p2p1/1NnP3p/2P1P3/r2n1PP1/2RNK2P/1R6 b - -,a3a2
1r1r2k1/4bp2/1pn1p1p1/p2b2Np/P1NP3P/1PB1P1P1/4BP2/1R4K1 b - -,e7b4
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/2PN4/P1N1P3/1P2BPPP/R1BQK2R b KQ -,d7d5
rn1qk2r/p2p1ppp/bpp1pn2/8/2PPP3/5NP1/PPQb1P1P/RN2KB1R w KQkq -,b1d2
2rr2k1/1p2ppb1/p1n1bnpp/q7/4P3/P1N1BNPP/1P1RQPB1/R5K1 b - -,b7b5
2b2rk1/6pp/1qNp4/1B1Pp2n/1P2Pp2/5P2/4Q1PP/2R1b2K w - -,c6e7
1q5k/1b4pp/4Q3/p3b3/Pp1p4/1B1P2N1/1PPB3P/5K2 w - -,e6f7
3q1rk1/1p3p1p/4p2P/3bP3/1Q6/1p3Pr1/5RPK/1B6 b - -,d8g5
rnq2rk1/ppp1ppbp/3p1np1/8/2PP4/1P3NP1/PB1NPPKP/R2Q1R2 b - -,b8d7
5k2/4pr1p/3p4/2pP1p2/1p1n1P1P/1P4P1/P3R1B1/6K1 w - -,e2e1
8/2k5/4p3/1P2Pp2/5P2/2B1b1K1/8/8 w - -,g3f3
2rrb1k1/p5bp/1p3pp1/2n1p3/PBN5/3PP1P1/5P1P/R1R2BK1 w - -,c1d1
r1bqr1k1/p4pbp/1pn2np1/2ppp3/4P3/1PPP1N2/PB1N1PPP/2RQRBK1 b - -,c8b7
