8/8/7p/p2b3P/P2K1p2/6k1/8/3B4 b - -,d5f3
3r3k/p4p2/bp2p3/8/2r5/1n3R2/P4PPP/4R1K1 w - -,a2b3
r3k1r1/p3bp2/2p5/2ppP2p/8/2P1B3/PP3PP1/2KRR3 w q -,g2g3
8/8/6pp/4k3/1r5P/5BP1/4P1K1/8 w - -,g2f2
r1bq1rk1/pp1n2bp/2n1Q1p1/8/5p2/2N2N2/PPP3P1/R1B1KB1R b KQ -,g8h8
rnbq1rk1/ppppppbp/5np1/6B1/3P4/4PN1P/PPP2PP1/RN1QKB1R b KQ -,f6e4
2r2rk1/2q2ppp/4p3/p1p1b3/PpQ1P3/3PP1P1/1P4BP/2RR2K1 w - -,c4b3
3rr1k1/1bq2pbp/pp4p1/2npP3/5P1Q/2P1BN2/P5PP/1B2RR1K b - -,c7e7
r1bqk2r/pp3ppp/2nbp3/3pN3/3P1P2/2P3P1/PP1n3P/R1BQKB1R w KQkq -,c1d2
r4rk1/pb1nqpp1/2pbpn1p/1p6/3P4/P1N1PN2/1PQ1BPPP/R1BR2K1 w - -,e3e4
2rr1k2/5p1p/3qpnp1/1pp5/p2P1P2/P1P1Q1P1/1P1N2BP/5RK1 w - -,d2f3
r1bq1rk1/pppnbpp1/3p1n1p/4p3/2BPP3/2P2N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
8/5K2/5R2/7p/4p2P/6P1/r4Pk1/8 w - -,f7g6
1Q2R3/5rkb/p6q/8/5p2/3P1Np1/PP4P1/6K1 w - -,b8d8
r5k1/p1N2pbp/p5p1/2P5/4Ppb1/5N2/PP3PPP/2KR4 b - -,a8c8
2n1r3/kp2rq1p/p2p1pp1/3P4/1RPP4/P2B1Q1P/5PPK/1R6 b - c3,e7c7
r1b1k2r/1pq1bppp/p3pn2/6B1/3N3Q/2PB4/PP3PPP/R3R1K1 b kq -,c7b6
3N1rk1/1QR2ppp/b7/3pP3/1P3P2/6P1/r6P/2R3K1 b - -,a6b7
r1bqk2r/pp2bppp/2n2n2/3p2B1/Q7/2N1PN2/PP3PPP/R3KB1R b KQkq -,e8g8
8/p2P3k/1p5p/8/6r1/2B1p1P1/P1P1pP2/4n2K b - -,e3f2
7k/2p5/1p1p2pp/3P1n2/pPPbB3/P5PK/7P/2B5 b - -,h8g7
2k4r/1pqb1p1p/2p5/p3P3/3B2n1/2NR4/PP4p1/2RQ2K1 b - -,h8g8
8/p3R3/1p5p/2pp1kp1/8/P1P4r/2K4P/8 b - -,h3h2
r4rk1/1pp4p/4qp2/p5n1/2P1p3/1P2Q1P1/PB3PKP/R3R3 w - -,g2h1
r2q1rk1/pp1nbppp/2p1p3/5b2/3Pn3/1QN2NP1/PP2PPBP/R1B1R1K1 b - -,d8b6
r1b1kr2/p2p1pQp/2p1p3/q3P3/2P5/2b5/P2B1PPP/3RKB1R b Kq -,a8b8
8/ppp3B1/4k1p1/2p2p1p/8/P1PPK3/bP3PPP/8 b - -,a2d5
rn1qr1k1/pp3ppp/2p2n2/3p1b2/2P2N2/4B3/PPP1BPPP/R2Q1RK1 w - -,c4d5
6k1/6p1/p3q2p/3pPp2/p1bP1P2/1p2PB1P/1P6/2Q4K b - -,g8h8
8/1k6/p3p2Q/1ppbPp1p/3q1P2/1P1N4/P1P3P1/5K2 w - -,h6f8
r1bq1rk1/p3b1pp/2p2p2/3p4/N2Qn3/1P2P3/PB2BPPP/R4RK1 w - -,a1c1
rnb1kb1r/ppq1pppp/5n2/8/2BP4/1QN5/PP3PPP/R1B1K1NR b KQkq -,e7e6
r3k2r/1bqn1ppp/p2pp1n1/1pp3Q1/4P3/2NP1NP1/PPP2PBP/R3R1K1 w kq -,h2h4
r7/1b3rkp/p3pqp1/1p3p2/2n5/P1NR4/1P3PPP/2QR2K1 w - -,d3h3
8/8/8/3K2k1/6B1/7P/8/4r3 b - -,g5f4
8/8/8/1q6/8/2Q1P3/1P1K2k1/8 b - -,b5d5
r4rk1/2p2pp1/3qp2p/p1Nn4/8/8/PP1RQPPP/2R3K1 w - -,h2h3
6k1/8/4R3/1n2P3/r1NPK1p1/3R2P1/5r2/8 w - -,e6c6
2kr4/1pqn1pr1/p2pb1np/8/4P3/2N4P/PPP2QP1/2KR1B1R w - -,f2d2
r5k1/4bppp/2q1p3/p2r4/1P3B2/P6P/5PP1/2R2RK1 w - -,c1c6
r1bqr1k1/ppp2ppp/2n2n2/1Bbpp3/4P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 b - -,a7a6
5r1k/3nqppp/1p2p3/pP1pP1PN/2nP4/7Q/P1RB1PP1/6K1 w - -,h5f6
1Q4k1/p7/2p2q2/P2p1N2/3P1P2/1P2Pbr1/1KP4q/2R5 b - -,g8h7
8/1p4k1/p1p1q1p1/4np1p/PPP1p2P/3rP1P1/2Q2PB1/2R3K1 b - -,e6d6
3r2k1/p1pr2pp/4p3/1P6/4Pp1P/B4PP1/P3B3/2RnK3 b - -,d1e3
3q1rk1/p2nbppp/2Q1p3/1p2P3/1P2N3/P4N2/5PPP/R5K1 b - -,d7e5
3rk2r/p4ppp/n1p1p3/3qQ3/P1N5/K7/1P2B1PP/R2R4 b k -,d5e5
3r1rk1/1pq1bpp1/p4n1p/3p1P2/2nB4/P1NB3Q/1PP3PP/R4R1K b - -,c4b2
4kb1r/pp3ppp/4p1n1/RPqpP3/8/1QP2N2/5PPP/1b2KB1R w Kk -,a5a1
2r3k1/1pR2ppp/p2qpn2/n2p4/N2P4/P2QPN2/1P3PPP/2R3K1 b - -,c8c7
r2r3k/p5qp/1p2np2/4p3/1P2P3/2QP1PN1/2P2PK1/R4R2 w - -,f1h1
R2q1rk1/1b1nbppp/3p1n2/1p2p3/1Pp1P3/2P2N2/2BPQPPP/1NB1R1K1 b - -,d8a8
8/8/2p3p1/1k3P2/pp1b2P1/1K6/8/2B5 w - -,b3a2
5k2/1q3pp1/4pb2/1r1P4/8/pr2B2P/1PQR1PP1/1R3K2 b - -,b3b2
R6b/2p3kn/3pqpp1/7p/5B1P/2Q5/5RPK/4r3 w - -,c3c7
8/1rp5/P2p4/3P1k2/7p/R4K1P/6P1/8 b - -,b7a7
6k1/4R3/6p1/p5P1/1rK4P/4p3/8/8 w - -,c4d3
7k/2n3p1/p2pp2p/1p1q4/1P1PN3/P4QPP/2r2P2/4R1K1 b - -,h8g8
r1b2rk1/2Bn1ppp/p1p1pq2/8/2NPP1P1/2P3Q1/P4P1P/R3K2R w KQ -,e1g1
2b5/1k2p3/3p4/2pPP3/2P5/3B2rq/2K2Qp1/1R6 b - -,b7c7
k1b1r3/1pq5/p1p1r1p1/3p3p/PQ1Pp3/1R3PP1/1P2B1P1/1KR5 w - -,f3e4
r4rk1/1b1n3p/p3p1p1/1pbpQ2P/3N2P1/3B4/PPP1N3/2KR3R b - -,d7e5
5k2/pp1n1p2/2p3p1/4P1p1/2B1KP2/P5P1/1P5P/8 b - -,g5f4
3rr1k1/p1p5/1p2p2p/4Rpp1/2PP4/P6P/1P3PP1/3R2K1 b - -,c7c5
r3k3/1p1rq3/2p4p/p2n1pp1/4p2P/6P1/PP2PPB1/R1Q2RK1 w q -,f2f3
8/8/P6p/2R4k/6p1/r7/6K1/8 b - -,h5h4
5r2/8/3kp3/R7/6K1/4N3/8/8 b - -,f8f2
r4rk1/4q1pb/1p2p2p/p1NpPp2/Pn1P1PP1/7P/1P1QB3/2R2RK1 w - -,c5d3
8/2R5/P4kp1/5n1p/8/1r5P/8/5K2 b - -,b3a3
4br2/6qk/p1pR3p/5p2/4pQ1P/P7/1P3PP1/1B4K1 w - -,b2b4
r2r2k1/ppq1bppp/4p3/4n3/Q3N3/2P1B3/PP3PPP/R2R2K1 w - -,h2h3
8/1r4P1/8/8/1k5K/8/1p6/8 w - -,g7g8q
6k1/p1R4p/6p1/8/N2b1P2/1P1br1P1/P5KP/8 b - -,e3e2
2r1r1k1/p2n1pb1/1q4p1/1Bn3Pp/3NP1bP/2N3B1/PPQR4/1K2R3 w - -,g3f2
r1bq1rk1/1p3pbp/2n1p1p1/p2p4/P2Pn3/1BPN1N1P/1P3PP1/R1BQ1RK1 b - -,b7b6
3r1r1k/5qp1/p6p/1p3p2/5NnP/P3P1R1/1P2QPP1/2R1K3 b - -,g7g5
4r3/pr2pp1k/1q1p2p1/3P2Pp/b1pN1P1P/2Q1R3/PPP5/2K1R3 b - -,b6c5
2r1q1k1/3b1rbp/1n1p2p1/1pnPp1P1/pN2P2P/P3B3/1P1NQ1B1/1KRR4 b - -,f7f4
5k2/8/5p2/p4P2/3P3P/R2BP3/5K2/q1r5 w - -,a3a1
4k3/1R6/4p3/1p1pN3/5P2/4K3/8/1r6 w - -,e3d4
5rk1/pp2b1pp/2p1b3/5p2/1n6/1P6/PB1N1PPP/R2B1K2 b - -,f8d8
8/2Q5/pp3qkp/5p2/1P5P/6P1/5P1K/8 w - -,c7c8
rn5r/p1kn1ppp/2p5/N6b/P1Np4/5P2/1P1KP1PP/R4B1R b - -,b8a6
2r3k1/1p1r2pp/pQbqp3/3p1p2/3P4/3NP3/PPR2PPP/5RK1 b - -,d6c7
2b1r3/3p4/2pP4/1pP1N3/3PK3/5R2/3k4/8 b - -,d2c2
8/5p2/3p2k1/3P3p/3Q2pP/6P1/2q5/7K b - -,f7f6
r2qk2r/1p2ppbp/p1np1np1/8/2P1P1b1/2BQ1N1P/PP1N1PP1/R3KB1R b KQkq -,g4f3
r5k1/5pp1/4p2p/1N1pPb2/r2P4/P1R5/5PPP/2R3K1 b - -,a8a5
r3qrk1/5pbp/3p1np1/pbnPp1B1/1p2P1P1/4NP2/PP1QBN1P/2R2RK1 b - -,b5e2
bq1rk2r/4bppp/ppnppn2/8/2P5/BPN1QNP1/P3PPBP/2RR2K1 w k -,f3d2
2r2rk1/p3qppp/bpn1p3/3p4/3P4/bP3NP1/P3PPBP/R1BQ1RK1 w - -,d1d2
3r3k/2b1q2b/2p1pp1p/p1Pp4/Pp1PP1P1/1P6/1B2Q1BP/5RK1 b - -,d8e8
8/4k3/R5K1/7P/1r4p1/8/8/8 w - -,g6g7
r3r1k1/1R3ppp/2p5/p7/nP4P1/P3P3/1B3P1P/2K4R b - -,a5b4
2kr4/ppp1Q2p/8/4p1P1/3b4/8/Pq5P/3RR2K w - -,e7e6
1r2k1nr/p3n1bp/2pp2p1/q2N4/B3Pp2/2P2P2/PP1Q1P1P/2KR3R w k -,d5e7
8/5k2/8/p1b5/5P1P/4pbN1/2K1N3/8 b - -,a5a4
r1r3k1/6pp/1pp2p2/4p3/P3P3/bR3N1P/4nPP1/1N1R2K1 w - -,g1f1
r1b1kb1r/2qn1pp1/p2ppn2/1p5p/3NP3/P1N1BP2/1PPQB1PP/R3K2R w KQkq h6,e1c1
r2r2k1/pb1n1p1p/1p2p1p1/1B3q2/P2P4/2P3Q1/5PPP/R1B2RK1 b - a3,d7f6
1rq5/1p2Rpk1/p1p4p/2Pp3P/3P1bp1/3Q4/PP3P2/4R1K1 b - -,g7f6
8/1pk2p2/p1p3p1/2P2r2/8/2P2R2/PP6/1K6 w - -,f3f5
3r1rk1/ppq1bppp/6n1/3p4/6b1/1Q3NP1/PP1BPPBP/R4RK1 b - -,e7f6
6k1/p5p1/7p/2N2P2/2P5/1P5P/P1r2p2/5K2 b - -,c2a2
8/2r1kpp1/1q2pr2/1Bp4p/2P3n1/3P2Q1/PP3P1P/5RRK b - -,b6b7
8/5kp1/3b1n2/p2p4/P1nPpP2/1p2P1NB/8/2BN2K1 w - -,g3e2
3r1rk1/bpp2pp1/p1n1qB1p/4p3/PPN1P1b1/2P2N2/2Q1BPPP/R2R2K1 b - -,e6f6
8/pkpr2p1/7p/5R2/4P2P/P3K1P1/1P6/8 b - -,d7d1
rn2k2r/pp1q1p1p/4bp1b/3p4/3Pp3/1QN1P1P1/PP2NP1P/R3KB1R w KQkq -,e2f4
5k2/R7/3r3p/p5p1/P1B5/1P3PK1/6PP/8 b - -,f8e8
4qr2/p5k1/1pp2pr1/5Rp1/3pP1Q1/P6P/1P4P1/5RK1 w - -,e4e5
1r2r3/1p1q2k1/2n4p/2P1p3/2QpBpp1/P2P2P1/5P1P/R4RK1 w - -,f1b1
r3rbk1/1p3pp1/1qp5/p3n2p/3p4/P2P2P1/1PQ1PPBP/1RB2RK1 w - h6,c1d2
8/5pkp/1p2p3/1NnqP3/5P2/6P1/PQ4KP/8 w - -,g2h3
4n1k1/3b2pp/2p2p2/1pP5/p3PB2/P3KPP1/6BP/8 b - -,b5b4
8/1p6/1P1p4/3R4/3pp1pP/r1k3K1/8/8 b - -,c3c4
2rqr1k1/pp3p1p/1n4p1/3B4/8/2PQP2P/P4PP1/1R1R2K1 b - -,d8d5
4r1k1/pb1nPp2/1p3b1p/2p2qp1/2B5/2P2NB1/P2Q1PPP/4R1K1 w - -,c4d3
r1bq1rk1/pppn2bp/3p2p1/4pp2/2PP4/2NBPN1P/PP3nPB/R2QK2R w KQ -,e1f2
8/3n1k2/4p1p1/1Q4Pp/2P2q2/8/6P1/7K b - -,f7e7
3r4/1pqn1rbk/p5pp/Pbp1p3/2N1Pp2/Q1BP1P2/2PN2PP/1R3RK1 w - -,a3b3
2r1k2r/2qpbppp/p3b3/4PB2/1p6/5Q2/PPPB2PP/1K2RR2 w k -,f5d3
r1b3k1/6pp/p4n2/1p1p4/3p1P2/8/qN1N2BP/1R1Q2K1 w - -,b2d3
rn1qkb1r/1p1b1ppp/p2ppn2/6B1/3NP3/2N2P2/PPPQ2PP/R3KB1R b KQkq -,f8e7:b7b5
1qr5/1p1b1n1k/pQ1p1p2/P2PpPpp/1R2P3/3BN1PP/1P5K/8 b - -,f7d8
2q3k1/5r1p/3n2p1/3Pb3/BB2p3/6P1/P3R1KP/3Q4 w - -,b4d6
3r2k1/2q2pp1/8/3R2P1/1pB5/1P3P2/PK2Q1n1/8 b - -,g2f4
