8/8/8/8/1PNn1p2/2nN2k1/4p3/2K5 w - -,c4e5
5rk1/5ppp/1rNq1b2/1P1b4/Q2PB3/4R1P1/2p2P1P/4R1K1 w - -,a4c2
4rrk1/pp4pp/4N1b1/b7/8/PB6/1P4PP/K4R1R b - -,f8f1
3r1b1k/p2r1p1p/5P2/1pp4Q/5B2/6PP/PP3PK1/8 w - -,h3h4
5r2/1pk5/p3bppp/4p3/2P1PnP1/1P2KN1P/3R4/3B4 w - -,f3e1
r4rk1/pbp4p/1p1p1bp1/2nP1p2/3N1B1P/2P1P1P1/P3P1B1/2RR2K1 b - -,g8g7
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/2PP3B/3BPN2/PPQN1PPP/R3K2R w KQ -,e1g1
rnbq1rk1/pp3ppp/2p2n2/3p2B1/1b1P4/2NB4/PPP1NPPP/R2Q1RK1 b - -,c8g4:b4d6
5Q2/1k1q1p2/2b1p3/pp2p3/1P2P3/P1NP4/2K3P1/8 b - -,a5b4
r1bqkb1r/pppp1ppp/2n2n2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,f8b4:f8c5
r1q2rk1/pb1nbpp1/1p2p2p/3n4/4N3/PP1BPN2/1BQ2PPP/3R1RK1 w - -,c2b1
Q3r3/1Rk5/2b2p2/7P/4B3/P1p2PP1/7q/4nK2 b - -,c7d6
8/pp2B1R1/1kp5/3nqN2/8/5R2/PP4PK/8 w - -,h2h3
8/p7/1ppnk1nN/4p1P1/5p2/1P6/P3KB2/8 b - -,d6e4
2rq1rk1/1b2bpp1/pp2pn1p/4B3/3P4/2NQ3P/PP2BPP1/3R1RK1 b - -,f6d5
rn1qr1k1/pp3pbp/3p1np1/2p5/2P1PPb1/2NB1N1P/PP4P1/R1BQ1RK1 b - -,g4f3
2r2rk1/2BR1pbp/p4np1/1pP1p3/4N3/2P3P1/PP2R3/1K6 w - -,e4f6
7r/1p2nkp1/1qp1n1pr/p2pPp2/Pb1P1P1P/1P2B1P1/2R1B1K1/3Q2NR w - -,g1f3
r2r2k1/ppq2ppB/4pb1p/2P5/b7/1NP2Q2/PP3PPP/R4RK1 b - -,g8h8
r1bqk1nr/pp3pbp/2np2p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,a2a3:d2d3
rn3rk1/pp1b2bp/3p1pp1/3Pp3/4P3/2N1BP2/PP1K2PP/R4B1R b - -,a7a6
r4rk1/1ppqnpp1/1bnpb2p/1R2p3/2P5/P1NPPNP1/5PBP/2BQ1RK1 w - -,c3a4
r2q1rk1/pb3ppp/1pn1p3/2pn4/8/PP1PPN2/1bQNBPPP/R4RK1 w - -,c2b2
1r1q3k/3Q2pp/5r2/8/1p1pBP2/3P2PP/2R3K1/8 w - -,d7a7
5r2/p2q2k1/1pn1rpp1/2p2n2/3pN1P1/P2P4/1PPQ1PB1/4RRK1 b - -,f5h4
r2q1k1r/ppp1bp2/2np1nbp/6p1/BP1PPp2/P1NQ1N2/2P3PP/R1B2RK1 w - -,b4b5
6k1/pp1N2b1/8/Pp4Qp/1Pb3pP/5pP1/4qP2/5NK1 w - -,d7f6
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/3P1N2/PPPN1PPP/R1BQK2R w KQkq -,c2c3
4r2k/1p1b3p/7r/p1pNPR2/2P2Q1q/1P1R3B/P7/5K2 b - -,h4f4
r1b1kb1r/ppq1pppp/3p1n2/8/2NQP3/2P5/PP3PPP/R1B1KB1R b KQkq -,e7e5
r3nr2/p2bbppk/qp1p2np/2pPp3/P3P3/2N1B1PP/1PPNQPB1/R4RK1 b - -,a6c8
4r1k1/pb2r3/1p1q1pp1/2pPb2p/2P5/4B1P1/P2Q1P1P/2R1RBK1 w - -,f2f4
r1bqkbnr/pp1p1ppp/2P5/3p4/4P3/5N2/1BPP1PPP/R2QKB1R b KQkq -,d5e4
1r2k2r/2qbnpp1/4p2p/pp1pP3/1P3P2/PNP5/3QB1PP/R3K2R b KQk -,g7g5
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/3BB3/PPP2PPP/RN1QK2R b KQkq -,f8g7
6k1/1pbr1pp1/p1n1p2p/3rP3/2N1R2P/P1B3P1/1P2RPK1/8 b - -,d5d3
8/1p3pk1/p3p1p1/1b3n1p/1N6/P1P5/5PPP/1B4K1 b - -,f5d6
r1bq1rk1/1pn1bppp/4p3/p1n1P3/2pN4/8/PP1NQPPP/RBB2RK1 w - -,e2c4
2b5/4kp2/1pp3pp/3p4/1P1P1K1P/3BP3/5PP1/8 w - -,g2g4
r1b1k2r/pp2bppp/2n1pn2/2qpN3/5B2/1QP1P3/PP1N1PPP/R3KB1R b KQkq -,e8g8
r1b1k2N/pp2b1pp/3npn2/2p5/2p5/N3P1P1/PP3PBP/R1B2RK1 w - -,e3e4
R7/8/6k1/6p1/pr5p/5P1K/6P1/8 w - -,h3h2
rn1q1rk1/1p2ppbp/2p3p1/3p4/p1PPb3/1P2PPP1/PB4BP/RN1Q1RK1 b - -,e4f5
3r1r1k/2p4p/1p1p1n2/p2n3q/P1bPpN2/2P3P1/1B1Q1PBP/R3R1K1 b - -,d5f4
r1bqk2r/1p1n2pp/p2bp3/3p1p2/3Pn3/1PN3P1/PB1NPPBP/R2Q1RK1 b kq -,e8g8
2r2k2/7p/p2q1p2/2rppPQ1/8/1Pp4R/P1P3PP/5R1K w - -,g5h6
2r2rk1/2q2pp1/p4n2/3P2Bp/1b2p1nP/1NNR4/1PP1Q1P1/1K3R2 w - -,d3h3
r3k2r/1bpnqpb1/1p1ppn1p/p5p1/3P4/2PBPNB1/PP1NQPPP/1K1R3R b kq -,f6h5
rnbq1rk1/ppp2ppp/3bpn2/3p4/2PP4/P1N1P3/1P2NPPP/R1BQKB1R w KQ -,c4d5:c4c5:h2h3:e2g3
r4r1k/pppq2bp/n2p4/3PpbB1/2P1N1B1/P6P/1P3P2/R2QK1R1 b Q -,a6c5
r2qrnk1/ppb2ppp/2p5/3n1bP1/2BPN2P/5N2/PPQB1P2/2KR2R1 w - -,e4f6
8/1kp5/3p4/3P2p1/2K1P1P1/8/7R/2b5 b - -,c1e3
