7k/8/1p4p1/p1p4P/P1Pr4/8/3pBK2/3N4 b - -,g6h5
1r5k/1p1r1p1p/p4p2/2bBp2b/7N/2PR4/PP3PPP/4R1K1 w - -,h2h3
2bq1r1k/2n2ppp/pr6/2ppbP2/8/1BNP2Q1/1PP3PP/R4RK1 w - -,g3e5
r1bqkbnr/pppn3p/3p1pp1/4p3/3P3B/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,d8e7
r1bqrbk1/1p3p1p/1np3p1/p1npP3/P2N1P2/1PN2BQ1/1BP3PP/R4R1K b - -,f8e7
r1bq1rk1/pp1nb1pp/2p1pn2/3p1p2/2PP4/BP2PN2/P3BPPP/RN1Q1RK1 w - -,d1c1
4r2k/pq2P2p/5rpQ/1bp5/1p6/5N2/PPP3PP/4RRK1 w - -,h6h4
8/5k1p/2bp2p1/3q4/1pp2PPB/4Q2P/P3K3/8 b - -,d5e4
r1bq1rk1/1p2ppbp/3p2p1/p2P1P2/2PNn3/1P2B3/P3B1PP/2RQ1RK1 w - -,g2g4
5rk1/pbpnq2p/1p2prp1/3p4/4PP2/2PB4/PPQN2PP/R4RK1 w - -,e4d5
2r3k1/1p3ppp/4p3/1P6/PpnP4/1B1pP3/5PPP/B4K2 b - -,c4d2
4kb1r/3n1ppp/p2pbn2/1p2p1P1/4P3/1Nq1BP2/P1P2Q1P/2KR1B1R b k -,f6h5
r4rk1/1pp1bppp/1n2b3/p3N3/Pn2P3/B1Nq2P1/3P1PBP/1R1Q1RK1 b - -,d3d4
r3k2r/pp1q2bp/2np1p2/2pNp3/2B1P2N/5PPb/PPP4P/R2QK2R w KQkq -,f3f4
6k1/2p2p1p/6p1/1r1r4/p2pn3/P5P1/1P1RPP1P/2RB2K1 w - -,d2c2
r4rk1/ppqnbppp/2p2n2/4p3/P3P3/2N2BPP/1PP1QP2/R1BR2K1 b - a3,a7a5
8/p4pk1/2nNppp1/1P6/8/7P/5PP1/6K1 b - -,c6d4
3rr1k1/1pp3pp/p2b1p2/2Pn4/4P3/1P2BP2/P3K1PP/3R3R w - -,d1d5
1r2r1k1/5pp1/2pb1n2/2Np1q1p/1PbPp3/R5PP/3BPPB1/2RQ2K1 w - -,e2e3
1R3rk1/4n3/2ppbqpb/4p3/2P1P2p/2NP2P1/1Q4BP/5NK1 b - -,h4h3
2Q2rk1/p4ppp/4p3/3pq3/8/1P5P/P4PP1/R1R2K2 b - -,e5h2
5b2/2pR1kp1/1p2rp1p/pP3N1P/P3P1P1/5P2/6K1/8 b - -,f7e8
r2q1rk1/pp2npbp/3p2p1/2pPp3/3n4/3P2P1/PP2PPBP/R1BQNRK1 b - -,d8b6
r4rk1/pp2qpbp/n3pnp1/1p6/3PP3/P1N1BBPP/4QP2/R4RK1 w - -,e2b5
1r2nrk1/3b1pb1/1q1p1np1/Np1P2Bp/1Pp1PQ2/6N1/2P1BRPP/R5K1 w - -,a1f1
8/1r1n2p1/2rkp3/R3p2p/R1p1P2P/1pP2P2/1P2K1P1/6B1 b - -,d7f8
1r3rk1/1p1q2p1/p1p1p2p/3nPp1Q/4B2R/PP1P2P1/2P4P/4R2K w - f6,e5f6
r4rk1/ppq2ppp/3bp3/8/3B4/2P2Q1P/PP3PP1/R4RK1 b - -,e6e5
3q1rk1/3rbppp/pn6/1p2P2b/3NB1P1/4B2P/PP3P2/R2Q1NK1 b - -,e7c5
8/pp6/2p1pkpp/8/6P1/1PP4P/P4KP1/8 w - -,f2f3
r2r2k1/pp1nppbp/5np1/2p1N3/2P3b1/2N3P1/PP2PPBP/R1B2RK1 w - -,e5g4
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/P1NBPN2/1P3PPP/R1BQR1K1 b - -,c8b7
2r5/4rp2/2pRbk2/p1P3p1/Pp2B1Pp/1P3P1P/2K5/3R4 w - -,d6c6
8/4k3/1p6/3K1Pp1/NP4P1/8/1b6/8 b - -,b6b5
2q1r1k1/1p3b2/p2Bpp2/P1Pp2pp/2PP4/4RN1P/5PP1/4RBK1 w - -,f1d3
r2q1rk1/1p3ppp/2n1n3/p7/1P6/PQ1bRNP1/1B1N1PBP/6K1 b - -,d3g6
3r2k1/1p1r1q1P/p2p4/P1pP1pp1/1nN5/1Pb1P1B1/3R1PK1/3Q3R b - -,g8h8
7r/pp2kp2/1PPpp2q/8/4P1p1/6N1/3P1PKP/2R2R2 w - -,h2h4
3r2k1/p1n1q1p1/1p5p/2ppPr2/5P2/2N1P3/PP2Q2P/3R1RK1 w - -,e2g2
r7/5ppk/2pNp2p/prB1P3/8/6P1/5P1P/2R3K1 b - -,b5b3
6k1/1p6/1Np1b3/2P2N2/1P2pbPp/P4R1P/8/2q2B1K w - -,f3f2
5rk1/4R2p/3Q1np1/8/8/5P2/1rq3PP/5R1K w - -,d6e6
8/3k2p1/B1p1p1p1/3p1p2/n2P1P2/4KPP1/7P/8 w - -,e3d2
8/8/2P5/p1R2p1p/2K1p1k1/1P4P1/8/5r2 b - -,f1c1
6k1/1p1r2p1/p1pBr2p/2Pn4/3Rp1P1/4P2P/1P3PK1/3R4 b - -,d7f7
8/5pk1/6p1/4P3/5PPK/R7/8/6r1 b - -,g1h1
8/5rp1/3Bp1k1/1p1bP2p/pP3Pp1/P3R1P1/5K2/8 b - -,g6f5
r4rk1/2qb1pbp/p2n2p1/Pp1Pp3/2p1P3/5B2/1PQB1PPP/R1N2RK1 w - -,c1a2
3r2k1/p4pp1/2Q4p/8/8/4qP2/PP4PP/1K5R b - -,e3e2
8/5p2/1b3kpp/p3p3/P3P1PP/3N1P2/6K1/8 b - -,b6d4
r3rbk1/1bqn1p1p/ppp2np1/4p3/P3P2P/1P1B1NN1/1BPQ1PP1/R3R1K1 b - h3,a8d8
1r4k1/p4p2/2p2Q1p/1q3P2/8/P6P/1P3P2/1K2R3 b - -,b5b3
r2qk2r/pp2ppbp/2n3p1/4P3/3P2b1/4BN2/P3BPPP/R2QK2R b KQkq -,e8g8
1Q4k1/p2N1pr1/4p1pp/8/2q5/8/PP3PPP/3R2K1 b - -,g8h7
8/1R4p1/6kp/2N1p3/4Kn2/6rP/8/8 w - -,e4e5
4b2k/1pr5/p3p3/2PpNp1p/n2P1P2/N3P1pP/P5P1/2R2K2 w - -,f1e2
7r/r2q1pk1/3p2np/p1pPnR2/Pp2P3/7R/1PQBB1PP/7K w - -,b2b3
5rk1/p1qnbppp/1pr1p3/n2pP3/1p1P1N2/2PQ1N2/P1RB1PPP/2R3K1 w - -,c3b4
8/8/N7/b6p/4k1p1/7P/6K1/8 b - -,e4f4
4k2r/3n1ppp/p3p3/q2p4/PNrPnP2/1R1Q4/4NPPP/1R4K1 b k -,e8g8
r2q1rk1/pb1nbppp/1p2p3/2p3B1/2BPn3/2N1PN2/PP2QPPP/R3R1K1 w - -,g5f4
r1bq1rk1/4bpp1/pN1p2n1/2pPp3/2P1P2p/3BB1PP/1P1QNP2/R3K2R b KQ -,d8b6
bn1b1rk1/2p2ppp/8/4N3/1P2n3/NB6/1P3PPP/2B1R1K1 b - -,d8h4
2r1k2r/pp1nppbp/2np2p1/8/4PPb1/2NBBN2/PPP2KPP/R6R w k -,h2h3
r2q1rk1/1p3ppp/2p3b1/p3N3/Pb1Pn3/1QN1n2P/1P2BPP1/2R1R1K1 w - -,f2e3
r7/1p1nkb1p/1np3p1/p7/2PNpP2/1PN5/P4K1P/1R3B2 w - -,c3e4
1r6/p2np2r/2pkp1p1/P2p4/1PpP2PP/2N5/2PK4/1R5R b - b3,e6e5
5rk1/p4pnp/1prp2p1/3P4/P7/1P4P1/4NP1P/4R1K1 w - -,d5c6
3r2k1/1bb2pp1/1q5p/2pn4/2B3N1/2P3NP/1PQ2PP1/4R1K1 w - -,g3f5
r4r1k/1pp4p/n2p4/p2Ppb2/2P1N3/P1N1P3/1P1K4/R5R1 w - -,g1g5
