8/2R5/5kp1/P4n1p/8/1r5P/8/5K2 w - h6,a5a6
8/1k2p2p/6p1/b1P2p2/2K5/3NP3/5PPP/8 w - -,c4d5
4r1k1/5p2/3p1q2/4b1p1/pP2PnPp/2r1BP1P/P4QB1/1R1R3K b - -,e8c8
5k2/pp5p/2p4r/3b1P2/4p1BP/1P2K1P1/P7/4R3 b - -,h6d6
1r6/2p1qpk1/3p2pp/3Pn3/1p3QP1/4P2P/rPP2R2/2KR1B2 w - -,d1d4
2r3k1/6p1/p3Q2b/Pn1p4/7q/1P1PP3/1BPK1P2/7B b - -,g8f8
3r3k/5Rpp/1p3b2/4rQ2/3pn3/1P4P1/3B1P1P/6K1 w - -,f5d7
r4r2/pp2bpk1/4p2p/1B1p4/3P2P1/5RP1/PPP3P1/2K2R2 w - -,b5e2
6k1/p3r1pp/1n6/4P3/3K1PP1/1P6/n1P4P/4R3 b - -,a2b4
8/3Rppk1/5bpp/8/6P1/1r6/1Pr1PP1P/2BR1K2 w - -,d7a7
6k1/1qr2pbp/pnb3p1/1pn1p3/1P2P3/1BN1BP2/P3Q1PP/2R3K1 w - -,b4c5
8/8/4k2p/prb1Pp2/5P2/1PR4P/2N1K3/8 b - -,e6d7
2kr3r/pp6/4pRbp/3pP1p1/q1pP1PPn/P1P5/R1PB4/3K1B1Q b - f3,g6e4
3rr1k1/1p2qp1p/nPp5/3p4/1P2p3/PQ2B1PP/4N1B1/3R2K1 b - -,a6b8
8/6pk/8/p2pPp2/1p3P2/3R2P1/PP5P/2r3K1 w - -,g1f2
r1nb1rk1/ppp1nppp/8/1NPp1q2/1P1P4/1Q2BN2/P4PPP/R4RK1 w - -,b5c3
1r2r1k1/3qppbp/p1np2p1/2p5/2P1P1b1/4BNP1/PP1Q1PBP/1RR3K1 b - -,b8b6
2rq2k1/pp3pp1/7p/2nBrb2/P1P5/Q2pP3/3N1PPP/R4RK1 w - -,e3e4
8/5R1k/2p1r3/R7/p1K5/2P1P2P/r7/8 b - -,h7g6
r2qk2r/ppp1bppp/8/3p4/2Pnn3/3B1Q2/PP3PPP/RNB1R1K1 w kq -,f3e3
rn1qkb1r/pb1p1p2/1p3n1p/2pP2p1/8/4PNB1/PP3PPP/RN1QKB1R b KQkq -,b7d5
r1bq1rk1/pp2ppbp/2p3p1/3p3n/3P1P2/2PB1N1P/PP1N1PPK/R2Q1R2 w - -,g2g3
8/8/P7/2bb4/7k/5B2/7K/5N2 b - -,d5f3
6k1/1bq1brpp/3p4/r1n3P1/pp1NP3/5Q1B/PPP1N2P/1K1R2R1 w - -,d4f5
8/1p6/5Bp1/p2P1p1p/P4P1P/1P4k1/4p1r1/5R1K w - -,f1c1
r3kb1r/1bqn1ppp/p2ppn2/1p6/3NP3/P1N1BB2/1PP2PPP/R2Q1RK1 w kq -,f1e1
r1bqk2r/ppp2pp1/2nppn1p/8/1bPP4/2N2N2/PPQBPPPP/R3KB1R b KQkq -,e8g8:a7a5
3rr1k1/1pqnbppp/p1b1p3/4P3/3BN3/5B2/PPP3PP/3RQR1K w - -,e1g3
5k2/5p2/3p1np1/R6p/4Pb2/2r4b/2B1N3/3K2R1 b - -,c3f3
8/1p1r1k2/p1nprnpp/4p3/4P3/P2R1NNP/1P1R1PP1/5K2 b - -,d7d8
7k/2p3p1/brp4p/p1q2p2/2PNp3/P3P1P1/1PQK1P1P/7R b - -,c5c4
3rbr2/p3qnk1/1p3pp1/3Pp3/P1p1P2P/2P2R2/2B1NQP1/1R4K1 b - -,f7h6
Q7/5pbk/2p4p/2q1p3/1p2P2P/1B4P1/1PP3K1/8 w - -,b3f7
rnb1k2r/pp2bppp/4pn2/q7/2N5/2P1BN2/PP3PPP/R2QKB1R b KQkq -,a5c7
2rrb1k1/4ppbp/nq4p1/pppPP3/8/PP1PNNP1/2Q2PBP/1R2R1K1 w - -,g2h3
r6k/pp4pp/7q/8/3p1rnP/1Q1P4/PPP5/1K3R1R w - -,b3b7
rn1qk2r/pbpnbppp/1p2p3/3pP3/8/3P1NP1/PPP1QPBP/RNB2RK1 b kq -,c7c5
2b5/k1P2n1p/1p2p1r1/p2NP3/q2P3P/2P1Q1P1/6B1/5RK1 b - -,e6d5
3r4/p5p1/6k1/2rP2P1/2B1p3/1P4P1/PK6/4R3 b - -,d8e8
1r1r2k1/p2qbppp/1np1p3/8/3P4/1QN1B1P1/PP1R1P1P/2R3K1 w - -,a2a3
2r4r/1pqb1pbk/3pPnpp/p7/P1P3P1/4BPN1/RP1QB1KP/2R5 b - -,d7e6
rnbq1rk1/1p2b1pp/2p1p3/p2p1p2/2PPn3/P1N2NP1/1PQ1PPBP/1RB2RK1 b - -,b8d7
8/6k1/r7/6KP/5NB1/8/8/8 w - -,g4e6
5rk1/pp1bppb1/3p1np1/q6p/2rNPP2/2N1B2P/PPPQ2P1/2KRR3 w - -,e4e5
3rr3/1ppq1p1k/p1n3pp/5P2/3Pp1b1/3QB1P1/PP4BP/4RRK1 w - -,f5g6
2r3k1/3n1pbp/p2p2p1/1p1R1PB1/2q1B1P1/P5Q1/1PP4P/2K5 w - -,g3d3
1r2qrk1/2pb1pb1/7p/1pQ1p3/3n3N/2N3P1/PP2PPB1/2RR2K1 w - -,e2e3
r1b1k1nr/pppp1ppp/2n5/1N6/1b2P2q/8/PPPB1PPP/RN1QKB1R b KQkq -,h4e4:b4c5:e8d8
3r2k1/p4pp1/1p2p3/3n3p/5PP1/P5Bq/1P2Q2P/3R2K1 w - -,g4h5
1rb2rk1/4ppbp/p1np1np1/qp6/2P1P3/1PNB1N1P/PB1Q1PP1/R4RK1 w - b6,c4b5
4r2k/1r3ppp/5n2/1p1Pq3/2P1p3/1P2Q3/4B1PP/R4R1K b - -,b5c4
8/8/2R5/kn1pPp2/1p1P1P2/4K3/8/8 w - -,c6c5
8/8/8/p4pkp/8/5KP1/R4P2/4b3 w - f6,a2c2
r4b2/pp5k/3B2rp/1BP2p2/8/1P1R3P/P4P2/5K2 w - -,d3d5
2r5/4k2p/7b/p2BpP2/1p2P3/PP1K4/7P/3R4 w - -,a3b4
3r4/1pr1kbpp/p3p3/4p3/P2nB3/2N2P2/1P4PP/1K1RR3 w - -,e1e3
r2b1r1k/1ppqn1pp/p2pbpn1/4p3/3PP3/2P1BNNP/PPBQ1PP1/R3R1K1 w - -,g1h2
r1bq1rk1/ppp1b1pp/2n1p3/1B1pP3/3N4/2P5/PP1N2PP/R1BQK2R b KQ -,c6e5
1R6/4k3/8/4P1P1/4K3/8/5r2/8 b - -,f2e2
