8/7p/4kpp1/ppr5/3KP1PP/PR6/8/8 b - -,e6d6
2r3k1/3b3p/1P4p1/Q2Pqp2/8/2p1P1P1/2P3BP/1R4K1 b - -,e5e3
5k2/1p5p/4p1p1/1p3p2/2bP1P2/bN2P3/P4KPP/1B6 w - -,e3e4
1b2rk2/p3r2p/1p4p1/5p2/1P6/5P2/P1PQ4/5K2 w - -,d2h6
5r2/8/7p/4k1p1/1p2p3/2P4P/4B1P1/6K1 w - -,c3b4
6k1/1p6/p2p2Np/2p5/3b4/P4K1P/1PR3P1/3r4 b - -,g8f7
8/p7/6p1/6k1/3P4/R2n1rP1/8/6K1 w - -,d4d5
r3kb1r/pb1n1p1p/4pp2/q7/Np1pP3/1P1Q1N2/P3BPPP/R3K2R w KQkq -,d3d4
8/8/1k6/8/PK2b1p1/1P6/2P5/4B3 w - -,e1f2
q5k1/3r1pp1/pQ1p1n1p/NprPp3/8/PP3P1P/2PR2P1/3R2K1 w - -,c2c4
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/5NP1/PP1N1PBP/R1BQ1RK1 w - e6,d4e5
r2qrbk1/1b1n1ppp/p1pp1n2/1p2p3/PP1PP3/2P2N1P/2BN1PP1/R1BQR1K1 w - -,c2d3
r4r1k/p1pqn1pp/1p1p4/8/2P2P2/3QN1P1/PP5P/3RR1K1 b - -,a8e8
4r1k1/3R1qb1/pQ4p1/1p5p/2p1b3/2P1B2B/PP6/2K5 b - -,f7f3
2bq1rk1/1p1nppbp/r2p2p1/p1pP4/PnP1PB2/2N2N1P/1P1QBPP1/3RR1K1 w - -,f4h6
4r3/5pk1/3p2pp/8/R6P/6P1/5PK1/8 w - -,a4d4
r5r1/pp2k3/nbb1pp1p/1N6/1P6/P3P3/1B3P1P/3RKBR1 w - -,g1g3
r1bq1rk1/p3n1bp/2pp2p1/2p1p3/4P3/2NPBN2/PPPQ2PP/R3K2R b KQ -,c8g4
8/8/1K2k3/4P3/5P2/8/6B1/1b4r1 w - -,g2h3
8/5p1k/p4Qp1/7p/P3q2P/8/7K/8 b - -,e4c4
1R6/1p1rb1k1/1B1p4/4p1pp/2P1Pp2/3P1P1P/4K1P1/8 b - -,g7f7
1rb2rk1/ppp1qppp/2n1pn2/8/2pP4/2N2NP1/PP1QPPBP/R2R2K1 w - -,e2e4
r4rk1/1p1nbppp/p1qp1n2/4p3/P3P3/2N5/1PP1RPPP/R1BQ1NK1 b - -,f8e8
k2r4/p4pb1/2n1b3/1R6/2Pp1B2/8/PP1K1PP1/4R3 b - -,e6c4
2kr3r/6pp/p3pp2/1p2b3/4R3/6P1/PPPB2BP/2KN4 w - -,a2a4
1r1q1knr/p3pp1p/2Qp2p1/8/3bP3/2N2P2/PP3P1P/R1B2RK1 w - -,f1d1
r4rk1/pp1b2pp/8/1Npq4/Q7/6P1/PP3PP1/3R1RK1 b - -,d5f7
2r1brk1/1p5p/1b2pq2/p2p2p1/P2P1n2/5NB1/1PBQ1PPP/4RRK1 w - -,e1e3
rnbq1rk1/ppp1p1bp/3p1np1/5pN1/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,d1b3
r1bq1rk1/1pp1npbp/p2p1np1/3P4/1PPNp3/P1N1P3/4BPPP/R1BQ1RK1 b - -,e7f5
4r3/B2r1k2/8/R4p2/5P2/2p4P/2P2K2/5n2 w - -,f2f1
8/5p2/4bk2/R2N2p1/1r4P1/7P/8/6K1 b - -,e6d5
2r2bk1/pp1n1p2/1q4p1/4p2p/2b1N2P/2P1B1P1/P3PPBK/2Q5 w - -,e3b6
8/5k2/2P5/3P2pp/1R3p2/1P5P/2r5/5K2 w - -,h3h4
r2q1rk1/1b1nbpp1/2p1pn1p/pp6/1P1P3B/PQNBPN2/5PPP/R4RK1 w - -,h2h3
8/5k2/1p1b4/p4PP1/PR6/4pKN1/8/8 b - -,a5b4
QR6/8/1p4k1/r6p/5pp1/3p1P2/3K1P2/8 b - -,a5a8
1r4k1/pBp2ppp/6b1/2B5/6P1/2b4P/P1P2P2/3R2K1 b - -,h7h5
8/R3pk1p/2p1b3/2p2pp1/1r6/2N1P3/P4PPP/2K5 w - -,a7a5
8/5p1p/2r1k3/6p1/5p2/1RP2P1P/5P2/5K2 w - -,f1e2
3r2k1/pp3pp1/1np1n1p1/8/4P3/4BPP1/PP5P/3R1BK1 w - -,d1d8
3rk3/5p1R/1qrp3p/p3pN2/1pP1n3/1P5P/P3QPP1/3R2K1 b - -,e4g5
r1b1kb1r/1pq2ppp/p2ppn2/8/2BNPP2/2N1B3/PPPQ2PP/2KR3R b kq -,c7c4
r4rk1/1p2qpp1/1p6/p1bBp3/P3P2p/6QP/1PPNbPP1/R3R1K1 w - -,g3b3
2r4Q/3rkpp1/pqn1pb1p/1p1p4/3P4/2N1P2P/PP3PP1/1BR2RK1 w - -,h8c8
r4rk1/pq1n1pp1/R3p2p/4N3/3Pn3/7P/4BPP1/Q3R1K1 b - -,d7e5
1r2r1k1/2q2pbn/p5pp/1bpp4/1n2PPP1/1PP1B1NP/3QN1B1/1R1R2K1 b - -,d5d4
b7/3rkp2/3p2p1/1r2p1Pp/2N1P3/5P2/1P4P1/1KRR4 b - -,e7e6
1r3bk1/r1q2p1p/4p1P1/3pP1B1/p2P4/R1P2Q2/1P3RP1/6K1 b - -,h7g6
r1bq1rk1/p4pbp/1p1Pp1p1/2p5/4PP2/2P5/P2QB1PP/1RB2RK1 b - -,c8b7
2rq1rk1/3bbpp1/p2p1n1p/npp1p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 w - -,d3d4
rnbqk2r/1p2nppp/p3p3/2P1b3/3N4/2N1B3/PP3PPP/R2QKB1R w KQkq -,f2f4
r1bq1rk1/3nbppp/p2pp3/1p4P1/3BP2P/2N2P2/PPPQ4/2KR1B1R b - h3,c8b7:b5b4:d8c7
2r3k1/1b3p1p/1q4p1/1BbP4/8/6P1/2Q2P1P/3RR1K1 b - -,b6b5
r2qkbnr/1p1n1ppp/p1p1p3/3p4/2PP2b1/1P3NP1/P3PPBP/RNBQ1RK1 b kq d3,g8f6
2rr2k1/1b2bpp1/7p/p2np3/Pp4P1/1B2B1NP/1PP2P2/3R1RK1 w - -,g3f5
4B3/1p6/3kp2p/p1rp4/8/P3bP2/1Pb1N3/4R2K b - -,d5d4
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQkq -,b8d7:f8e7:h7h6
5rk1/p1r2ppp/1qp1p3/3pNb2/3P1P2/Q7/PP3PPP/2R2RK1 w - -,c1c5
1r6/5pp1/2p1pkp1/8/2PQ1qP1/7P/PP3P2/1K1R4 b - -,f6g5
r1b1q1rk/pp2n3/2p2n2/2PpN1pp/3P1pP1/B2Q1P2/P3P1BP/1R3RK1 w - -,h2h3
