8/8/8/4k1pB/2b2p1p/7P/5KP1/8 b - -,c4d5
r1r2b1k/1p5p/3R1Bp1/pn2p3/8/8/PP3NPP/5RK1 b - -,h8g8
8/8/pPk5/4pK2/8/B7/8/8 w - -,a3c5
rn1q1rk1/pb3pp1/3p1b1p/1ppP4/4B3/1PN3P1/P1Q1PP1P/R1B1R1K1 w - -,c1b2
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P1B2/2NQ1NP1/PP2PPBP/R3K2R b KQ -,c7c5
5rk1/2r1bp1p/Bn2p2Q/5p2/P2q4/2p1N1P1/4PP1P/R1R3K1 b - -,f8a8
3r2k1/5pp1/2p3bp/pp6/4P3/P3NPPP/1PQqNK2/5B2 b - -,d2c2
5k2/p1R1p1bp/8/2BKP1p1/r4P2/8/6PP/8 b - -,g5f4
3r2k1/3r1ppp/2p1b2P/4p1q1/QP2n3/4P3/2B2PPR/R1B1K3 b - -,e4c3
6k1/6p1/b2bq2p/B4p2/N7/1P1n1PP1/N2Q2KP/8 b - -,e6b3
rn1q1rk1/1bp3pp/1p1p4/p3Bp2/2Q1n3/5NP1/PP2PPBP/R2R2K1 b - -,g8h8
r1bqkb1r/3n1ppp/p3pn2/1pp5/8/3P1NP1/PPQ1PPBP/RNB2RK1 b kq -,c8b7
r5k1/4R3/3p3p/P2P2p1/1Pp5/2N2rPb/5P1P/R5K1 w - -,e7e3
r7/8/8/4p2p/2kp2pP/2B5/PKR3P1/8 b - -,a8b8
1rb1r1k1/1p2qp1p/p2n2p1/P1Q5/5P2/1N2P2P/1P2B1P1/R2R3K b - -,d6f5
rn2r2k/pp3pb1/2p3p1/8/4P3/2P5/RPBN2PP/5RK1 b - -,e8e7
8/2pB1k2/1pPp4/3P3p/1P3P1P/3K2P1/1b6/8 w - -,b4b5:d7e6
r1b1k2r/pp1ppn1p/2n3p1/2P5/4P2B/2P2N2/P1P3PP/R3KB1R b KQkq -,c6e5
r2q1rk1/1ppb1pbp/3pnnp1/pN6/2P1P3/2N1BP2/PP1QB1PP/3RR1K1 b - -,f8e8
3q1rk1/pb4p1/1p2p2p/3nNp2/3P4/2rB2RP/P2Q1PP1/R5K1 b - -,d8h4
5r1k/1b1n2pp/pp2p3/4q3/N3n3/1N3P2/P4QPP/2B2B1K w - -,f2e1
2r5/p2r1pk1/1p4p1/8/1pP5/3P2P1/P4P1P/1R3RK1 w - -,f1d1
2bq2k1/p6p/1nnNpppQ/2B5/2BP4/1P6/5PPP/6K1 b - -,b6c4
5rk1/1p4p1/2p2qb1/3p3r/pP1P3p/P3RP1P/4Q1P1/3RN2K b - -,h5g5
1r5k/1q1bp1bp/1Ppp2p1/2n2p2/2PN2n1/BQ2P1P1/4NPBP/1R4K1 w - -,b3c2
r1b2rk1/pp1qbppp/2n1pn2/8/2B1N3/5N2/PPP1QPPP/R1B2RK1 w - -,c2c3:f1d1
