8/8/3p1k2/PR6/5p1P/5K2/r4P2/8 b - -,f6e6
2r5/7p/3p4/1K1P2p1/p3k3/R7/6PP/8 w - -,a3a4
r4rk1/pp1nbpp1/1qp1p1p1/6P1/Q1PPp2P/4P3/PP1B1PB1/2R1K2R b K -,f7f5
4rrk1/6b1/pp6/2p3R1/2P1Pp2/P1P1n3/1B6/3R1BK1 w - -,d1d6
k4n1r/p1r2pp1/3Nbb1p/1B1p4/3P1P2/4PN2/P1Q3PP/1R3RK1 b - -,c7c2
rnbq1rk1/1p3ppp/p1p1pn2/4N3/PbpP4/2N3P1/1P2PPBP/R1BQ1RK1 b - -,f6d5
8/3B4/6b1/ppk5/2p2p2/P1P2Pp1/1P2KbP1/4N3 w - -,e2d2
rnb2rk1/pp2ppbp/1qp2np1/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d3
r2q1rk1/1p1b1pbp/p5p1/2pnp3/8/PP1PPNP1/1B2QPBP/2R2RK1 w - -,f3e5
2r3k1/7p/p5pP/1p1p2P1/1PqbpP2/P7/6QK/2B1R3 w - -,g2g4
8/2b2kpp/4pn2/3p4/1NpP4/4PP2/r5PP/2R1B1K1 b - -,a2a3
2rq1rk1/5pbp/p5p1/1pnpBb2/8/1Q2PN1P/PP2BPP1/2R2RK1 w - -,b3b4
rnbqk1nr/ppp2ppp/4p3/3P4/1b1P4/2N5/PP2PPPP/R1BQKBNR b KQkq -,e6d5
3rrn2/1b2npkp/pp1p2p1/2p1p3/2P1P3/2N4P/PP2BPPN/3RR1K1 w - -,c3d5
8/8/8/8/3kp3/7R/r7/3K4 b - -,a2a1
r2nk2r/1pp2qpp/p2p1n2/4p3/PPQ1P3/2P1NN2/5PPP/R4RK1 w kq -,e3d5
r2q1rk1/pp3pbp/3pb1p1/2p1n3/2P1P3/4B3/PPQNNPPP/R3R1K1 w - c6,h2h3
8/pk1Q4/2r5/4K3/8/8/8/7q b - -,b7b8
2rr2k1/pp2qpp1/1bnp3p/4p2n/1PP1P3/PN6/1B2QPPP/2R1NRK1 b - -,h5f4
7r/RRr1bk1p/2pqnpp1/1p2p3/4P3/2QPBN1P/2P2PP1/6K1 w - -,b7c7
8/5k2/1p1p4/p1pPbp2/P5p1/2PPB1P1/1P3K2/8 w - -,e3g5
