8/3N4/3n4/p1p2p2/P4k2/1PPK3P/8/8 b - -,d6b7
r2r2k1/1p1bbppp/pqnppn2/8/2P1P3/2N3P1/PPN1QPBP/R1B2R1K w - -,f2f4
6k1/p1b2pp1/1p2p2p/2q1N3/8/8/PPP1QPPP/6K1 w - -,e5f3
5r1k/p4pp1/3B4/2p2r1p/Pn6/2bP3P/6PN/1R3R1K b - -,f5f1
5k2/7p/1rp3p1/8/B3R3/1p1P2P1/2n2PKP/8 b - -,c6c5
2rr4/2q3kp/1n3pp1/pppp1PP1/3Pb3/2P1N3/PP1Q2BP/R4RK1 b - -,f6g5
1r1r4/R7/3bpk2/1BNnpppp/P7/5PP1/1P2K2P/2R5 b - -,b8c8
3r2k1/np3pp1/3pb2p/BP6/5P2/P5P1/7P/2R3KB b - -,d8e8
r1br2k1/p4pp1/1pn2q1p/2pp4/3PP3/2PB1N1P/P4PP1/2RQR1K1 b - -,d5e4
Q1b2r1k/3pb1p1/pB3p1p/8/2N1Pq2/8/PPP3Pn/1K1R3R w - -,a8d5
7r/3b4/p2kp1p1/1p6/3P1R1P/5B2/P2KP3/8 w - -,e2e4
3r1rk1/ppp1qppp/2b1p3/4P3/6Q1/2P1P3/PP3PPP/R3KB1R w KQ -,f1e2
r1q2rk1/p3bnp1/1pn3Qp/5p2/P1Np1P2/BP3N2/3P2PP/R4RK1 w - -,f3d4
r2r1b2/2q2ppk/2p1p2p/p1PnP2Q/Pp6/5N2/1P1B1PPP/2R1R1K1 w - -,c1c4
r3kbQ1/p1p2p2/2pr4/4p2b/4N3/4B3/P1q3P1/R4RK1 w - -,e4d6
2r3k1/6bp/3P4/R4p2/5B2/2NK4/5nP1/3N4 w - -,d3d2
5rk1/1p1bppbp/pq1p1np1/n7/P2NP3/2P2P2/B1P1Q1PP/2BR1R1K b - -,d7a4
3r2k1/1q3pp1/p5rp/1p2p3/PP2P3/7P/3N1PP1/RQR3K1 b - -,d8d2
3r1bk1/3P1p1p/p3p1p1/P2n4/1p1P1P2/1N3P2/1P1B3P/2R3K1 b - -,d8d7
8/8/4p3/5r1k/4p2P/4Kp2/5R2/8 w - -,e3e4
3r2k1/5pp1/1Rp1p2p/n3P3/3r4/1p3BP1/1P3P1P/R5K1 b - -,a5c4
4rrk1/1b2q1pp/p1nbpn2/1p1p4/1P3P2/P1NB1NP1/2P4P/3RQRBK w - -,c3e2
r1b2rk1/4ppb1/pq1p1n1p/2pP2p1/4P3/2N2B1P/PP3PP1/R1BQ1RK1 w - -,c3a4
1r1qr1k1/2pb1pbp/p1n2np1/1pRPp3/4P3/4BP2/PP1QNNPP/4KB1R b K -,c6e7
2rqr1k1/5p2/2n3pp/pp2p1b1/3pP3/P2N2N1/1PP2PPP/R2Q1R1K b - -,d8f6
1r6/5Bpk/7p/Rn2p3/4P3/4N1Pb/5P2/6K1 w - -,g3g4
3q1k2/p3n1bp/5pp1/4p3/PPQ5/5BP1/5P1P/6K1 w - -,a4a5
r1bq1rk1/3nbpp1/1pp1pn1p/p1Pp4/3P3B/P1NBPN2/1P3PPP/R2QK2R w KQ -,b2b4
rnbqk2r/pp3ppp/3b1n2/3pp3/8/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,e1g1:c1g5
r3k2r/pp2qppp/1np1bn2/3p4/3P4/2NBP2P/PPQ1NPP1/2KR3R w kq -,g2g4
6k1/4npp1/Rn1qp3/7p/3rQP1P/6P1/1P6/2R3K1 w - -,e4f3
r4rk1/pppqnpbp/3pb1p1/3N4/2PpP3/3P1PP1/PP1B2BP/R2Q1RK1 b - -,c7c6
6k1/p4pp1/2b1p3/1p4Np/6nP/1P3PPK/1P1r2N1/5R2 w - -,f1c1
2rrq1k1/pb2ppbp/1p1p1np1/8/2PP4/1PN4P/PBQRBPP1/3R2K1 b - -,d6d5
r1b2rk1/4ppbp/p5p1/qpp5/n2PP3/Q1PB4/P3NPPP/1RB2RK1 w - b6,d3c2
2r5/1p2r1b1/p1n1p1kp/2B1p1p1/2P1N3/1P3P1P/P2R1KP1/4R3 b - -,e7c7
2r2rk1/1p2pp1p/6p1/p2P4/P1PbPq2/Q4P2/6PP/1RR2N1K b - -,c8c7
r4rk1/ppq1bppp/6n1/3p4/6b1/1Q4P1/PP1NPPBP/R1B2RK1 w - -,d2f3
8/P7/5r2/1K3p1p/R4p2/5Pk1/6P1/8 b - -,f6f8
r1b2rk1/1pqnppbp/p1p2np1/8/P1PPp3/2NB1N2/1P2QPPP/R1B2RK1 w - -,c3e4
6k1/p4pbp/1p2pnp1/4B3/1P2P3/PN3PP1/2r4P/5RK1 b - -,f6d7
r2q1rk1/p3n1p1/2pQ3p/2P1p3/4P3/1N6/PP3PpP/R3R1K1 w - -,d6e6
8/p1b5/8/P7/1PP1K1k1/5p2/8/8 w - -,e4d5
4q1k1/5pp1/5b1p/3B4/8/p3P1PP/2Q2PK1/8 b - -,e8e7
4n1k1/3q1ppp/2p1p3/2Pp4/8/1P1Q1PP1/4P1KP/B7 b - -,e8c7
8/p1nk1r1p/1b2R1p1/8/8/1B4P1/4RPKP/8 b - -,f7f2
4R3/8/6p1/2p2k1p/2r4P/5KP1/8/8 w - -,e8e7
r2qr1k1/p1p2pp1/2ppbn1p/2b5/4PB2/3B1Q1P/PPP1NPP1/R4RK1 w - -,a1d1
4r1k1/7p/1p4p1/p4n2/P4q2/1P1RN2P/2P3P1/4Q1K1 w - -,e1f2
1b1rq3/1p1r1k2/p1p1ppp1/7p/2PP3P/1P1RB1P1/P3QP2/3R2K1 b - -,f7g7
6k1/4b1p1/p1n4p/5p2/Np2rB2/nP6/2P1N1PP/4R2K w - -,c2c3
r4rk1/n1q1b1p1/p3p2p/3pPp1b/1PpP1P1P/P1B3P1/2Q1N1RN/R5K1 b - -,h5e2
4r1k1/p5pp/8/n7/2R1NP2/6P1/7P/5K2 w - -,c4b4
r4rk1/2n3p1/1p1pp3/p2p1pPp/3P1n1P/2P2N2/PP1N1P2/1K1RR3 w - -,d2f1
6R1/r7/8/8/5p1K/5k2/8/8 b - -,a7a1
r1bqkb1r/1p1n1ppp/p3p3/3pP3/3n1P2/2N1B3/PPPQ2PP/R3KB1R w KQkq -,e3d4
8/6p1/3k4/8/1N2p2P/pBP5/7r/4K3 b - -,d6e5
r1bq1rk1/1pp2ppp/2n5/p1bnp3/8/P1NP1NP1/1P2PPBP/R1BQK2R w KQ -,c1d2
rn1q1rk1/1b2bppp/p3pn2/1p2p1B1/3N4/2NB4/PPPQ1PPP/3RR1K1 w - -,e1e5
8/p3rk2/1pR1p3/P2pPp2/1P1K1P2/6P1/8/8 b - -,b6a5
7r/p3qpk1/1p2bp1p/2b1pB2/2Pr3N/1P1R4/P1Q2PPP/3R2K1 w - -,d3d4
1rb2rk1/2qp1ppp/p3p3/6P1/2pNP3/b1P1BPP1/PP1Q4/1K1R3R w - -,b2b4
8/1p6/1n3kp1/pB3p2/P4P2/1P3R2/6P1/2r3K1 w - -,g1h2
4k3/1p3q2/p1pPpn2/4r3/6RQ/8/PP3P1K/6R1 w - -,h4h8
r1b1k2r/1pqp1pp1/p1nbpn2/7p/3NP3/2PBBP2/PP1N2PP/R2Q1RK1 w kq -,h2h3
