3k4/R2n4/3p3q/2p5/4Q3/2P4P/6PK/8 w - -,e4g4
8/8/3k2pp/1P6/2PN1K1P/4P3/4B3/7r w - -,f4g3
2r3r1/1p2kppp/4p1b1/p1n5/P2RP3/2N1KP2/BP4PP/3R4 b - -,g8d8
5bk1/2r2p2/3pqnp1/1p2p2p/4P3/1P1QB1PP/P4P1K/3RN3 b - -,b5b4
5rk1/2qnbppp/4p3/p7/PpPRP3/6P1/4QPBP/1R4K1 w - a6,e2h5
1rb4r/p3kp2/P2pp2p/2p5/B1P1Q1pN/3KP1P1/1q3PP1/R6R b - -,d6d5
r2qk2r/1p3ppp/p2bp3/3nN3/PPQ5/2P5/3B1PPP/R3K2R w KQkq -,e5f3
1n3rk1/N5pp/4p3/b2p4/1p3PP1/8/PPP1Bn1P/1K1R3R b - -,f2h1
r4r1k/pp1bb1p1/1qn1pn1p/3p4/3P4/2NBBN2/PP3PPP/R2QR1K1 b - -,d7e8
r1bq1rk1/pp2ppbp/1n1p2p1/3P4/1nP5/PPN1B3/5PPP/2RQKBNR b K -,b4a6
r2q1rk1/p4ppp/np3n2/2pp4/3P4/P1PQP3/4NPPP/R1B2RK1 b - -,d8c8:a6c7
4n1k1/1q3pp1/1Prp3p/4p3/1Q2P3/3B1P2/6PP/1R4K1 b - -,e8f6
8/n6p/P4b2/2pkp1p1/2p3P1/2PpB1P1/1P3P2/R3K3 b - -,h7h6
3r1k1b/ppn2r1p/4qpbP/1PPp4/3Pp3/PBN1B1Q1/5RP1/5RK1 b - -,f6f5
r2q1rk1/pbpnppbp/1p3np1/3pN3/5P2/3P2P1/PPPNP1BP/R1BQ1RK1 w - -,d2f3
3rr1k1/p3q1pp/1BP1p1n1/1P2PpP1/2Q2P2/4P3/7P/1R1R3K b - -,a7b6
r5k1/1b3r1p/1q6/pn1pBPp1/1p6/1P3BPP/P1R1R2K/2Q5 w - -,c1g5
1r1n1rk1/2qbbppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2B2PP1/R1BQRNK1 b - -,d8b7:f6e8
r1b2rk1/ppp1qppp/2np1n2/3Pp3/2P1P3/5NP1/PP1N1PBP/R2Q1RK1 b - -,c6b8
8/5p1p/3p1kp1/4p3/2PpPPK1/rP1R2PP/8/8 b - -,a3a2
k2r3r/pp1P1p2/3Rn1p1/2p1Qb1p/1q2p3/4B1PP/5P2/R4BK1 w - -,d6e6
8/8/2P5/p3k3/1P6/P4p2/3K1p1P/8 w - -,c6c7
1rr2k2/p1R2p1p/bp4p1/3p4/3N4/1P3PP1/P1R1PK1P/8 w - -,c7a7
r3r1k1/1ppbqpbp/5np1/p1nPp3/2P1P3/2N1BN2/PPB3PP/R3QRK1 b - -,f6g4
rnbq1rk1/pp2ppbp/2p3p1/8/3P4/2N1P3/PP2BPPP/R1BQ1RK1 b - -,c8e6:e7e5
r7/4k3/4pp2/2p4p/2Bn4/1P2K3/P2R2PP/8 w - -,e3d3
3r2k1/b2Q1pp1/1p2r2p/8/2P1p3/3nBN2/5PPP/1R2R1K1 b - -,d8d7
2rr1k2/1p3pp1/1q1p1n2/1N1Pp2p/pQP1B3/P2R1P2/1P4PP/3K2bR w - -,e4f5
2r2rk1/1p1bppbp/p2p1np1/8/2Pq4/1PN3P1/PB2PPBP/2RR2K1 w - -,d1d4
rn1q1rk1/1b2bppp/1pp1pn2/p2p4/2P5/PP1P1NP1/1BQ1PPBP/RN3RK1 b - -,b8a6
r1bqk1nr/ppp2pbp/2np2p1/4p3/3P4/1P2P3/PBP1NPPP/RN1QKB1R w KQkq -,d4e5
r3rnk1/1bqn1pbp/pp1p2p1/2pP4/P1N1PP2/1QN2B1P/1P4PB/R4RK1 b - -,a8b8
8/2bk4/p3pnp1/3p4/PP1PnPPP/4PK2/2R5/4B3 b - b3,e4d6
r2q1rk1/pp2b2p/2p1b3/3pP2p/4P3/2N2N2/PPQ3PP/2KR3R b - -,d8a5
q7/5n2/1p3Pk1/6p1/4N3/2R5/5NKP/8 w - -,g2f1
3b4/p7/1p5p/2p1k3/P1B2pP1/1P5P/3N1P2/3b2K1 w - -,f2f3
r5k1/2pq2pp/1n6/1P3R2/2bPp3/2Q1P1P1/2N3BP/6K1 w - -,g2e4
r4r1k/nb3ppp/pq2pn2/1pb5/4PB2/P1N2N1P/BP2QPP1/2RR2K1 w - -,b2b4
k5r1/1p3p2/p1q1pn1p/6r1/P2P1p2/1R3P1P/2PR2P1/3Q1NK1 w - -,d1b1
r1bqkb1r/pp3ppp/4p3/3nQ3/8/2P5/PP1N1PPP/R1B1KB1R b KQkq -,f7f6
3br1k1/p4pp1/2p4p/3p4/1q6/1P1Q2P1/P1P2P1P/1N3RK1 b - -,d8b6
3r2k1/1p3pbp/2p1b1p1/3Nn3/1B2P3/3q2P1/P1R1QPBP/6K1 w - -,d5e3
