8/8/1K6/Pp3kp1/1P1N4/8/5p2/8 b - -,f5f6
r1b1r1k1/pp1nnpbp/2p3p1/4p1P1/2P1P3/2N1BN1P/PP1R1P2/2K2B1R w - -,h3h4
3Q1b1n/4q1k1/8/3Pp2p/4Pp2/5P2/6PB/5B1K w - -,d8c8
r1b2rk1/ppq2p1p/2p3p1/3N4/8/P3P3/1PQ1BPPb/R1BR2K1 w - -,g1f1
r3k2r/pp1b2b1/7q/4p1p1/4Pp2/2PP1BP1/PP3Q2/R2NR1K1 w kq -,g3f4
r2q1rk1/1b1nbppp/1ppp1n2/p3p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 w - -,c1g5
2r3k1/3b2qp/1p2pbp1/pP1p1n2/P2P1P1P/1N4P1/5B2/3QRBK1 b - -,c8c3
3r2k1/pbr1qpp1/1p1p1nn1/P2Pp3/1P2P3/5PP1/1B1Q4/R2RNBK1 w - -,a5b6
2qr2k1/pp3pp1/4n2p/3pN3/8/4P2P/PP2QPP1/3R2K1 b - -,c8c7
5k1r/1b1q4/3p3r/p1p1p1pp/Pp1bPpP1/1P1P1P1B/2P1QBRP/6RK w - a6,f2d4
1r3rk1/ppp1qpp1/2b1p2p/7P/3P2Q1/5N2/PPP2PP1/2K3RR b - -,a7a5
r1b1r1k1/ppq1nppp/3bpn2/2ppN3/3P1P2/2PBP1B1/PP1N2PP/R2QK2R w KQ -,e1g1
3r1bk1/1q1r1pp1/p2pnn1p/2p5/2P1P1P1/1PN1QPBP/P2R3K/3RN3 b - -,f8e7
r1b1rbk1/1pq2ppp/1n1p1n2/p1p1P3/P3P3/1P1B1N1P/1BP1NPP1/R2QR1K1 b - -,d6e5
8/8/4k3/1pK1P3/b7/P3BnP1/8/8 b - -,e6e5
5kr1/5b2/p1q3P1/1p2rP1p/4n2Q/4B2R/PPP4P/5RK1 w - -,h4f4
r1b1kb1r/p3q1pp/2pp1n2/5p2/2P5/1PN2Q2/PB1K1PPP/R4B1R b kq -,f6e4
r4rk1/ppp3pp/2nb4/1B1p1b2/3P3q/2P1B2P/PP2QPP1/RN2K2R w KQ -,b1d2
8/6kp/1p4p1/1PnB2P1/2Q2p2/3P1N1P/1b2qPK1/8 w - -,c4f4
3q1bk1/5pp1/2n1b2p/1p2pN2/2p1P3/2P4P/1PBBQPP1/6K1 w - -,d2e3
r4r2/pp1bppk1/2pp1np1/3P4/3N2nQ/2P1P3/Pq2BPP1/RN2K2R w KQ -,h4g5
6k1/p2n1pp1/7p/P1p2P2/1rBnp3/1pR1N1P1/1Pr2PK1/1R6 w - -,e3c2
r3r1k1/1p1q1pb1/p2p1n2/P2PnN2/2p1P1pp/2N1B3/1P1Q1PPP/R3R1K1 b - -,h4h3
r1bqk2r/ppn1bpp1/2p2n1p/3p4/3P3B/2NBPN2/PPQ2PPP/R3K2R b KQkq -,c8e6:e8g8
8/8/7b/8/pp5P/1B1Kp3/Pk6/8 w - -,b3f7
8/4Np1k/1p6/p3P3/P1P4P/6bP/4Kp2/8 b - -,g3e5
rn1qkb1r/1b3p2/p2p1np1/4p3/1p2P1P1/3B2Np/PPPB1P1P/R2QRNK1 b kq -,b8c6
r4rk1/pb1nqpbp/1ppp1np1/4p3/2PPP3/2N1BN2/PPQ2PPP/3RRBK1 b - -,f8c8
r1b1r3/3nqpbk/2p2npp/1p2pP2/1P2P3/5NP1/2P1QNBP/1RB2R1K b - -,c6c5
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3p2Q1/2PB4/PP1N1PPP/R1B1K1NR w KQkq -,c3d4
5qk1/1p1r1p1p/1Qpp1Pp1/8/1PP5/P2R3P/5PP1/6K1 b - -,f8d8
6k1/6p1/4R2p/1p2N3/1p6/1r4PP/1P1n3K/8 w - -,e6e8
7R/ppkr1p2/2q1p3/2p1P2P/2Pn2P1/P1BQ4/1P6/1K6 w - -,c3d4
5rk1/1pq1bpp1/p1rp1n1p/P3p3/4P3/1PN2Q2/2PB1PPP/R2R2K1 w - -,f3d3
3rrbk1/2p3pp/1pp2pq1/2P5/1P2Pn2/1NBbNP2/2Q3PP/4R1RK w - -,c2b2
4n3/4kp1p/3p4/1Q1Pp3/3rnPp1/3B2P1/5K1P/8 w - -,f2e3
r4qk1/ppp1bNp1/8/5P1p/7n/1BN5/PPP3PP/R1BR3K w - -,c1g5
r2q1rk1/1p1bb1pp/pp2pp2/8/1nNPN3/1Q2P1P1/PP3PBP/R4RK1 w - -,c4d6
r1b2rk1/1pq1bpp1/p2ppn1p/2n1P3/3N1P1B/1BN5/PPP3PP/R2QR1K1 b - -,d6e5
8/1p4kp/1b4p1/8/p2r3P/1B4P1/P1R2PK1/8 w - -,b3e6
8/3b1pk1/pp4pp/8/1P4P1/P1R1NP1K/r5P1/8 b - -,h6h5
8/7p/1r6/2p1r3/P2p1k2/1P1K2N1/2R2PP1/8 w - -,d3c4
r4rk1/pppqnppp/2n5/3p4/3P4/P1PP2N1/R4PPP/2BQ1RK1 b - -,f8e8
1q1r2k1/p5pp/1pR1p3/1B1n4/3P2pQ/P4P1n/1B6/3R3K w - -,c6e6
4k3/8/3p4/3P4/2P5/3K4/8/8 b - -,e8d7
2bqr1k1/5pbp/pr1p1np1/2pP1P2/4P3/2N2Q2/1P1N2PP/R1B2RK1 b - -,b6b4
3r4/1p3pbk/bPp1p1pp/2N1P3/r2PP3/7P/3R1BP1/2R3K1 b - -,a4a3
5r1k/1pp1R2p/pb1p2b1/8/8/1BPn1PN1/PP3PK1/7R b - -,d3f2
5k2/5p2/2Np4/3Pb1pp/2P1Pp2/5K1P/5P2/8 b - -,e5f6
7r/p2b2n1/1p1p1k2/1PpP1p2/2P2Pp1/P1N3Nr/4R2P/4R1K1 b - -,g7h5
3rr1k1/1pp2ppp/1p6/2b2b2/2P5/P4N2/1P1BB1PP/R4K1R w - -,b2b4
1r1k3r/3b1Np1/1bq1n3/p3R2p/8/B2Bn3/1PP1Q1PP/4R2K b - -,d8c7
8/5p2/r4pp1/2P4p/4k2P/PK6/6P1/3R4 w - -,d1d6
2rqr1k1/3n1p1p/p4bp1/Pp1p4/1P1p4/2N1PN2/3Q1PPP/R4RK1 w - -,e3d4
2bq1k1r/4bp2/2p1p3/3pP1pp/5B2/2NP4/1Q3PPP/R5K1 w - g6,f4d2
2krr3/2pbn1b1/ppp2ppp/8/1P2P3/1N3N1P/PBP2PP1/2KR3R b - -,c8b7
r4rk1/pb1qppbp/1pn3p1/8/3P1B2/4PB2/P2N1PPP/R2Q1RK1 w - -,d2c4
1rbq1rk1/p1pnbppp/2Q5/3pP3/3P4/4BN2/PP3PPP/RN3K1R w - -,b2b3
1r4k1/4qp1p/2Q3p1/2bp4/8/P3PN2/1r3PPP/R4RK1 b - -,c5a3
r1b1r1k1/ppp1qppp/5n2/4p3/1PP5/P1Q1P3/1B3PPP/R3KB1R w KQ -,f1e2
rnbqr1k1/1p3ppp/3ppn2/p7/1pPP4/3BPN2/PPQN1PPP/R4RK1 b - -,d8e7
8/8/5pk1/R7/5rn1/4R3/4KP2/8 w - -,e3f3
r1bq1rk1/1p3ppp/p1nb1n2/2ppN3/3P1P2/2N1P3/PP2B1PP/R1BQ1R1K b - -,c5d4
r1b2rk1/3pnppp/p1n1p3/1pq5/3NP3/1PP2P2/P1NQB1PP/R4RK1 w - -,g1h1
8/5pk1/R2p3p/P2P4/3b3N/4n2K/5rB1/8 w - -,h3g3
r1b2rk1/pp2ppbp/2n3p1/q1p5/8/1QP2NP1/PB1PPPBP/R4RK1 b - -,e7e5
rn1qr1k1/ppp1bppp/1n1p4/5b2/2PP4/2N2N1P/PP2BPP1/R1BQK2R w KQ -,e1g1
2kr3r/pp5p/2n2p1b/2p4p/5Pb1/N1P1BN2/PP2K1PP/R6R b - -,c6e7
r2qnrk1/1bp3bp/1p4p1/5p2/p2PPB2/5PP1/P1NQ2BP/2RR2K1 b - -,f5e4
r2r2k1/1bq1bppp/ppnppn2/8/2P1PP2/1PN2NP1/PB2Q1BP/R2R2K1 b - -,b6b5
r1r3k1/pp3ppp/3p1n2/q2b2N1/2p2P2/1PP4P/PKPQ2P1/3R1B1R w - -,d2d4
8/5b2/1p6/8/8/2P1KP2/5Pk1/8 b - -,b6b5
5nk1/5pp1/2b4p/1p2B3/2P5/1B3PKP/1PP1N1P1/4r3 b - -,e1e2
5r1k/r3q1pp/3pnpn1/2pBp3/1p1PP2P/1P2PN2/P2Q1RP1/5RK1 b - -,f8d8
r3r3/1b1nbkpp/pp2p3/3p2N1/P1qN1P2/8/1PPBQ2P/4RRK1 b - -,e7g5
r3n1k1/4qp2/b1p1p1pp/1p1rP3/p2PN3/2P1QKP1/P1B2P1P/3R3R b - -,e7f8
r1r3k1/p3qpp1/1p2pn1p/8/3N4/P2QP3/1PR2PPP/5RK1 b - -,e7d7
5rk1/4Qpbp/Bp1p2p1/1P6/3n1P2/P1q4P/6PB/4R1K1 b - -,c3a3
4b1k1/1p3pp1/1Q1rpn1p/p1Nr4/8/2PB2R1/qP3PPP/4R1K1 w - -,b6c7
3qr3/p2b1k1p/3p1np1/n1pP1p2/2P2p2/P3PBP1/1Q1N3P/1N2R1K1 w - -,g3f4
4k3/R5p1/3P3p/7P/8/6P1/p3KP2/r7 b - -,e8d8
8/4k1pp/2Bnp3/5p2/p7/b1KNPPP1/P6P/8 b - -,g7g5
rn1qkbnr/pp2pppp/2p5/3p1b2/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq -,g8f6
r4b1r/1p1b1kp1/p2ppn2/4n2p/3NP2P/2N2PBB/PPP5/2KR3R b - -,b7b5
6k1/p5pp/1p2p3/3rbp2/1P6/N3PP2/P3K1PP/2R5 w - -,c1c8
rnb1k2r/1pq2pp1/p2ppn1p/8/2PNPPP1/2PBB3/P6P/R2QK2R b KQkq f3,e6e5
2r3nk/2q1npbp/6p1/1b2p3/p3Pr2/B1P2NNP/BP3QP1/3RR1K1 w - -,a3d6
8/7p/2k2pp1/3b4/5PP1/2Bpb1KP/8/5N2 b - -,e3c1
r3nkr1/p2q1p2/1p1p4/3b3p/4B3/Q4PN1/PP4PP/R3R1K1 b - -,d5e4
8/8/p1k2N1p/1p3P2/1Kp3P1/P7/8/8 b - -,a6a5
rn1q1rk1/1bpp2pp/1p6/p2p1p2/2P1n3/2B2NP1/PPQ1PPBP/R3R1K1 w - -,c4d5
rq3rk1/1b1Q1p1p/p4bp1/4p3/2B5/PN2P3/1P4PP/2R2R1K b - -,g8g7
1r2k3/4bp2/2p1p2p/4PPp1/p1P1K1P1/P2R4/5B1P/8 b - -,b8b3
3k1b2/p7/npp1bp1p/4p1pP/2P1P1P1/PP2NPN1/1K1B4/8 b - -,f8c5
r1bqkb1r/p4ppp/1pn1p1n1/2p1P3/3pB3/2P2NP1/PP1P1P1P/RNBQR1K1 b kq -,c8b7
r1b2rk1/ppqnppbp/6p1/2p5/2P5/3P1NP1/P1Q1PPBP/1RB1K2R b K -,e7e5
b7/6p1/1p1p1k2/3p1p2/1P1P1K1P/5BP1/8/8 w - -,f3g2
r1r3k1/2q2ppp/1p2p3/p2n4/8/1NPQ2P1/PP1R1P1P/1K1R4 w - a6,b3d4
r1b1k2r/3nppbp/pq1p1np1/2pP4/4P3/2N5/PP1N1PPP/R1BQKB1R w KQkq -,f1e2:a2a4
5rk1/1p1q1p2/p4bp1/3Pp3/1PK5/4BP2/P2Q2p1/2R1R3 b - -,d7a4
Q1n1b1k1/1pq5/2pp1nr1/3Pp1b1/1PP1Pp2/B1NB1Pp1/6P1/R4NK1 b - -,g6h6
1rbqr1k1/p1b3pp/2P1p1n1/1N1pPpP1/2p2P2/3BP3/PB2Q2P/1R3R1K w - -,d3c4
rqb2rk1/2bp1ppp/pBp1pn2/2P5/N3P3/5BP1/PP3P1P/R2Q1RK1 b - -,d7d5
1r2b1k1/2q1bp2/p3p1p1/4N2r/1n2NP2/2P1B3/1P4QP/3R1RK1 b - -,b4c6
R3n1k1/4qp1p/3p2pB/4p3/1p2P3/1Pr2P1P/3Q2P1/6K1 b - -,c3c6
r2q1rk1/pbppbppp/np3n2/3P4/7N/6P1/PP2PPBP/RNBQ1RK1 b - -,e7c5
r1b1k2r/pp2ppbp/2pq2p1/4N1Pn/3P1P2/2P2Q2/P1P3BP/R1B1K2R w KQkq -,e5c6
2r2rk1/1q1n1ppp/p3p3/Pp1p4/3Pb3/1BP1N1b1/1P2QPPP/R3R1K1 w - -,h2g3
r1r3k1/3b1ppp/1p6/p2pPP2/1n1N4/1P6/1P4PP/R2RN1K1 w - -,e1d3
