8/6k1/3np1pp/8/6PP/6K1/8/5R2 w - -,g3f4
1n6/7p/2p1N2k/P1PpPp2/3P4/5K2/8/8 b - -,b8a6
6k1/2p2pp1/4p2p/1P1pP2P/2nP4/3Q2P1/2Bq1PK1/8 w - -,d3d2
1n6/8/B1N1pk1p/6p1/4P3/4K1PP/8/8 b - -,b8c6
r2k4/pb3R2/3b2rp/3NB2p/Pppq4/6P1/1P3P1P/3R2K1 w - -,e5d4
8/5Qbk/1p2r1p1/p2p3p/P2P2q1/B3P1P1/5P1P/2R2K2 b - -,e6f6
r1bqr1k1/ppp2ppp/2n2n2/4p3/2P5/P1Q2NP1/1P2PPBP/R1B1K2R w KQ -,c1e3:c1g5
r5k1/1p3p1p/1p4p1/2rPb3/8/4N2P/P4PP1/3R1RK1 w - -,f2f4
r4rk1/p2bqpbn/np1p2p1/1N1Pp2p/2P1P3/4BN1P/P1BQ1PP1/1R3RK1 w - -,a2a4
8/5k2/4p3/4P1K1/8/8/8/8 w - -,g5h6
8/8/R2N2p1/3bp2p/1r1p1k2/1Pp2P1P/2P3P1/6K1 w - -,g1f2
rn1q1rk1/1p3pbp/2pp1np1/p4p2/2PP4/P1N3P1/1P2PPBP/1RBQ1RK1 b - -,f8e8
r1r3k1/1p3pp1/p1b1pn2/2b2q1p/5N1P/1PN3B1/1PP1QPP1/R2R1K2 w - -,a1a5
rnbqk2r/pp2ppbp/5np1/3p2B1/3P4/5N2/PP1NPPPP/R2QKB1R w KQkq d6,e2e3
6k1/p5p1/5p1p/8/2p5/4P3/P2r1PPP/2R2K2 b - -,d2a2
r3kb1r/pp1n3p/2p1p1p1/3pPp2/3P2Pq/1N1BPQ1P/PPP1K3/R6R w kq -,c2c4
r1r2bk1/2qn1p2/p3b2p/4P1p1/Bp1p4/3P1QNP/PP1B2P1/R3R1K1 w - -,a4d7
2r3k1/pp3pp1/7p/q2B4/3Q4/P1R3P1/K1P1rP1P/1R6 b - -,a5c3
2rr2k1/q2n1pp1/p3pnp1/8/2Nb4/PP3QNP/1B3PP1/2R1R1K1 w - -,b2d4
1r4k1/p2q2pp/R1r1p3/2PpPpb1/3P4/2N1P1P1/3Q3P/5RK1 w - -,f1a1
2k1r2r/ppqn4/2p2p2/2Pn3p/7P/1B2B2Q/PP3PP1/R4RK1 b - -,d5e3
5r1k/pp3qbp/6p1/2P5/1Pp5/3r2P1/P1Q2BBP/3R2K1 w - -,d1f1
rn2k2r/pp1b1p1p/3Npp2/q7/2B1P3/8/P4PPP/2RQ1K1R b kq -,e8e7
1r3r1k/3n1pp1/p2Pp2p/8/2Nb4/8/PP5P/1KR1BR2 b - -,f7f5
2r2rk1/pp2pp1p/6p1/8/1P1qP3/PQ6/6PP/R4R1K w - -,a1e1
1r1k4/5p2/4b2p/pB1p2p1/Pb6/2B3P1/1P3P1P/2R3K1 w - -,c3b4
r2qr1k1/pp3pp1/1b1n1n1p/3p4/7B/1PPB1N2/P4PPP/R2Q1RK1 w - -,a1c1
4r3/5p2/p2p1k2/1P4pp/2n1P3/7P/1PR2PP1/4RK2 b - -,a6b5
r1bq1rk1/pppnn1bp/3p2p1/3Pp3/PPP1Pp2/2N5/3NBPPP/R1BQ1RK1 w - -,c1a3
3rk3/Q6p/3p2p1/4n3/2q5/B7/P5PP/5R1K w - -,f1e1
rn3rk1/p2pqppp/1p3b2/2pP4/8/2B2NP1/PP2PPKP/2RQ1R2 w - -,f1e1
4r3/7R/8/8/2k5/P7/KP6/2n5 w - -,a2b1
r1b1r1k1/1p1nqppp/2p1n3/4p3/P1P1P3/1NN5/2Q2PPP/R3RBK1 b - -,d7c5
rnbqkbnr/pppp2pp/5p2/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,a2a3:b4b5
