8/3r2k1/6P1/8/2P5/2KB1R2/2N5/6r1 w - -,c2e3
5r2/1p6/pP1p3k/3P4/P3P3/8/4r2p/5R1K w - -,f1f8
8/k5n1/pp2n3/3p3p/P2P1p1P/BPKB1P2/8/8 b - -,a7b7
2r1knr1/1p2pp2/p2p4/7p/5PB1/2B3P1/PPPR3P/2K1R3 b - -,g8g4
1r6/1p2ppk1/p2pq3/2r3p1/2P1Pn2/1P3PQ1/P2R3P/3R1B1K w - -,f1d3
5rk1/p4p1p/1p2p1p1/6N1/2rP1P2/b1n3P1/P2B3P/R3R1K1 w - -,d2c3
2r1r1k1/pp3ppp/3q1n2/3pN2b/8/2PB3P/PP1N1PP1/RQ2R1K1 b - -,e8e5
rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 w kq -,b2b3
6k1/1pp2ppb/p6p/8/1PP1p1P1/P2rP1NP/3nN1B1/1R4K1 w - -,b1c1
r3k2r/1pp3pp/p1nqp3/3p1p2/3Pn2P/P1NQ2P1/1PP1PPB1/R3K2R w KQkq -,d3e3
1nb1k2r/1p1p1ppp/2p1pn2/2b5/1q6/3Q3N/3PPPPP/BN2KB1R b Kkq -,b4b5
r2qr1k1/5p1p/1pP3p1/pPnp4/8/6P1/1PQR1P1P/R5K1 b - -,d5d4
2kr3r/Rp3p1p/2b1p3/4Q3/1q6/1P1B4/2P2PPP/5K1R b - -,b4d2
r1br2k1/npq3pp/4p3/pBPp1p2/P2Pn3/5N2/1PQ1NPPP/2R1R1K1 b - -,c8d7
r7/P2R4/5pk1/1pB1p1p1/2b1P2p/2K2P1P/2P3P1/8 b - -,c4f1
2rrbbk1/1q3ppp/3ppnn1/1p6/4PP2/2N1NBB1/PP1Q2PP/2RR3K b - -,e8c6
8/5k1p/1p3p1P/p1pp1K2/3P4/1PP5/1P3P2/8 w - -,f2f3
r1bqk2r/pp2b2p/2p1p1pB/4p3/2n1P3/8/PPP1QPPP/RN3RK1 w kq -,e2c4
8/8/1K6/1p6/k7/1n6/8/4B3 w - -,e1c3
r4rk1/2q2p1p/2p3p1/p1p2n2/3b1P2/P2Q1B1P/1P2N1P1/1R2R2K b - -,a8d8
8/1p4pk/p7/P7/1P2q2p/8/3Q1P2/5K2 w - -,d2c3
r2r2k1/pp1nqpp1/2pb1np1/3pp3/2P5/PP1P2P1/1BRNPPBP/2Q2RK1 b - -,a7a5
r1bqkb1r/1ppn1ppp/3p1n2/pP2p3/P7/4PN2/1BPP1PPP/RN1QKB1R b KQkq -,g7g6
8/R4Kbk/8/8/8/p7/8/8 w - -,a7a3
6k1/p5p1/1p1p1n2/3Pp2p/4P2P/3B1QPq/PP1K4/8 b - -,h3h2
8/1p2kp2/1R4p1/7p/5P1P/1P1r4/6K1/8 w - -,b6b7
3r1k1r/4qpb1/1pp1b2p/p1p1p1p1/P2PPn2/2P1BNNP/1P1Q1PP1/R3R1K1 b - -,f8g8
8/5pp1/3k4/1P2p2p/2KnP3/5P1P/3B2P1/8 b - -,d6c7
rnbqkbnr/1p3p2/p2p2p1/2pPp2p/4P2P/2N4N/PPP2PP1/R1BQKB1R w KQkq -,h3g5
8/2q2kRp/3p1b1P/r1n5/pp2b3/7B/PPP1N2P/1K3R2 b - -,f7e8
2r3k1/Q2R2p1/7p/1p2p3/1q3p2/3b1P2/PB4PP/3K4 b - -,b4b2
r7/1p1k4/2p1p3/Pn3p1p/1P1P2r1/4P1B1/2R3PP/2R2K2 w - -,g3e5
3r2k1/p4pb1/1p3npp/8/3rP3/B1N2P2/PP4PP/R2R2K1 w - -,d1d4
2kr3r/1ppbnppp/p1p5/8/3NP3/2N5/PPP2PPP/R4RK1 b - -,c6c5
8/2pr2pk/p5Np/1p3P2/4R1P1/1nP4P/1P6/6K1 b - -,d7d8
r1b2rk1/p1qn1ppp/1p3n2/2pp4/P2P4/2PBPN2/2Q2PPP/R1B2RK1 b - -,c8b7
r1b5/1pqn2k1/p2p1pp1/2pPr2p/2P1PQ2/P2B1R1P/1P4P1/3N1RK1 w - h6,d1e3
rn3rk1/pp2ppbp/1qp2np1/3p1b2/2P5/1P3NP1/PB1PPPBP/RNQ2RK1 w - -,d2d3
8/p4p1k/1p4qp/1N2Q3/P4n2/2K5/3R4/8 b - -,g6g3
3rkb1r/nbq2ppp/pp1ppn2/6B1/1PP5/2NQ1NP1/P3PPBP/2RR2K1 w k -,g5f6
8/5p2/6p1/1kp2p1p/7P/1P2P1P1/RK3P2/5r2 w - -,b2c3
4rbk1/3b1p2/2p3pp/qp2p3/4P3/2PQ1P1P/1P3BP1/3R2K1 w - -,d3d7
r3k1nr/pp2p3/n1pqPpp1/5b1p/2BP4/2N1Q3/PP2NPPP/3RK2R b Kkq -,a6b4
1r5r/p2pkppp/Q3p3/2q5/4n3/8/PP3PPP/R1B2RK1 w - -,c1e3
rn1q1rk1/ppp2ppp/3b1n2/3p2B1/3P2b1/3B1N2/PPP2PPP/RN1Q1RK1 w - -,c2c3:b1d2:h2h3
4b1r1/3nqp1k/4p1pp/p2pP2N/2pP2QP/p1P3R1/1rP1BPP1/R1K5 b - -,g8f8
1r1r2k1/5pb1/4q1pp/1pp1p3/8/Pn1P2P1/1P1BPP1P/NR1Q1RK1 b - -,b3a1
rn1qkb1r/ppp1pppp/8/3n4/3P4/8/PPP1NPPP/RNBQ1RK1 b kq -,e7e6
r4rk1/ppp4p/1n1p1qp1/5b2/2P5/2N2P2/PP1Q2PP/2KR1B1R w - -,d2d4
r1b2rk1/pp1nppbp/1qp2np1/8/3PN3/2PB1N1P/PP2QPP1/R1B2RK1 b - -,f6e4
r2q1r1k/pp2n1pp/1bp3n1/2Np4/3P1PP1/1Q1BB2P/PP6/R4RK1 b - -,d8d6
r1bq1rk1/pp3ppp/2pb1n2/2n5/2PN4/2N1P3/PBQ1BPPP/R4RK1 b - -,d8e7
r3r1k1/pbpnqpp1/1p1p1n1p/4p1B1/1PPP4/P3PN2/2Q1BPPP/3R1RK1 w - -,g5h4
r2q1rk1/p5pp/1p2b3/1n2p3/1P1pPpPb/P2P1B1P/1N2NP2/1R1QK2R w K -,a3a4
3r2k1/1p5p/2pN1npN/4p3/r1P5/6P1/5PBP/1R4K1 b - -,g8g7
1r1q1rk1/1p3pbp/p1np1np1/2P1p1B1/Q5b1/2N2NP1/PP2PPBP/2R2RK1 b - -,g4f3
1nr2rk1/2n1bpp1/p3p1p1/1pPp4/1P1P1P1P/2NBP3/3B2P1/R3K2R w KQ -,g2g4
8/8/6p1/6p1/3K1k2/5P2/1R4Pr/8 b - -,g5g4
1r4k1/4ppbp/qr1p2p1/2nP4/4PPP1/1PN2K1P/P2QN3/1R5R w - -,h1d1
2r2rk1/p4ppp/b3p3/Pp2Pnq1/1Q2B3/1P4P1/N4P1P/R1R3K1 w - -,c1d1
r4q1r/pp1bk1p1/2n1pp1p/3pP1P1/2pP1Q1P/2P2N2/P1PKBP2/R6R w - -,g5f6
8/1p6/2p1kpp1/p2p3p/3P1P2/2P2NPP/P2K4/3n4 b - -,d1f2
4r1k1/1b1n1ppp/2q5/2pp4/P3n3/1B2PN2/5PPP/B2QR1K1 b - -,h7h6
8/8/8/8/1pk2p1R/p4P2/2r5/4K3 w - -,h4f4
r2qr1k1/pb2bp1p/1pn1p1pB/8/B2P4/P1nQ1N2/1P3PPP/R4RK1 w - -,d3c3
r4rk1/p6p/2p1b1p1/8/PR2p3/4B1P1/5PP1/2R3K1 b - a3,e6d5
5rk1/p2Q3p/1p1P4/8/2qb4/5pP1/P4P1P/4RK2 w - -,f1g1
6r1/5pb1/1p2k3/p2pPRBr/2pP4/2P5/PP4K1/5R2 w - -,g2g3
8/2P5/8/4K3/2R3b1/5rkp/8/8 b - -,g4c8
5r1k/4q2p/1p6/2P1b3/2P1p3/1N1pQ3/1P4KP/R7 b - -,e7h4
r1bq1rk1/pp2bppp/2nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 b - f3,d8c7:e6e5:a7a6:c8d7
r5k1/2p2qp1/1p1b3p/p2p1p2/PnPPn3/1P2NN1P/1B3PP1/3QR1K1 b - -,a8e8
r3rk2/1pp2ppp/1b2n1n1/3pPN2/1PqP4/2B2NPP/3Q1P2/R3R1K1 w - -,f5e3
r2q1rk1/pp3pbp/1n1pbnp1/8/2PB4/2N2N2/PP2BPPP/R2QK2R w KQ -,b2b3
r4rk1/pp1qppbp/6p1/2Q3B1/8/3P1PP1/P4PKP/1RR5 b - -,b7b6
2r3k1/2pn1pp1/R3p2p/4P3/pr2PP2/4BKP1/P1R4P/8 b - -,g8f8
8/p4kp1/1b2p2p/5p2/PP6/4PPN1/4K2P/8 b - -,b6c7
5k2/1pp2q1p/p5p1/5pP1/P2QpP2/7P/1P6/5K2 b - -,f8e7
3bk2r/1r1b1ppp/4pn2/1pN1p3/8/P1N2P2/1P4PP/2R1KB1R b Kk -,b7b8
6k1/pp3pp1/7p/2Pp4/1P3Qn1/8/6BP/q4NK1 b - -,g4f6
8/4b1p1/4ppkp/8/qP6/2PQ2P1/3B1P1P/6K1 b - -,f6f5
r1b2rk1/pp3ppp/2p3n1/4P1B1/1b2P3/1BpP1N2/PP2NqPP/R2Q3K w - -,b2c3
8/8/1p3p1p/p1k1p1p1/P1P1P1P1/2K2P2/7P/8 b - -,c5d6
