8/6k1/5n2/1K4pp/5rP1/3Q1P2/8/8 w - -,g4h5
8/r7/Prn1pk2/1R1p1n1p/3P3P/R3PP2/8/5BK1 b - -,b6a6
r1bqk1nr/pp3ppp/2n5/3p4/1b1P4/1QN5/PP3PPP/R1B1KBNR w KQkq -,f1b5
r3k2r/1bqn1pbp/p1pp1np1/1p6/3BPPP1/P1N5/1PPQBN1P/R3K2R b KQkq -,c6c5
4rr1k/p1q2pb1/bp2pNpn/2ppPnB1/6NP/2PP4/PP2QPB1/R3R1K1 w - -,a1d1
r1q2rk1/pp1n3p/2p2p2/3p2p1/3PnB2/2P1R2P/PNP1QPP1/4R1K1 w - g6,f4h2
8/p2n1kp1/1p3p1p/4p3/2P5/P3PP2/4K1PP/4B3 b - -,f7e6
5r2/1kp5/p2b3R/1p6/4R2p/7P/PP3P2/6K1 b - -,d6c5
3rk3/5pb1/8/3qpb2/p7/PpP1Bp2/1P3Q2/K3RB1N w k -,e3c1
r3nrk1/1b1n1ppp/pp1ppq1B/8/2P1PPQb/2NB1N2/PP4PP/R4RK1 b - -,f6h6
8/4bk1p/4p1p1/P3Pp2/5P2/7P/2p3PK/6B1 w - -,g1e3
1rrq2k1/3b2pp/4p3/Pp1pPp2/3Q1P2/P2P4/4N1PP/R1R3K1 w - -,d4b4
3r1rk1/1p3ppp/p2q2n1/2pp1P2/4P1P1/2P5/PPQN2P1/R4R1K b - -,g6e5
r3r3/3n1ppk/p1q2b1p/4p3/1pP1P3/1P3NQ1/PB4PP/3R1R1K w - -,g3g4
6k1/1q3pb1/pp4p1/5nB1/P1N1r1Pp/2PQ3P/1P3P2/R5K1 b - -,f5d4
6b1/1p6/1p1N4/2p3p1/2P5/4KP1k/8/8 w - -,d6e4
3rr3/1pn1qpkp/2p2np1/p4p2/Pb1P4/4PP2/BPQBN1PP/3RR2K w - -,d2b4
r1bq1rk1/ppbn1pp1/2p4p/2Pp4/3P4/2PB1N1P/P4PP1/R1BQR1K1 b - -,f8e8
4r1k1/pppb3p/3p4/P2P4/2BB2r1/8/R4PP1/5RK1 b - -,g4d4
5Rr1/4p2k/4p3/6Bp/2b4P/5P2/1r4PK/4R3 w - -,f8f7
r1n3k1/1prq1p1p/3p1np1/pPpPp3/P1N1P1P1/3P4/3QBP1P/4RRK1 b - -,b7b6
1r1r2k1/5ppp/4p3/p1q1p3/2P5/1PQ1P3/P5PP/3R1R1K b - -,f7f5
1rbq1rk1/1ppnbppp/p2p1n2/4p3/2PPP3/1PN2NP1/P4PBP/R1BQ1RK1 w - -,d1e2
r1bq1rk1/ppn3pp/2pbp1n1/3p1p2/2PP4/P2BPNB1/1PQ1NPPP/R3K2R b KQ -,c7e8
r3kb1r/pppq2pp/3p1n2/n2Ppb2/2P4Q/P7/1P2NPPP/RNB1KB1R w KQkq -,b1d2
4k3/1R4pp/4N2n/3pP3/r5P1/7P/8/6K1 b - -,h6g4
3r2k1/pb3ppp/1p1nn3/3PB3/PP6/5P2/3N1KPP/2r1RB2 w - -,e1c1
r4rk1/pp1n1ppp/2p1p3/3p4/2PP4/qP2PN2/P3QPPP/R4RK1 b - -,a7a5
rnb2rk1/ppq1bppp/3ppn2/8/2P2N2/6P1/PP1NPPBP/R1BQ1RK1 w - -,b2b3
3r2k1/4p1bp/1qp1Ppp1/2Nb4/5B2/1P2Q2P/r4PP1/R2R2K1 b - -,d8a8
r2brnk1/pp1bqpp1/2p1p2p/1PP1N3/P2P4/3B4/5PPP/1RBQR1K1 w - -,b5c6
6k1/5p2/p2N3p/P1nb2pB/r7/2n3B1/5PPP/5RK1 w - -,d6f5
rnbqkb1r/ppp2ppp/4pn2/3p4/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq d6,e4e5
8/r3k3/p3pb2/1p1p1p1B/4b3/8/PPP2R1P/1K2R3 w - -,e1e2
2bqr1k1/1pn2pbp/1np3p1/3pp3/1PP5/1QNPPN1P/1B3PP1/R4BK1 w - -,c4d5
4r1k1/1p3ppp/5n2/2Npp2b/1B2Pn1P/P4P2/1P5P/3RRK2 w - -,e1e3
7R/1r2p2p/4k1p1/5p2/5P1P/6P1/8/5K2 b - -,e6f7
r1b1k2r/pp3ppp/4pn2/3pn3/3P4/qPPB4/P2N1PPP/R2QK2R w KQkq -,d4e5
7r/7P/8/8/5K2/4p2R/3k4/8 w - -,f4e4
8/5N2/4p1p1/p7/1n1k4/5P2/6PP/2K5 w - a6,c1b2
r1q2rk1/pp2ppbp/2np2p1/8/2PNP3/1P4PP/PB3PK1/R2Q1R2 w - -,f1e1
r1b1r1k1/1pq1bppp/p1pp1n2/3Pp3/2P1P3/2N2N1P/PP1QBPP1/R3K2R w KQ -,e1g1
7k/5p2/1p1n3p/p1rP1p2/P1PR1P2/1K6/6RP/8 b - -,c5c7
r1b2rk1/ppqn1pbp/2pp1np1/4p3/3PP3/2P2N1P/PPBN1PP1/R1BQ1RK1 w - -,b2b3
r2qkb1r/pp1n1pp1/2p1pn1p/3p1b2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,c1b2:b1c3
8/1N3p2/1p2pPp1/1q4k1/p3B2p/5P2/K7/2R5 b - -,h4h3
8/8/6p1/5p1p/3P1P1P/3kBKP1/8/r7 b - -,a1a3
5n2/5pk1/1p2p3/3pP2p/qP2b1pP/2Q1P1P1/5P2/B4BK1 w - -,f1e2
8/5p2/pn1P1k2/3P4/4PK1N/2n4P/6P1/8 b - -,b6d7
1N5r/6k1/4bpq1/pQ4p1/2Nn4/1p3PPp/7P/2R2RK1 w - -,b5b7
5b2/r5kp/p1Rpb3/1p2p3/4B2p/P6P/1PP2PP1/3R2K1 w - -,c6b6
r3k2r/pp3ppp/2nbpq2/8/2B3P1/5N2/PPbBQP1P/1K1R3R w kq -,b1c2
1r3rk1/2qp1ppp/2pbpn2/8/4PP2/3BB3/PPP3PP/R2Q1RK1 b - f3,e6e5
7k/3R3p/8/4p1K1/6P1/1b6/8/8 w - -,g5h6
2b1q2r/2n1n2k/p2p2pb/2pPp2p/2P1P2P/P1BBNNP1/4Q1K1/5R2 b - -,e8d7
r1b1k2r/p2p2pp/1p2p3/4R3/2PN4/2P5/P4PPP/3R2K1 b kq -,c8a6
1r1r2k1/p1RP1ppp/bn1R4/4P3/1p6/1P4P1/PB3bBP/4N2K b - -,f2e1
4q1k1/1rbnr1p1/pNp1p2p/P1Pp1p2/3P1Pn1/1N2P3/3BQ1PP/R4RK1 b - -,b7a7
2r5/5pkp/1p2b1p1/8/1NPR2P1/8/P4P1P/6K1 w - -,b4d5
3r4/p1k2qpp/1p2pp1n/2p1P3/2P1QP1B/8/P1P3PP/5RK1 w - -,e4h7
2r3k1/3r1p1p/p4Bp1/8/P4PP1/3p3P/4bKB1/1R6 b - -,d7d6
4rr2/5bk1/p1q5/1p3P1p/4n1PQ/4B2R/PPP4P/5RK1 b - -,f8g8
r2q1r1k/p2b1n1p/2pp1b2/2p2p2/5P2/2NPBN1P/PPP4K/R3Q1R1 b - -,a8b8
r1b2rk1/1p2ppbp/p2p1np1/8/q2NP1P1/4BQ1P/PPP2P2/1K1R1B1R w - -,f1g2
r1b1kb1r/pp3ppp/2npp3/q3P3/3P4/2PB1N2/P4PPP/R1BQK2R w KQkq -,c1d2
8/7p/7b/4B3/6P1/4kP1P/6K1/8 b - -,h6f8
r3k2r/1bq1bppp/4nn2/4pN2/pp2P3/3B4/PPPBQ1PP/2N1RRK1 w kq -,d3b5
8/8/2pk4/4p3/1PK1np2/5N2/6P1/8 w - -,b4b5
4r3/p4ppk/7p/2R5/3PP3/5P2/r1R3PP/6K1 b - -,a2a1
5k2/8/3R2p1/3PP2p/2pK4/8/1P4r1/8 b - -,h5h4
1rb2rk1/p5pp/2nq1n2/1pppp1B1/7P/2PP1NP1/PP3PB1/R2QR1K1 b - -,h7h6
8/5R2/8/8/PK2r1k1/8/8/8 w - -,b4b3
r4rk1/3bqpbp/p1np1np1/1pp1p3/1PN1P3/P1PP1N2/1B2BPPP/R2QR1K1 w - b6,c4b6
6r1/Np1k1p1p/1q1n4/2RPpp2/7P/1R2QPr1/2P4K/8 b - -,g3g2
6k1/4ppb1/6pp/2pP4/8/P1P3P1/2R1B1KP/r7 b - -,a1a3
r1b2rk1/2nnpp1p/3p2p1/1ppP4/4P3/1NP1BP2/P4KPP/R4B1R w - -,f1e2
5rk1/4bppp/p1r1q3/1p1R4/8/1Q2B3/PP3PPP/3R2K1 w - b6,g2g3
r7/8/8/1P1kNp2/3N4/4P3/3K4/8 w - -,e5c6
2b2r1k/8/1p3r2/pN1B2p1/P2P1bPp/7P/1P2RPK1/4R3 b - -,c8d7
r2qr1k1/1p1b1pbp/p5p1/2Rp3n/8/1P1BP2P/PB2NPP1/Q2R2K1 b - -,d8g5
8/8/p4R2/3b2p1/1P1k2PP/P7/8/r4BK1 b - -,g5h4
7R/p1rk4/1p1p1r1p/2np2p1/1P1N2P1/4P3/P1R2PK1/8 b - b3,c5a6
2r3k1/5p1p/8/3N1bp1/3R4/KP4PP/P7/8 b - -,c8a8
4r1k1/5pp1/2pq4/1p1nnP2/r2Q1B2/1p4P1/1Pp2PBP/2R1R1K1 w - -,e1e5
r3br1k/7p/2pp1b2/p1q1p3/2P1PpB1/P1N4P/1PQ2P2/1K4RR w - -,c3a4
r3r1k1/1ppbqpbp/3p2p1/2nP4/p1P1PQ2/P1N2N2/1PB2PPP/R3R1K1 w - -,e1e2
r4r2/pp1q2bk/2npb1pp/2p1pp2/4P2P/2PP1NP1/PP1Q1PBN/R3R1K1 w - -,h4h5
r6r/p2k4/1p2p2b/2pbP2R/3p4/P2P1N2/1P2KPP1/7R w - -,h5h6
6k1/5ppp/p2B4/1p1N4/3b4/1P4P1/5P1P/4n1K1 b - -,e1d3
r1b2rk1/pp2ppbp/2nq1np1/2Np4/3P1PP1/1PP1PB2/1B1N3P/R2Q1RK1 b - -,b7b6
r3kb1r/1bqpn1p1/p1n1p2p/1pp1Pp2/5PP1/2NP1N1P/PPP3B1/R1BQ1RK1 w kq f6,e5f6
r7/p1R5/5npk/7p/2P1p3/3N1P2/R4KPP/1r6 w - -,d3e5
r1bq1rk1/ppnpppbp/2n3p1/1B2P3/3P1B2/2N2N2/PP3PPP/R2Q1RK1 b - -,c7b5
r2r2k1/pp1b1pbp/4p1p1/6N1/2nB4/2P2N2/PP3PPP/R2R2K1 w - -,b2b3
r1bq1rk1/pp1nbppp/2pp1n2/4p3/2PPP3/2N2N2/PP2BPPP/R1BQR1K1 b - -,a7a6:a7a5:f8e8
r1bqr1k1/bpp2pp1/p1n2n1p/4p3/2P5/BPN1PNPP/P4PB1/R2Q1RK1 b - -,e5e4
2r5/3b1k2/4p3/1p2B3/p2p1PPr/Pn1P4/1R2K1BP/7R w - -,h2h3
2k1N2r/p2rRP1p/bpp3p1/3p4/8/8/PPP2PPP/R5K1 w - -,a1e1
r1bq1rk1/1pp2pp1/2n2n1p/p1b1p3/2PpP2N/P2P2PP/1PQN1PB1/R1B2RK1 b - -,f8e8
6k1/3R3p/p5p1/np3N2/8/1P2KP2/r6P/8 w - -,f5h6
rnbqkb1r/ppp1pppp/8/8/3P4/2n5/PP2PPPP/R1BQKBNR w KQkq -,b2c3
2rr2k1/ppq2ppp/1n1Pp1n1/4Pb2/P1P5/4BN2/3QB1PP/R1R3K1 b - -,c7b8
8/6k1/6p1/p4p2/1pB1b2r/8/PP1B3P/5RK1 w - -,c4e2
r2qr1k1/1pp2pp1/p1n1b2p/2b1p3/4P3/2P2N2/PPB1QPPP/R1B2RK1 w - -,c2a4
r4rk1/pp3pp1/4p1p1/3pQ3/8/1P5P/q1P1RPP1/5RK1 b - -,a2a6
r1b1kb1r/1p3ppp/p1nppn2/q7/2P1P3/2N1BP2/PPN3PP/R2QKB1R b KQkq -,f8e7
