8/p1R5/5bkp/8/8/P7/r4PP1/5NK1 w - -,c7a7
1r6/1r3pkp/6p1/R7/5RP1/4P3/5P1P/6K1 w - -,g1g2
3r1k2/p4pb1/1pn2q1n/2pQ4/5P2/3PP2B/PP3P2/1R3RK1 w - -,d5g5
r3k2r/3bbpp1/p2pp2P/7n/1pq1P2P/1N2BP2/PPPQ4/1NKR3R b kq -,g7g6
3N4/2n2pkp/b1N2qp1/P2p4/5P2/5QPP/6BK/4b3 b - -,d5d4
r2q1rk1/pp2bppp/2n1pn2/2pp1b2/8/2PP1NPP/PP1NPPB1/R1BQR1K1 b - -,h7h6
r1b3k1/pp2nr1p/2n1p1p1/q1pp4/3P4/P1PB1N2/2PB1PPP/R2QK2R b KQ -,a5c7
r1bq1rk1/p2n1ppp/1p1b1n2/2pp4/3P4/P1N1PN2/1PQ1BPPP/R1B2RK1 w - -,f1d1
3rr1k1/1b1nqpp1/1ppbp2p/p7/2PPB3/1P3N1P/PB2QPP1/2RR2K1 b - -,c6c5
r1bq1rk1/5pbp/pp1pnnp1/2p5/P1P1P3/2N2N1P/1P3PP1/R1BQRBK1 b - -,c8b7
3r2k1/1pq1bp1p/4pnp1/pB6/P1N5/2R1P1P1/1P2QP1P/6K1 w - -,c3d3
5rk1/pp1n1p1p/5Bp1/3N1p2/Pb1pP3/1Pr2P2/6PP/R4R1K w - -,f6d4
6k1/7p/2r3p1/1R6/1p6/1P5P/6PK/8 b - -,c6c3
r5k1/1q3p2/4pnp1/1pR4p/1P2PP2/3PQ2P/5NP1/6K1 b - -,a8a1
r3r1k1/1bqnppbp/pp1p1np1/2p5/2PPP3/1PN1BPP1/P2QN1BP/3R1RK1 b - -,a8c8
5rk1/pp3ppp/4p1b1/2rp4/2P5/1P1P1PP1/P5BP/R4R1K b - c3,g6d3
6k1/R4p2/1pp2B2/4P2p/P4P1P/4n3/3K4/4r3 b - -,e3g2
6k1/5pp1/1qnB3p/1p2P3/r1bNQ3/4R2P/r4PP1/3R2K1 b - -,c4b3
rnbqkb1r/p4ppp/1p2pn2/2pp4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,b1d2
8/r7/P7/2k2p2/1N3Np1/2K3P1/8/8 b - -,a7f7
6k1/4R1b1/6pp/8/3P4/4B3/rr3P1P/3R2K1 b - -,g7f6
8/2rkp1b1/1B1p3p/p2P1pp1/2r5/P1pR1P1P/1PK3P1/R7 w - -,b2b3
3r2k1/4npp1/R3p2p/1B2P1n1/p1PP4/2B3P1/P4P1P/6K1 w - -,g1g2
6k1/6p1/p4p1p/4pP2/b1r1P1PP/2pN1K2/3bN3/5R2 b - -,c4e4
r1bqk1nr/pp1n1p2/4p2p/2ppP1p1/1b1P3P/2N2P2/PPP2BP1/R2QKBNR w KQkq c6,h4g5
r5k1/1pbb1ppp/2pp3q/p3r3/2P5/PPQ1P2P/1B2BPP1/3R1RK1 w - -,f2f4
8/3R4/5p1k/5N2/5K2/8/7P/r7 b - -,h6g6
8/8/7p/8/6Bp/r4P2/6K1/4k3 b - -,a3a1
r2qk2r/1b1n1pp1/p3pn1p/2b5/Pp6/3B1N1N/1PP1QPPP/R1B2RK1 w kq -,c1e3
3r2k1/p5pp/1r6/2q1RBPb/4P2P/P4N2/4P1K1/8 w - -,e5c5
r5k1/p4pp1/2rq1n1p/1p1p1p2/2pP4/2P1P2P/PPQN1PP1/R4RK1 b - -,g7g6
1q5r/r3kpp1/p1Qbp3/1p5p/3P4/5BP1/PP3P1P/2R1R1K1 w - h6,h2h4
r3r1k1/pp3ppp/2p5/3n2P1/3Pb3/P3B1RP/1P2BP2/R3K3 w Q -,a1c1
r7/5k2/P2R4/7p/2K2PpP/8/8/8 b - -,g4g3
