3b4/8/p7/2B1kb1p/2p5/P1P3KP/4N3/8 w - -,e2f4
3r1r2/pb4kp/1pn2np1/2ppq3/5N2/2NP2P1/PPPQ2BP/4RRK1 b - -,e5d4
2r2rk1/pp1b1pp1/5b1p/8/1q1N4/3QP3/PP2BPPP/R3K2R w KQ -,d3d2
6k1/6pp/rq1pbp2/4pP2/1pP1P3/1P1Q2PP/6B1/3R3K b - -,e6f7
r1br2k1/ppq1Bpp1/2n1p2p/2Pp3n/3P4/P1NB1N2/1P2QPPP/R3K2R b KQ -,c7e7
r3kb1r/pp1b1pp1/1qn1p1n1/2ppP2p/3P4/P1P2NP1/1P3PBP/RNBQ1RK1 b kq -,a8c8
r3k3/p5r1/2p1p3/3q1p2/1P1P1R2/P5P1/4Q2P/2R3K1 b q -,e8f7
8/1p6/p6k/P6p/1P3N1P/2nB1nK1/8/8 b - -,f3d4
8/3r1pk1/Rb2p1pp/1q2P2P/2p5/6P1/2PBQP1K/8 w - -,a6a3
4rrk1/4Rp2/p1q4p/1p4p1/6P1/P7/1PP2Q2/1K2R3 b - g3,e8e7
r3k2r/1bqnbppp/p2pp3/1p4P1/3NP3/1PN1BP2/1PP1Q2P/R3K1R1 w Qkq -,e2g2
4Rb2/1Q3pkp/1p3qp1/3P4/8/5NP1/P1r2PKP/8 w - -,b7b8
r7/4k2p/pB1b2p1/P1pb1p2/7R/1P1B1P1P/2P2K2/8 b - -,h7h6
5r2/1p4R1/p2P1n2/P1P2k1q/3Qp3/4B3/1PK2P2/8 w - -,g7g5
r6b/pN2k3/7p/2p1p1q1/4Q3/2P5/PPn2PPP/R3K2R w KQ -,e4c2
r2qk2r/p1pp2pp/1pbbp3/nBP2p2/Q2P4/2P1PNB1/P4PPP/R3K2R b KQkq -,d6g3
8/5k1p/p2prpp1/3Q4/2P4P/7P/P4PK1/Br6 w - -,a1c3
8/1R3pk1/8/3pP3/4b3/4P1P1/1pr4P/5BK1 b - -,d5d4
r1b1r1k1/bp4pp/pB1Qp3/3p4/7q/3B4/PPP2PPP/4RRK1 b - -,a7b8
r4rk1/1b4pp/pp1pp3/q1n5/2PB1P2/5pPB/PQ5P/R2R2K1 b - -,e6e5
r1bqkb1r/1pppnp1p/p1n3p1/4p3/B3P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,f8g7
r4rk1/pp2n1p1/2p4p/3p4/3P4/P4qP1/BP3P1P/3QR1K1 w - -,d1f3
r1bq1rk1/pp1nppbp/5np1/2pp4/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 w - -,b1d2
r1bqk2r/1pp1n1pp/p1pb1p2/8/3NP3/4B3/PPPN1PPP/R2Q1RK1 b kq -,e8g8
