8/6k1/1R3p2/7P/5PK1/1p1r2P1/8/8 w - -,b6b7:h5h6
r1b1r1k1/1pqn1pbp/2p2np1/4p1B1/1PP5/2NBPN2/2Q2PPP/3RK2R b K -,c7b6
2R5/1p2rp2/1P1b2kp/3P2p1/8/2BBn2P/6P1/6K1 b - -,f7f5
Q7/1p1n2pk/p1b1p2p/5p2/q7/3B1P1P/5BPK/8 b - -,a4f4
1r3r2/1p2q1pk/p1p1n2p/P1Pp1p2/3PpP2/2P1B1PP/5QK1/1R4R1 b - -,e6c7
8/3k3R/p1p5/3p3p/rP1B4/2P3KP/8/3b4 b - -,d7e6
6k1/2p4p/2P2p2/4r2R/p7/4n1P1/P3PK1P/8 w - -,h5h4
4b3/q6k/2p2bpp/1pPp1p2/3NrP2/P3P2R/3Q2PP/2R4K w - -,d2d3
rnbq1rk1/4p2p/1pp1n1pb/p2pPp2/P2P4/1BN2N1P/1PP1QPPB/1K4RR b - -,b8a6
1r4k1/pp2ppb1/3p1np1/q7/2rBP3/P1N2P2/1PP2QP1/1K1R3R b - -,b8c8
r2q1rk1/pp2ppbp/2np2p1/6P1/4P1QP/2N1B3/PPP2P2/2KR3R b - h3,g7c3
4rrk1/pp4pp/1np5/7b/1PPPN3/1N6/P5PP/R3R1K1 w - -,b3a5
4k3/4bp2/p1b1p2r/1p2p1p1/P2qP1P1/1BN3QP/1PP5/1K1R4 b - -,d4c5
8/Pk6/1b2Kp1p/5Pp1/B5P1/8/8/8 w - -,e6f6
8/5p2/4p3/4P1p1/1k2R2p/5P1P/2r1NKP1/1r6 b - -,b4c5
r5k1/1q3p1p/5bp1/3b4/1p1Nn3/4PN1P/1P2Q1P1/2R1B1K1 w - -,e2c2
r4rk1/2qn1pbp/b1n1p1p1/1p1pP3/p2P1P2/P1NNBB1P/1P3QP1/R2R2K1 b - -,c6a5
1r4k1/4rppp/1p3q2/2nBpP2/1PP5/2Q3P1/P3R2P/5RK1 b - -,c5d7
3r4/p5kp/1pp1qpp1/2p1p3/P3P3/1r5P/4QPP1/3R1RNK b - -,d8d4
8/p3k3/2p3p1/1pP1P1P1/8/P3K3/8/8 b - -,e7e6
3r1k2/3nr1bp/qp1n1pp1/2pBp3/P1P1P3/5N1P/1B1Q1PP1/R3R1K1 w - -,d2c2
r2q1rk1/ppp1bppp/3p1n2/3Pn3/6P1/2N1B2P/PPP1QP2/R3KB1R w KQ -,f2f4
2n1r3/1kqb1r2/4pBp1/1p1pPp1p/pPpP3R/P1P2NPP/4Q1K1/7R w - -,f3g5
2r5/2Pk1pp1/1p2p1b1/p2p2Pp/3P1B1P/1P2PP2/3K4/4R3 w - -,e3e4
4rk2/4p2r/3pb3/1p4p1/4P3/1PR2P2/P4BB1/6K1 w - -,f2e3
r3r1k1/5pp1/1p2b1np/4b3/8/3RN1N1/1P3PPP/2B1R1K1 b - -,e8c8
2r3k1/1p2ppn1/3pb1pq/p5R1/2r1PP1P/1NN1Q3/PPP5/2K4R b - -,a5a4
5rk1/4qpbp/p2p2p1/n1pP4/5P2/6P1/P2NP2P/R1Q2RK1 w - -,a1b1
8/8/8/Q5k1/3q1p2/5P2/6P1/5K2 b - -,g5f6
rnbq1rk1/ppp1bppp/4pn2/6B1/2BP4/2N1PN2/PP3PPP/R2QK2R b KQ -,a7a6
2kr4/1bp1bp2/p1nqP2p/1p1B4/6r1/P4N2/1P1QNPP1/2RR2K1 w - -,d2c3
r1b2rk1/1pq3p1/p1n1p2p/3p1p2/8/2PQPN2/PPB2PPP/R3R1K1 w - -,a1d1
r2qr1k1/ppp2ppp/1n1b1n2/3p4/3P4/2P1PB2/PB1N1PPP/R2Q1RK1 b - -,d8d7
8/7p/8/pBb1kpp1/P1PR4/4p1P1/4K2P/8 b - -,c5d4
1r2n2k/1r2q2p/1p1p1bp1/pP1Pp2n/N1P1P1b1/4QNP1/K3BR2/2B3R1 w - -,f2h2
rnbqk2r/ppp1ppbp/3p1np1/8/1P1P4/4PN2/PBP2PPP/RN1QKB1R b KQkq -,e8g8
6r1/3b1k1n/p2p3B/2pPpP2/2P1P2q/1rN2B2/2RQ4/5K2 b - -,h4h3
6k1/2Q2p2/6p1/5q2/Pr6/1P3P1p/5RKP/8 w - -,g2g1
8/8/6pp/5pk1/RP6/4r3/5K1P/8 b - -,e3b3
r2q1rk1/pp2ppbp/2n1b1p1/2p5/4P1n1/2P1NNP1/PP3PBP/R1BQR1K1 b - -,c6e5
r2r2k1/pbpq1p1p/1p4p1/4b3/3PP3/2P3P1/P4PBP/1RQ2RK1 w - -,d4e5
6k1/Q7/6p1/2p1n3/6P1/2q1N2P/2P1K3/8 b - -,c3d4
4k3/p1n4p/1p1p4/2pP4/P3rP2/1PB4b/6RK/8 w - -,g2g8
8/p4p1p/b2k2p1/2rp2P1/7P/4P1K1/PR3P2/3B4 w - -,b2b8
8/p7/2k5/2p5/7p/7K/P6B/8 b - -,c5c4
r4rk1/3b1ppp/p2qp3/1p6/3P4/3BP3/P3QPPP/2RR2K1 w - -,c1c5
r1b1kb1r/pp1p1p1p/1qn1pp2/8/3P4/4PN2/PPQ2PPP/RN2KB1R b KQkq -,c6b4:d7d5
